model,method,matched_budget,acc_dual,acc_unc,f1_dual,f1_unc,mel_recall_dual,mel_recall_unc,fn_malignant_dual,fn_malignant_unc,final_labels_dual,final_labels_unc,acc_delta_pp,f1_delta_pp,mel_recall_delta_pp
efficientnet_b4,entropy,3846,0.8560358987384642,0.8503937007874016,0.755157832856284,0.7487771967964997,0.6202500385862015,0.6889952153110048,0.26595803678713376,0.2435530085959885,4466,3846,0.5642197951062577,0.6380636059784339,-6.874517672480329
efficientnet_b4,mc_dropout,4670,0.8506908334571386,0.8719160104986876,0.7598157210813009,0.7624892447188881,0.6937498119226023,0.7081339712918661,0.22980303112216394,0.2320916905444126,5164,4670,-2.1225177041549026,-0.2673523637587216,-1.4384159369263738
efficientnet_b4,margin,4361,0.8659576643828613,0.8677165354330708,0.7756721636267575,0.7700802942505393,0.6602249425215932,0.7129186602870813,0.25601905258065716,0.2148997134670487,4778,4361,-0.1758871050209554,0.559186937621825,-5.2693717765488035
efficientnet_b4,least_confidence,3980,0.859595491740003,0.8750656167979003,0.7484620351511226,0.7658886016364306,0.6461206492166245,0.645933014354067,0.2677116691948985,0.2865329512893982,4373,3980,-1.5470125057897244,-1.7426566485307937,0.018763486255746198
resnet50,entropy,4774,0.8881889763779528,0.8934383202099737,0.7994377844656883,0.7960523129162121,0.669181695497485,0.6555023923444976,0.2529387995004041,0.2406876790830945,5168,4774,-0.5249343832020914,0.33854715494761045,1.3679303152987377
resnet50,mc_dropout,6298,0.8914909829819659,0.8881889763779528,0.8009664692160071,0.8204168590821423,0.7098626331223955,0.6842105263157895,0.24044736112394857,0.2263610315186246,6725,6298,0.33020066040131413,-1.9450389866135231,2.565210680660601
resnet50,margin,5026,0.8897705094555488,0.8944881889763779,0.808154983443422,0.8072715220273363,0.6891792418108208,0.6650717703349283,0.23183454558812722,0.2521489971346705,5180,5026,-0.4717679520829132,0.08834614160856402,2.410747147589254
resnet50,least_confidence,4808,0.8913658519957732,0.8934383202099737,0.7894245085697706,0.8037228441415714,0.6833716522711738,0.7368421052631579,0.24426003795631301,0.2034383954154728,5085,4808,-0.20724682142004847,-1.4298335571800713,-5.347045299198405
densenet169,entropy,4974,0.8891580860084797,0.8876640419947507,0.7819814297967137,0.81923354466989,0.7000368052999633,0.7033492822966507,0.21372419366688708,0.2292263610315186,5263,4974,0.149404401372899,-3.7252114873176256,-0.33124769966874634
densenet169,mc_dropout,5962,0.8950476585163697,0.8892388451443569,0.8059612474026613,0.8101523311181861,0.7135797028456308,0.722488038277512,0.21569144925350622,0.2263610315186246,6243,5962,0.5808813372012778,-0.41910837155247904,-0.8908335431881187
densenet169,margin,4832,0.8849304214331699,0.8908136482939633,0.7951534029495658,0.8167270371420647,0.6985645933014354,0.6698564593301436,0.22798291614856458,0.2435530085959885,5307,4832,-0.5883226860793345,-2.1573634192498914,2.8708133971291794
densenet169,least_confidence,4944,0.8893558687329689,0.8913385826771654,0.7969341162977215,0.8057850581008994,0.7180690579953067,0.69377990430622,0.21479021042833932,0.2177650429799427,5312,4944,-0.1982713944196468,-0.8850941803177914,2.4289153689086684
