experiment_id,model,policy,sigma,accuracy,risk_auroc,mean_confidence,n_distinct_predicted,most_predicted_class,most_predicted_share,n_images
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,0.889763779527559,0.9559547660963016,0.9677719807716536,7,nv,0.694488188976378,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,0.8876640419947507,0.9505970050308999,0.9668141743149606,7,nv,0.6902887139107612,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,0.8745406824146982,0.9428407274548656,0.9441792345879265,7,nv,0.694488188976378,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,0.8503937007874016,0.9312173599192699,0.9290438651863516,7,nv,0.6671916010498687,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,0.8986876640419947,0.9545432782610617,0.9719193536955382,7,nv,0.6971128608923884,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,0.8934383202099737,0.9467188662428827,0.968817128776903,7,nv,0.7044619422572178,1905
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,0.8850393700787401,0.950808774242971,0.9675814396377953,7,nv,0.6934383202099738,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.01,0.8855643044619422,0.9444308380168089,0.9681714080839894,7,nv,0.6887139107611548,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,0.85249343832021,0.9284201648485205,0.9409217120787401,7,nv,0.6976377952755906,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,0.8283464566929134,0.9174302634777293,0.9229208346561678,7,nv,0.6656167979002625,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,0.8803149606299212,0.9450689078601365,0.9697423428923885,7,nv,0.7044619422572178,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,0.8761154855643044,0.9226692496372302,0.959719612272966,7,nv,0.6866141732283465,1905
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,0.8404199475065617,0.9224593218965682,0.9649093260892389,7,nv,0.6934383202099738,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,0.815748031496063,0.9111582118576027,0.9571894331338583,7,nv,0.6598425196850394,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,0.7553805774278215,0.8833998718335899,0.8772251330131234,7,nv,0.6729658792650919,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,0.7065616797900263,0.8680640979368154,0.8426773956587926,7,nv,0.6241469816272965,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,0.8115485564304462,0.9003082623139194,0.9655740572230971,7,nv,0.7081364829396325,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,0.800524934383202,0.8361734960703,0.9374338630446194,7,nv,0.6813648293963255,1905
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,0.7811023622047244,0.8818493529069468,0.9569613674278216,7,nv,0.6881889763779527,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,0.7259842519685039,0.8646426440583084,0.9527584628818897,7,nv,0.6320209973753281,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,0.43622047244094486,0.6722779369627507,0.585870318351706,7,nv,0.44461942257217846,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,0.27664041994750654,0.6339173252996074,0.5966196717427822,7,df,0.49553805774278215,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,0.7695538057742782,0.8665632987382238,0.9546836250026247,7,nv,0.7228346456692913,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,0.7259842519685039,0.7439323517063074,0.9253372368346456,7,nv,0.6698162729658793,1905
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,0.7107611548556431,0.8117832072539242,0.9554077429028871,4,nv,0.6692913385826772,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,0.6740157480314961,0.7646268074041882,0.9590567813700789,4,nv,0.641994750656168,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,0.009973753280839895,0.42427869564897136,0.2523382285826772,5,df,0.984251968503937,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,0.005774278215223097,0.37530844646106026,0.539935516792651,4,df,0.9979002624671915,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,0.7343832020997375,0.8354866272346255,0.9404962093175852,7,nv,0.7994750656167979,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,0.6855643044619423,0.6438815270954104,0.9093662520472442,6,nv,0.6887139107611548,1905
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,0.6388451443569554,0.7591834179182534,0.9519879645459318,3,nv,0.6514435695538058,1905
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,0.6540682414698162,0.6313153261982455,0.936414314824147,2,nv,0.7039370078740157,1905
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,0.02204724409448819,0.4712573935077084,0.1960057504776903,3,df,0.5569553805774278,1905
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,0.004724409448818898,0.5031470746385192,0.5531542927349082,1,df,1.0,1905
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,0.7076115485564305,0.8150960143192817,0.9417765013385828,4,nv,0.9627296587926509,1905
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,0.5952755905511811,0.48377295394111713,0.8557552110761155,4,nv,0.6099737532808399,1905
