experiment_id,model,policy,sigma,predicted_class,count,share
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,akiec,47,0.024671916010498687
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,bcc,86,0.04514435695538058
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,bkl,211,0.11076115485564304
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,df,11,0.005774278215223097
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,mel,214,0.11233595800524934
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,nv,1323,0.694488188976378
densenet169_entropy_dual_metric,densenet169,dual_metric,0.0,vasc,13,0.0068241469816272965
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,akiec,35,0.01837270341207349
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,bcc,95,0.049868766404199474
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,bkl,230,0.12073490813648294
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,df,8,0.004199475065616798
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,mel,207,0.10866141732283464
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,nv,1315,0.6902887139107612
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.0,vasc,15,0.007874015748031496
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,akiec,38,0.01994750656167979
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,bcc,90,0.047244094488188976
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,bkl,210,0.11023622047244094
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,df,10,0.005249343832020997
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,mel,220,0.11548556430446194
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,nv,1323,0.694488188976378
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.0,vasc,14,0.007349081364829396
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,akiec,42,0.02204724409448819
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,bcc,93,0.048818897637795275
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,bkl,227,0.11916010498687664
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,df,12,0.006299212598425197
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,mel,244,0.12808398950131233
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,nv,1271,0.6671916010498687
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.0,vasc,16,0.008398950131233596
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,akiec,38,0.01994750656167979
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,bcc,92,0.048293963254593175
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,bkl,224,0.11758530183727034
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,df,11,0.005774278215223097
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,mel,198,0.10393700787401575
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,nv,1328,0.6971128608923884
resnet50_entropy_dual_metric,resnet50,dual_metric,0.0,vasc,14,0.007349081364829396
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,akiec,46,0.024146981627296588
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,bcc,95,0.049868766404199474
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,bkl,206,0.10813648293963254
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,df,14,0.007349081364829396
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,mel,184,0.09658792650918635
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,nv,1342,0.7044619422572178
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.0,vasc,18,0.009448818897637795
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,akiec,31,0.01627296587926509
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,bcc,75,0.03937007874015748
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,bkl,235,0.12335958005249344
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,df,12,0.006299212598425197
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,mel,218,0.11443569553805774
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,nv,1321,0.6934383202099738
densenet169_entropy_dual_metric,densenet169,dual_metric,0.01,vasc,13,0.0068241469816272965
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.01,akiec,27,0.014173228346456693
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.01,bcc,85,0.04461942257217848
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.01,bkl,256,0.13438320209973753
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.01,df,8,0.004199475065616798
