experiment_id,model,method,policy,target,target_name,kind,n_positive,prevalence,auc,auc_ci_low,auc_ci_high,pr_auc
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9830361486557946,0.9703164104660116,0.9926141988912889,0.7570192353558921
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9934353808840272,0.9883531325054482,0.9973836286873957,0.9275090295037082
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9675623010680183,0.9561994214305528,0.9773099789840834,0.8530736554726611
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9992967651195499,0.9975010511052514,1.0,0.9365079365079365
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.9456644398302789,0.9256228159075783,0.9621187001957971,0.8039695068458784
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9688085881987886,0.9604364282591555,0.9760955145547968,0.9832465543779161
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9993956334516885,0.9978936004807588,1.0,0.961904761904762
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9559547660963016,0.9429289898253777,0.9669387667639628,0.8819877154588414
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9572778633038943,0.9440200742895021,0.9682806105032584,0.8839411992697668
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9562260718742729,0.9252892196533706,0.9825783138755616,0.6780651282151147
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9964237984457753,0.9942664391069513,0.9980987370408156,0.9306031036482245
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9735352606044675,0.9632122668579627,0.9820785128409524,0.8413778885636388
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9984763244256916,0.994617192206401,1.0,0.9174603174603175
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9392914372122416,0.9203431110566187,0.9550284265247367,0.7686447827022609
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9721195140585601,0.9647704601207661,0.9788578655745543,0.9871986925675943
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9992067689053411,0.9971329288698869,1.0,0.9571428571428571
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9505970050308999,0.9370566777718701,0.9621818457413158,0.8587591393366525
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9482693851695259,0.934212232887207,0.9606524854048957,0.8555452446096597
