experiment_id,risk_threshold,n_escalated,unsafe_auto_accepts,high_risk_caught,high_risk_total,high_risk_catch_rate
densenet169_entropy_dual_metric,0.05,13058,806,5044,5850,0.8622222222222222
densenet169_entropy_dual_metric,0.1,11919,940,4910,5850,0.8393162393162393
densenet169_entropy_dual_metric,0.2,11036,1065,4785,5850,0.8179487179487179
densenet169_entropy_dual_metric,0.3,10535,1161,4689,5850,0.8015384615384615
densenet169_entropy_dual_metric,0.4,10221,1227,4623,5850,0.7902564102564102
densenet169_entropy_dual_metric,0.5,9926,1290,4560,5850,0.7794871794871795
densenet169_entropy_dual_metric,0.6,9598,1380,4470,5850,0.764102564102564
densenet169_entropy_dual_metric,0.7,9192,1513,4337,5850,0.7413675213675214
densenet169_entropy_dual_metric,0.8,8612,1704,4146,5850,0.7087179487179487
densenet169_entropy_dual_metric,0.9,7769,2093,3757,5850,0.6422222222222222
densenet169_entropy_dual_metric,0.95,7079,2507,3343,5850,0.5714529914529914
densenet169_entropy_dual_metric,0.99,5970,3367,2483,5850,0.42444444444444446
densenet169_entropy_dual_metric,0.999,5051,4205,1645,5850,0.2811965811965812
densenet169_entropy_dual_metric,1.01,4344,4881,969,5850,0.16564102564102565
densenet169_entropy_uncertainty_only,0.05,17192,729,8722,9451,0.9228653052587028
densenet169_entropy_uncertainty_only,0.1,16052,859,8592,9451,0.9091101470743836
densenet169_entropy_uncertainty_only,0.2,15099,1002,8449,9451,0.8939794730716326
densenet169_entropy_uncertainty_only,0.3,14581,1089,8362,9451,0.8847740979790498
densenet169_entropy_uncertainty_only,0.4,14225,1155,8296,9451,0.8777907099777801
densenet169_entropy_uncertainty_only,0.5,13920,1229,8222,9451,0.8699608507036293
densenet169_entropy_uncertainty_only,0.6,13555,1315,8136,9451,0.8608612845201566
densenet169_entropy_uncertainty_only,0.7,13112,1468,7983,9451,0.8446725214263041
densenet169_entropy_uncertainty_only,0.8,12489,1688,7763,9451,0.8213945614220718
densenet169_entropy_uncertainty_only,0.9,11515,2139,7312,9451,0.7736747434133954
densenet169_entropy_uncertainty_only,0.95,10705,2615,6836,9451,0.7233097026769654
densenet169_entropy_uncertainty_only,0.99,9191,3748,5703,9451,0.6034282086551688
densenet169_entropy_uncertainty_only,0.999,7400,5412,4039,9451,0.42736218389588404
densenet169_entropy_uncertainty_only,1.01,4484,8275,1176,9451,0.12443127711353295
densenet169_least_confidence_dual_metric,0.05,12621,760,4947,5707,0.8668302085158577
densenet169_least_confidence_dual_metric,0.1,11579,881,4826,5707,0.8456281759243035
densenet169_least_confidence_dual_metric,0.2,10753,999,4708,5707,0.824951813562292
densenet169_least_confidence_dual_metric,0.3,10338,1059,4648,5707,0.8144384089714386
densenet169_least_confidence_dual_metric,0.4,10088,1103,4604,5707,0.8067285789381461
densenet169_least_confidence_dual_metric,0.5,9841,1162,4545,5707,0.7963903977571404
densenet169_least_confidence_dual_metric,0.6,9525,1239,4468,5707,0.7828981951988786
densenet169_least_confidence_dual_metric,0.7,9102,1376,4331,5707,0.7588925880497635
densenet169_least_confidence_dual_metric,0.8,8516,1605,4102,5707,0.7187664271946732
densenet169_least_confidence_dual_metric,0.9,7650,2045,3662,5707,0.6416681268617487
densenet169_least_confidence_dual_metric,0.95,7014,2457,3250,5707,0.5694760820045558
densenet169_least_confidence_dual_metric,0.99,5913,3313,2394,5707,0.4194848431750482
densenet169_least_confidence_dual_metric,0.999,5019,4121,1586,5707,0.27790432801822323
densenet169_least_confidence_dual_metric,1.01,4391,4727,980,5707,0.17171894165060453
densenet169_least_confidence_uncertainty_only,0.05,17357,737,8997,9734,0.9242860078076844
densenet169_least_confidence_uncertainty_only,0.1,16153,865,8869,9734,0.9111362235463324
densenet169_least_confidence_uncertainty_only,0.2,15152,1016,8718,9734,0.8956235874255188
densenet169_least_confidence_uncertainty_only,0.3,14623,1098,8636,9734,0.8871995068830902
densenet169_least_confidence_uncertainty_only,0.4,14346,1140,8594,9734,0.8828847339223341
densenet169_least_confidence_uncertainty_only,0.5,14064,1207,8527,9734,0.8760016437230327
densenet169_least_confidence_uncertainty_only,0.6,13751,1281,8453,9734,0.8683994246969385
densenet169_least_confidence_uncertainty_only,0.7,13326,1422,8312,9734,0.8539141154715431
densenet169_least_confidence_uncertainty_only,0.8,12694,1634,8100,9734,0.8321347852886789
densenet169_least_confidence_uncertainty_only,0.9,11790,2081,7653,9734,0.7862132730634888
densenet169_least_confidence_uncertainty_only,0.95,11013,2558,7176,9734,0.7372097801520444
densenet169_least_confidence_uncertainty_only,0.99,9563,3687,6047,9734,0.6212245736593384
densenet169_least_confidence_uncertainty_only,0.999,7782,5322,4412,9734,0.45325662625847546
densenet169_least_confidence_uncertainty_only,1.01,4454,8606,1128,9734,0.11588247380316416
densenet169_margin_dual_metric,0.05,12996,727,5047,5774,0.8740907516453066
densenet169_margin_dual_metric,0.1,11841,877,4897,5774,0.8481122272254936
densenet169_margin_dual_metric,0.2,10837,1008,4766,5774,0.8254243158988569
densenet169_margin_dual_metric,0.3,10339,1085,4689,5774,0.812088673363353
densenet169_margin_dual_metric,0.4,10071,1135,4639,5774,0.8034291652234153
densenet169_margin_dual_metric,0.5,9861,1188,4586,5774,0.7942500865950815
densenet169_margin_dual_metric,0.6,9588,1261,4513,5774,0.7816072047107724
