model,method,n_test_images,accuracy_unc,accuracy_dual,accuracy_diff,accuracy_diff_ci_low,accuracy_diff_ci_high,accuracy_ci_excludes_zero,f1_macro_unc,f1_macro_dual,f1_macro_diff,f1_macro_diff_ci_low,f1_macro_diff_ci_high,f1_macro_ci_excludes_zero,fn_rate_malignant_unc,fn_rate_malignant_dual,fn_rate_malignant_diff,fn_rate_malignant_diff_ci_low,fn_rate_malignant_diff_ci_high,fn_rate_malignant_ci_excludes_zero,melanoma_recall_unc,melanoma_recall_dual,melanoma_recall_diff,melanoma_recall_diff_ci_low,melanoma_recall_diff_ci_high,melanoma_recall_ci_excludes_zero,mcnemar_accuracy_p,mcnemar_disc_unc_only_correct,mcnemar_disc_dual_only_correct,mcnemar_malignant_p,mcnemar_mal_disc_unc_only_correct,mcnemar_mal_disc_dual_only_correct,mcnemar_accuracy_p_holm,mcnemar_malignant_p_holm,accuracy_sig_holm,malignant_sig_holm
efficientnet_b4,entropy,1905,0.8503937007874016,0.8745406824146982,0.02414698162729656,0.010498687664041939,0.038320209973753294,True,0.7487771967964997,0.7867847886572735,0.03800759186077385,0.005481160161227727,0.07133797739613434,True,0.24355300859598855,0.24355300859598855,0.0,-0.03669845168436512,0.03416215427084993,False,0.6889952153110048,0.6842105263157895,-0.004784688995215336,-0.0510359777713903,0.04306672701409533,False,0.0004081757480717817,59,105,1.0,19,19,0.00489810897686138,1.0,True,False
efficientnet_b4,mc_dropout,1905,0.8719160104986876,0.8792650918635171,0.0073490813648294795,-0.0063123359580053015,0.019947506561679765,False,0.7624892447188881,0.806493541398089,0.044004296679200916,0.0030842668152563342,0.09073368191706913,True,0.23209169054441262,0.22922636103151864,-0.002865329512893977,-0.04144532860559084,0.03723979091299282,False,0.7081339712918661,0.7129186602870813,0.004784688995215225,-0.051168767659204584,0.061121794871794866,False,0.3243734659085548,80,94,1.0,25,26,1.0,1.0,False,False
efficientnet_b4,margin,1905,0.8677165354330708,0.8745406824146982,0.006824146981627366,-0.005262467191601074,0.018910761154855685,False,0.7700802942505393,0.792106363881578,0.022026069631038703,-0.01649640918157385,0.06684124669872504,False,0.2148997134670487,0.2521489971346705,0.037249283667621785,-0.002803766855579431,0.07622578909612623,False,0.7129186602870813,0.69377990430622,-0.019138755980861233,-0.0710651796973518,0.028849637681159425,False,0.34431351459658854,74,87,0.07894069368148846,30,17,1.0,0.868347630496373,False,False
efficientnet_b4,least_confidence,1905,0.8750656167979003,0.8719160104986876,-0.0031496062992126816,-0.0147112860892389,0.008398950131233596,False,0.7658886016364306,0.7707543992537548,0.004865797617324197,-0.03216589894620173,0.04206916503206029,False,0.28653295128939826,0.24068767908309455,-0.04584527220630372,-0.0869755911517925,-0.010441622226184532,True,0.645933014354067,0.6746411483253588,0.028708133971291794,-0.02551347462061745,0.09346139680493533,False,0.6611696831388164,68,62,0.022628841205914796,14,30,1.0,0.27154609447097755,False,False
resnet50,entropy,1905,0.8934383202099737,0.8986876640419947,0.005249343832021025,-0.006837270341207415,0.01681102362204723,False,0.7960523129162121,0.8103664162570544,0.014314103340842266,-0.027975927427158133,0.05642177512892028,False,0.24068767908309455,0.22063037249283668,-0.020057306590257867,-0.06414072122355435,0.017563978754224992,False,0.6555023923444976,0.7272727272727273,0.0717703349282297,0.014417950236966777,0.138309325053446,True,0.4502079923492324,66,76,0.4010619910279374,22,29,1.0,1.0,False,False
resnet50,mc_dropout,1905,0.8881889763779528,0.8913385826771654,0.0031496062992125706,-0.009448818897637823,0.015748031496062964,False,0.8204168590821423,0.7973239640896883,-0.02309289499245404,-0.06170242562655745,0.010679190538249561,False,0.22636103151862463,0.19197707736389685,-0.03438395415472778,-0.07205655097523284,0.005527585401914259,False,0.6842105263157895,0.7416267942583732,0.0574162679425837,0.0,0.11165252461764087,False,0.6963409692892951,79,85,0.11892045255943628,19,31,1.0,1.0,False,False
resnet50,margin,1905,0.8944881889763779,0.8955380577427822,0.0010498687664042272,-0.01207349081364828,0.01364829396325462,False,0.8072715220273363,0.7968638366866349,-0.010407685340701467,-0.049689865402367576,0.02872611687716664,False,0.2521489971346705,0.22636103151862463,-0.02578796561604585,-0.06493598209699904,0.013662137884572212,False,0.6650717703349283,0.7081339712918661,0.0430622009569378,-0.015244541132866048,0.09665135215897201,False,0.9374089336007719,80,82,0.2624375357110438,21,30,1.0,1.0,False,False
resnet50,least_confidence,1905,0.8934383202099737,0.8971128608923884,0.0036745406824146842,-0.008412073490813646,0.015761154855643115,False,0.8037228441415714,0.8231297248464784,0.019406880704907037,-0.023294799627478286,0.06119493531319371,False,0.2034383954154728,0.2177650429799427,0.014326647564469913,-0.030994743389109573,0.061985035211267595,False,0.7368421052631579,0.7129186602870813,-0.02392344497607657,-0.09183673469387754,0.03798225425473924,False,0.6255036238897119,72,79,0.6089207154048286,33,28,1.0,1.0,False,False
densenet169,entropy,1905,0.8876640419947507,0.889763779527559,0.0020997375328083434,-0.01049868766404205,0.015748031496062964,False,0.81923354466989,0.8166412846028936,-0.0025922600669963103,-0.04131090111031862,0.03922904088869223,False,0.22922636103151864,0.1977077363896848,-0.03151862464183383,-0.0725093801773706,0.002953505575495202,False,0.7033492822966507,0.7511961722488039,0.04784688995215314,-0.004531957013574647,0.10582437275985662,False,0.8159682796071845,81,85,0.1351564508456704,17,28,1.0,1.0,False,False
densenet169,mc_dropout,1905,0.8892388451443569,0.8960629921259843,0.006824146981627366,-0.005774278215223139,0.018897637795275538,False,0.8101523311181861,0.7944568416075782,-0.01569548951060784,-0.06332245064247387,0.026778174764980112,False,0.22636103151862463,0.22349570200573066,-0.002865329512893977,-0.04094169246646027,0.03495234604105571,False,0.722488038277512,0.7033492822966507,-0.019138755980861233,-0.07359656472559693,0.033496848546190706,False,0.3288086093262768,69,82,1.0,22,23,1.0,1.0,False,False
densenet169,margin,1905,0.8908136482939633,0.8955380577427822,0.0047244094488189115,-0.007874015748031482,0.018372703412073425,False,0.8167270371420647,0.8215371983034218,0.004810161161357018,-0.036288068503047936,0.045249891556334146,False,0.24355300859598855,0.20630372492836677,-0.037249283667621785,-0.07622138133847277,0.005525244486616379,False,0.6698564593301436,0.7511961722488039,0.08133971291866027,0.0284050783256292,0.13746096053464954,True,0.5360050623796359,79,88,0.09837064844049181,20,33,1.0,0.9837064844049181,False,False
