model,method,both_complete,unc_only_unsafe_total,dual_unsafe_total,unsafe_reduction_pct,unc_only_fn_rate_final,dual_fn_rate_final,fn_rate_reduction_pct,unc_only_accuracy_final,dual_accuracy_final,accuracy_delta_pp,unc_only_f1_final,dual_f1_final,f1_delta_pp,unc_only_queries,dual_queries,extra_queries_pct
efficientnet_b4,entropy,True,12346,7362,40.36935039688968,0.2435530085959885,0.2435530085959885,0.0,0.8503937007874016,0.8745406824146982,2.414698162729656,0.7487771967964997,0.7867847886572735,3.800759186077385,3356,3976,18.474374255065555
efficientnet_b4,mc_dropout,True,12922,8563,33.733168240210496,0.2320916905444126,0.2292263610315186,1.2345679012345656,0.8719160104986876,0.8792650918635171,0.734908136482948,0.7624892447188881,0.806493541398089,4.400429667920092,4180,4674,11.818181818181818
efficientnet_b4,margin,True,11330,7156,36.840247131509265,0.2148997134670487,0.2521489971346705,-17.33333333333334,0.8677165354330708,0.8745406824146982,0.6824146981627366,0.7700802942505393,0.792106363881578,2.2026069631038703,3871,4288,10.772410229914751
efficientnet_b4,least_confidence,True,12425,7927,36.201207243460765,0.2865329512893982,0.2406876790830945,16.0,0.8750656167979003,0.8719160104986876,-0.31496062992126816,0.7658886016364306,0.7707543992537548,0.4865797617324197,3490,3883,11.260744985673352
resnet50,entropy,True,9327,4945,46.9818805618098,0.2406876790830945,0.2206303724928366,8.333333333333341,0.8934383202099737,0.8986876640419947,0.5249343832021025,0.7960523129162121,0.8103664162570544,1.4314103340842266,4284,4678,9.197012138188608
resnet50,mc_dropout,True,7546,3599,52.30585740789822,0.2263610315186246,0.1919770773638968,15.189873417721529,0.8881889763779528,0.8913385826771654,0.31496062992125706,0.8204168590821423,0.7973239640896883,-2.309289499245404,5808,6235,7.351928374655647
resnet50,margin,True,7772,4680,39.7838394235718,0.2521489971346705,0.2263610315186246,10.22727272727274,0.8944881889763779,0.8955380577427822,0.10498687664042272,0.8072715220273363,0.7968638366866349,-1.0407685340701467,4536,4690,3.3950617283950617
resnet50,least_confidence,True,8645,4927,43.00751879699248,0.2034383954154728,0.2177650429799427,-7.042253521126759,0.8934383202099737,0.8971128608923884,0.3674540682414684,0.8037228441415714,0.8231297248464784,1.9406880704907037,4318,4595,6.415006947660954
densenet169,entropy,True,8275,4495,45.6797583081571,0.2292263610315186,0.1977077363896848,13.749999999999996,0.8876640419947507,0.889763779527559,0.20997375328083434,0.81923354466989,0.8166412846028936,-0.25922600669963103,4484,4773,6.445138269402319
densenet169,mc_dropout,True,6704,3647,45.59964200477327,0.2263610315186246,0.2234957020057306,1.2658227848101364,0.8892388451443569,0.8960629921259843,0.6824146981627366,0.8101523311181861,0.7944568416075782,-1.569548951060784,5472,5753,5.135233918128655
densenet169,margin,True,8515,4412,48.185554903112156,0.2435530085959885,0.2063037249283667,15.29411764705883,0.8908136482939633,0.8955380577427822,0.47244094488189115,0.8167270371420647,0.8215371983034218,0.48101611613570183,4342,4817,10.939659143251957
densenet169,least_confidence,True,8606,4334,49.63978619567744,0.2177650429799427,0.2234957020057306,-2.63157894736839,0.8913385826771654,0.9013123359580052,0.9973753280839825,0.8057850581008994,0.8131751094676122,0.739005136671278,4454,4822,8.262236192186798
