experiment_id,model,method,policy,auroc_round1,auroc_final,auroc_mean
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,0.8636923032632322,0.9107892685625204,0.9288993447108249
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,0.8636923032632322,0.9829722039833662,0.9597867050711405
densenet169_least_confidence_dual_metric,densenet169,least_confidence,dual_metric,0.8636923032632322,0.9776772002095868,0.9356482295238628
densenet169_least_confidence_uncertainty_only,densenet169,least_confidence,uncertainty_only,0.8636923032632322,0.9906956080223408,0.9631878853424551
densenet169_margin_dual_metric,densenet169,margin,dual_metric,0.8636923032632322,0.8938658825451278,0.9233768710722937
densenet169_margin_uncertainty_only,densenet169,margin,uncertainty_only,0.8636923032632322,0.9950232215735033,0.9630566046761402
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,0.8636923032632322,0.9423019431988042,0.941722842139868
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,0.8636923032632322,0.994352988289283,0.9672278422125753
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,0.8164842884081127,0.949310924369748,0.923644461034981
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,0.8164842884081127,0.9706811975084642,0.9343337828398421
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,0.8164842884081127,0.9602392755245461,0.9242953583804893
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,0.8164842884081127,0.961971829625451,0.932476368505687
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,0.8164842884081127,0.9744316663075684,0.9307958303304189
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,0.8164842884081127,0.9750939638519937,0.941158480076213
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,0.8164842884081127,0.9682762051479556,0.9124096030114568
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,0.8164842884081127,0.9756758762870054,0.9169924549401428
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,0.8513820155172661,0.929513061244345,0.9108953625729505
resnet50_entropy_uncertainty_only,resnet50,entropy,uncertainty_only,0.8513820155172661,0.977374679721448,0.9457704005473525
resnet50_least_confidence_dual_metric,resnet50,least_confidence,dual_metric,0.8513820155172661,0.9120119920790327,0.9204369059259803
resnet50_least_confidence_uncertainty_only,resnet50,least_confidence,uncertainty_only,0.8513820155172661,0.9767267954187833,0.9565054994736494
resnet50_margin_dual_metric,resnet50,margin,dual_metric,0.8513820155172661,0.9042089985486211,0.9253726349714885
resnet50_margin_uncertainty_only,resnet50,margin,uncertainty_only,0.8513820155172661,0.9876040565215289,0.9635190465159025
resnet50_mc_dropout_dual_metric,resnet50,mc_dropout,dual_metric,0.8513820155172661,0.9912797035099193,0.9558973161116037
resnet50_mc_dropout_uncertainty_only,resnet50,mc_dropout,uncertainty_only,0.8513820155172661,0.9953341503945546,0.9651854530057296
