experiment_id,rule,n_escalated,unsafe_auto_accepts,high_risk_caught,high_risk_total,high_risk_catch_rate
densenet169_entropy_dual_metric,dual_metric,4773,4495,1355,5850,0.23162393162393163
densenet169_entropy_dual_metric,random_matched,4773,5311,539,5850,0.09213675213675214
densenet169_entropy_dual_metric,risk_only,430,5463,387,5850,0.06615384615384616
densenet169_entropy_dual_metric,uncertainty_only,4344,4881,969,5850,0.16564102564102565
densenet169_entropy_uncertainty_only,dual_metric,7180,5698,3753,9451,0.397100835890382
densenet169_entropy_uncertainty_only,random_matched,7180,8478,973,9451,0.1029520685641731
densenet169_entropy_uncertainty_only,risk_only,2726,6845,2606,9451,0.2757380171410433
densenet169_entropy_uncertainty_only,uncertainty_only,4484,8275,1176,9451,0.12443127711353295
densenet169_least_confidence_dual_metric,dual_metric,4822,4334,1373,5707,0.24058174172069388
densenet169_least_confidence_dual_metric,random_matched,4822,5152,555,5707,0.09724899246539338
densenet169_least_confidence_dual_metric,risk_only,434,5312,395,5707,0.06921324688978447
densenet169_least_confidence_dual_metric,uncertainty_only,4391,4727,980,5707,0.17171894165060453
densenet169_least_confidence_uncertainty_only,dual_metric,7196,5956,3778,9734,0.3881241010889665
densenet169_least_confidence_uncertainty_only,random_matched,7196,8723,1011,9734,0.10386274912677214
densenet169_least_confidence_uncertainty_only,risk_only,2779,7052,2682,9734,0.27552907335114035
densenet169_least_confidence_uncertainty_only,uncertainty_only,4454,8606,1128,9734,0.11588247380316416
densenet169_margin_dual_metric,dual_metric,4817,4412,1362,5774,0.23588500173190163
densenet169_margin_dual_metric,random_matched,4817,5220,554,5774,0.09594735019050918
densenet169_margin_dual_metric,risk_only,445,5371,403,5774,0.06979563560789748
densenet169_margin_dual_metric,uncertainty_only,4389,4801,973,5774,0.1685140284031867
densenet169_margin_uncertainty_only,dual_metric,6967,5963,3715,9678,0.38386030171523045
densenet169_margin_uncertainty_only,random_matched,6967,8702,976,9678,0.10084728249638356
densenet169_margin_uncertainty_only,risk_only,2667,7087,2591,9678,0.26772060343046084
densenet169_margin_uncertainty_only,uncertainty_only,4342,8515,1163,9678,0.12016945649927671
densenet169_mc_dropout_dual_metric,dual_metric,5753,3647,1390,5037,0.2759579114552313
densenet169_mc_dropout_dual_metric,random_matched,5753,4304,733,5037,0.14552312884653565
densenet169_mc_dropout_dual_metric,risk_only,452,4625,412,5037,0.08179471907881676
densenet169_mc_dropout_dual_metric,uncertainty_only,5404,3971,1066,5037,0.21163390907286084
densenet169_mc_dropout_uncertainty_only,dual_metric,7712,4515,3428,7943,0.4315749716731713
densenet169_mc_dropout_uncertainty_only,random_matched,7712,6792,1151,7943,0.14490746569306306
densenet169_mc_dropout_uncertainty_only,risk_only,2383,5632,2311,7943,0.2909480045322926
densenet169_mc_dropout_uncertainty_only,uncertainty_only,5472,6704,1239,7943,0.15598640312224601
efficientnet_b4_entropy_dual_metric,dual_metric,3976,7362,1186,8548,0.1387459054749649
efficientnet_b4_entropy_dual_metric,random_matched,3976,7991,557,8548,0.06516144127281236
efficientnet_b4_entropy_dual_metric,risk_only,556,8130,418,8548,0.048900327562002806
efficientnet_b4_entropy_dual_metric,uncertainty_only,3420,7780,768,8548,0.08984557791296209
efficientnet_b4_entropy_uncertainty_only,dual_metric,8231,8134,5084,13218,0.38462702375548496
efficientnet_b4_entropy_uncertainty_only,random_matched,8231,11818,1400,13218,0.10591617491299743
efficientnet_b4_entropy_uncertainty_only,risk_only,4964,8931,4287,13218,0.32433045846572855
efficientnet_b4_entropy_uncertainty_only,uncertainty_only,3356,12346,872,13218,0.06597064608866697
efficientnet_b4_least_confidence_dual_metric,dual_metric,3883,7927,1165,9092,0.12813462384513857
efficientnet_b4_least_confidence_dual_metric,random_matched,3883,8526,566,9092,0.06225252969643643
efficientnet_b4_least_confidence_dual_metric,risk_only,560,8670,422,9092,0.04641443026836779
efficientnet_b4_least_confidence_dual_metric,uncertainty_only,3326,8346,746,9092,0.08205015398152221
efficientnet_b4_least_confidence_uncertainty_only,dual_metric,8246,8324,4982,13306,0.37441755598977905
efficientnet_b4_least_confidence_uncertainty_only,random_matched,8246,11969,1337,13306,0.10048098602134375
efficientnet_b4_least_confidence_uncertainty_only,risk_only,4858,9122,4184,13306,0.3144446114534796
efficientnet_b4_least_confidence_uncertainty_only,uncertainty_only,3490,12425,881,13306,0.06621073200060124
efficientnet_b4_margin_dual_metric,dual_metric,4288,7156,1237,8393,0.14738472536637673
efficientnet_b4_margin_dual_metric,random_matched,4288,7793,600,8393,0.0714881448826403
efficientnet_b4_margin_dual_metric,risk_only,559,7975,418,8393,0.04980340760157274
efficientnet_b4_margin_dual_metric,uncertainty_only,3743,7561,832,8393,0.09913022757059455
efficientnet_b4_margin_uncertainty_only,dual_metric,7899,7766,4518,12284,0.36779550634972324
efficientnet_b4_margin_uncertainty_only,random_matched,7899,10981,1303,12284,0.1060729404102898
efficientnet_b4_margin_uncertainty_only,risk_only,4158,8612,3672,12284,0.29892543145555195
efficientnet_b4_margin_uncertainty_only,uncertainty_only,3871,11330,954,12284,0.07766199934874633
efficientnet_b4_mc_dropout_dual_metric,dual_metric,4674,8563,1210,9773,0.12381049831167502
efficientnet_b4_mc_dropout_dual_metric,random_matched,4674,9072,701,9773,0.07172823084006957
efficientnet_b4_mc_dropout_dual_metric,risk_only,600,9325,448,9773,0.045840581193082985
efficientnet_b4_mc_dropout_dual_metric,uncertainty_only,4090,8995,778,9773,0.07960708073263072
efficientnet_b4_mc_dropout_uncertainty_only,dual_metric,9151,9014,4881,13895,0.351277437927312
efficientnet_b4_mc_dropout_uncertainty_only,random_matched,9151,12217,1678,13895,0.12076286433969054
efficientnet_b4_mc_dropout_uncertainty_only,risk_only,5200,9813,4082,13895,0.2937747391147895
efficientnet_b4_mc_dropout_uncertainty_only,uncertainty_only,4180,12922,973,13895,0.07002518891687658
resnet50_entropy_dual_metric,dual_metric,4678,4945,1345,6290,0.2138314785373609
resnet50_entropy_dual_metric,random_matched,4678,5794,496,6290,0.07885532591414944
resnet50_entropy_dual_metric,risk_only,436,5906,384,6290,0.06104928457869634
resnet50_entropy_dual_metric,uncertainty_only,4242,5329,961,6290,0.15278219395866455
resnet50_entropy_uncertainty_only,dual_metric,6736,7007,3427,10434,0.3284454667433391
resnet50_entropy_uncertainty_only,random_matched,6736,9493,941,10434,0.09018593061146253
resnet50_entropy_uncertainty_only,risk_only,2457,8109,2325,10434,0.2228292121909143
resnet50_entropy_uncertainty_only,uncertainty_only,4284,9327,1107,10434,0.10609545715928695
resnet50_least_confidence_dual_metric,dual_metric,4596,4926,1347,6273,0.2147297943567671
resnet50_least_confidence_dual_metric,random_matched,4596,5803,470,6273,0.07492427865455126
resnet50_least_confidence_dual_metric,risk_only,419,5899,374,6273,0.05962059620596206
resnet50_least_confidence_dual_metric,uncertainty_only,4180,5297,976,6273,0.15558743822732346
resnet50_least_confidence_uncertainty_only,dual_metric,6690,6396,3375,9771,0.34540988639852627
resnet50_least_confidence_uncertainty_only,random_matched,6690,8889,882,9771,0.09026711697881486
resnet50_least_confidence_uncertainty_only,risk_only,2413,7486,2285,9771,0.23385528605055778
resnet50_least_confidence_uncertainty_only,uncertainty_only,4318,8645,1126,9771,0.11523897246955275
resnet50_margin_dual_metric,dual_metric,4691,4679,1352,6031,0.2241750953407395
resnet50_margin_dual_metric,random_matched,4691,5517,514,6031,0.08522633062510362
resnet50_margin_dual_metric,risk_only,454,5629,402,6031,0.06665561266788261
resnet50_margin_dual_metric,uncertainty_only,4256,5064,967,6031,0.16033825236279223
resnet50_margin_uncertainty_only,dual_metric,6793,5616,3313,8929,0.371038190166872
resnet50_margin_uncertainty_only,random_matched,6793,7972,957,8929,0.10717885541494009
resnet50_margin_uncertainty_only,risk_only,2302,6733,2196,8929,0.24594019487064622
resnet50_margin_uncertainty_only,uncertainty_only,4536,7772,1157,8929,0.1295777802665472
resnet50_mc_dropout_dual_metric,dual_metric,6235,3599,1394,4993,0.27919086721409975
resnet50_mc_dropout_dual_metric,random_matched,6235,4150,843,4993,0.168836370919287
resnet50_mc_dropout_dual_metric,risk_only,541,4529,464,4993,0.0929301021430002
resnet50_mc_dropout_dual_metric,uncertainty_only,5748,4022,971,4993,0.19447226116563188
