model,method,policy,accuracy,mean_confidence,overconfidence_gap,ece,ece_adaptive,mce,brier_multiclass,nll,risk_ece,risk_ece_adaptive,risk_mce,risk_brier,risk_mean_score,risk_base_rate,temperature,ece_heldout_before_T,ece_heldout_after_T
densenet169,entropy,dual_metric,0.889763779527559,0.9677719807716536,0.07800820124409458,0.07800820124409448,0.07800841103937015,0.3153184276086958,0.18702893390481345,0.5290279039931607,0.05278225206320089,0.05000731849491161,0.3643385616666666,0.05984527888541811,0.18250483181081487,0.18320209973753282,2.5125,0.07165744907660025,0.020430981055272752
densenet169,entropy,uncertainty_only,0.8876640419947507,0.9668141743149606,0.07915013232020995,0.08105079783202106,0.07915013494488195,0.4349031757142856,0.1896673711318358,0.5533870965286525,0.06025194001572111,0.05715178224531198,0.40281010458333333,0.06699383359733511,0.18101030361682482,0.18320209973753282,2.46,0.08275058717733488,0.028370952715061064
densenet169,least_confidence,dual_metric,0.9013123359580052,0.9733698303884515,0.07205749443044629,0.07270917973228348,0.07205749443044618,0.62073025,0.16546316045961665,0.49755813211411176,0.05517156876228783,0.047705450290030565,0.660275045,0.06037482571882695,0.17268062642931323,0.18320209973753282,2.4400000000000004,0.07328573018887724,0.015842934816971296
densenet169,least_confidence,uncertainty_only,0.8913385826771654,0.9678880382362205,0.07654945555905512,0.07682390433595804,0.0765495088923884,0.3592706347619049,0.18405250957429398,0.5462756747381846,0.05798561595656338,0.056589638716882065,0.6285201033333333,0.06523269478737224,0.17842459713530012,0.18320209973753282,2.4925,0.07327789277019946,0.025725649359413023
densenet169,margin,dual_metric,0.8955380577427822,0.9668971849343833,0.07135912719160109,0.07222643760629915,0.07135974424146983,0.67469576,0.17855798585985164,0.5278272408415198,0.05595546515906776,0.05352504730245444,0.4619479577777778,0.06312313301074131,0.18409270940261205,0.18320209973753282,2.27,0.07116648994753419,0.02064091101933776
densenet169,margin,uncertainty_only,0.8908136482939633,0.9664061507664042,0.07559250247244098,0.07792110399475062,0.07559256033070863,0.366904955,0.1875738731701131,0.5403856809897499,0.06005980247078964,0.04839384732934039,0.431765918,0.06651795427866636,0.17031600078380352,0.18320209973753282,2.4725,0.07413258157397687,0.02123653043796448
densenet169,mc_dropout,dual_metric,0.8960629921259843,0.9676029275275589,0.07153993540157466,0.0715399354015748,0.07153994636220472,0.2778901294117647,0.17654038008674125,0.5216905046243426,0.05407189668101846,0.04230540015431401,0.43920718999999975,0.06103316977414722,0.17324767202239363,0.18320209973753282,2.37,0.07880324456453298,0.025379798286391697
densenet169,mc_dropout,uncertainty_only,0.8892388451443569,0.9643736766509187,0.07513483150656175,0.07513483150656164,0.0751348315065617,0.39919713,0.18491749991826334,0.5188546901663035,0.056451165060243697,0.0508029866584177,0.4613243399999999,0.06459683696669787,0.18369224286626548,0.18320209973753282,2.4125,0.07643834801678903,0.020184221507612694
efficientnet_b4,entropy,dual_metric,0.8745406824146982,0.9441792345879265,0.06963855217322834,0.07037924676640415,0.06967402383727028,0.7055116,0.20573138500874177,0.4829963086890673,0.06283979093525593,0.06167889200800308,0.4491890830769229,0.0736859357753649,0.18277012581015087,0.18320209973753282,1.8775,0.06757000271773356,0.026396618182923923
efficientnet_b4,entropy,uncertainty_only,0.8503937007874016,0.9290438651863516,0.07865016439895,0.07995939076115481,0.07866201423622046,0.22898691260000004,0.23198593752411176,0.5149275493589418,0.0685970521413323,0.06474409965421256,0.47934916684210516,0.08151623265538036,0.20306190679830022,0.18320209973753282,1.6775000000000002,0.08148859737670522,0.025209352085819186
efficientnet_b4,least_confidence,dual_metric,0.8719160104986876,0.9405550801259843,0.06863906962729671,0.06863906962729653,0.0686434575538058,0.31769246,0.19611225770447266,0.43845364659330677,0.049942721231052076,0.0480304670239327,0.4818283128571429,0.06587420147872303,0.180422870328003,0.18320209973753282,1.6725,0.0785247507345226,0.030119690235141657
efficientnet_b4,least_confidence,uncertainty_only,0.8750656167979003,0.9322055187244095,0.057139901926509196,0.060779277139107635,0.05713990192650918,0.71609336,0.20198738877290454,0.46625036385125024,0.05745399212953449,0.053884469295742886,0.394719857894737,0.07194567327627961,0.17196789709881197,0.18320209973753282,1.6425,0.05950619349422891,0.020184558582594277
efficientnet_b4,margin,dual_metric,0.8745406824146982,0.9444083722467191,0.06986768983202096,0.07107453933333333,0.06987945690813648,0.37098789079365074,0.20080412376306608,0.4581822370310368,0.05905191861866836,0.05209506115103976,0.5576975785714287,0.0693767956971958,0.17578162259917943,0.18320209973753282,1.835,0.07066761426023076,0.02017463596894054
efficientnet_b4,margin,uncertainty_only,0.8677165354330708,0.9357154149553806,0.06799887952230976,0.06799887952230982,0.06800030259842513,0.27435501416666663,0.20209874989783116,0.4617845924620104,0.05711012348178071,0.057477778946745786,0.4190906557142857,0.06921873549552195,0.19275515949984656,0.18320209973753282,1.7125000000000001,0.07612360933892978,0.03142865121978951
efficientnet_b4,mc_dropout,dual_metric,0.8792650918635171,0.9339418590183726,0.05467676715485548,0.056061372068241494,0.05471539518635174,0.18840516857142853,0.18431516416980817,0.41482905692936706,0.048618543377045124,0.04409895087279456,0.31421606125,0.06136907624084823,0.18726526610326982,0.18320209973753282,1.6600000000000001,0.05600123970619098,0.017452922097438362
efficientnet_b4,mc_dropout,uncertainty_only,0.8719160104986876,0.9271111030761156,0.05519509257742794,0.055734125669291396,0.05519809339632548,0.307021835,0.19573510551363035,0.4335927172802801,0.04464333703516257,0.039391627277957524,0.3274737466666666,0.06463544915247439,0.18166028522205527,0.18320209973753282,1.5625,0.06049020649527804,0.0223121539964778
resnet50,entropy,dual_metric,0.8986876640419947,0.9719193536955382,0.07323168965354343,0.07416529031496062,0.07323182653543309,0.3130733031818182,0.17550431584997783,0.547055195712511,0.05405661914490102,0.046312886113599655,0.46115873,0.06136526778805288,0.17177194596795986,0.18320209973753282,2.4025,0.07372617164742912,0.017658720056584407
resnet50,entropy,uncertainty_only,0.8934383202099737,0.968817128776903,0.07537880856692925,0.07560307220997381,0.07538210073490814,0.43244818,0.18043675978916357,0.5290716315681564,0.059378142620376405,0.05205266220789252,0.57444575125,0.06497672856818774,0.17314988188356056,0.18320209973753282,2.2175000000000002,0.07558398143756567,0.028232179832727477
resnet50,least_confidence,dual_metric,0.8971128608923884,0.9698048966981627,0.07269203580577432,0.07269203580577427,0.07270288905511803,0.38609724,0.1694475050273982,0.47404741463068367,0.050969957120638856,0.042884799921251646,0.33314654833333324,0.057122761969924815,0.17103598138854753,0.18320209973753282,2.1475000000000004,0.07304553700944383,0.01923380445564133
