model,method,target_accuracy,labels_dual,labels_unc,labels_saved_by_dual
efficientnet_b4,entropy,0.75,2758.0,2346.0,-412.0
efficientnet_b4,entropy,0.8,2918.0,2496.0,-422.0
efficientnet_b4,entropy,0.85,3860.0,3396.0,-464.0
efficientnet_b4,entropy,0.88,,,
efficientnet_b4,mc_dropout,0.75,3734.0,3440.0,-294.0
efficientnet_b4,mc_dropout,0.8,3919.0,3614.0,-305.0
efficientnet_b4,mc_dropout,0.85,4702.0,4370.0,-332.0
efficientnet_b4,mc_dropout,0.88,,,
efficientnet_b4,margin,0.75,2920.0,2755.0,-165.0
efficientnet_b4,margin,0.8,3359.0,2934.0,-425.0
efficientnet_b4,margin,0.85,4001.0,3761.0,-240.0
efficientnet_b4,margin,0.88,,,
efficientnet_b4,least_confidence,0.75,2614.0,2336.0,-278.0
efficientnet_b4,least_confidence,0.8,2937.0,2739.0,-198.0
efficientnet_b4,least_confidence,0.85,3434.0,3230.0,-204.0
efficientnet_b4,least_confidence,0.88,,,
resnet50,entropy,0.75,2285.0,1760.0,-525.0
resnet50,entropy,0.8,2813.0,2120.0,-693.0
resnet50,entropy,0.85,3595.0,3406.0,-189.0
resnet50,entropy,0.88,4400.0,3839.0,-561.0
resnet50,mc_dropout,0.75,4394.0,3962.0,-432.0
resnet50,mc_dropout,0.8,4845.0,4375.0,-470.0
resnet50,mc_dropout,0.85,5328.0,4704.0,-624.0
resnet50,mc_dropout,0.88,5969.0,5548.0,-421.0
resnet50,margin,0.75,2089.0,2363.0,274.0
resnet50,margin,0.8,2622.0,2363.0,-259.0
resnet50,margin,0.85,3714.0,3222.0,-492.0
resnet50,margin,0.88,4101.0,4276.0,175.0
resnet50,least_confidence,0.75,2322.0,2144.0,-178.0
resnet50,least_confidence,0.8,2322.0,2144.0,-178.0
resnet50,least_confidence,0.85,3632.0,3262.0,-370.0
resnet50,least_confidence,0.88,4159.0,4058.0,-101.0
densenet169,entropy,0.75,2288.0,2061.0,-227.0
densenet169,entropy,0.8,2790.0,2466.0,-324.0
densenet169,entropy,0.85,3248.0,3198.0,-50.0
densenet169,entropy,0.88,4001.0,4074.0,73.0
densenet169,mc_dropout,0.75,3913.0,3723.0,-190.0
densenet169,mc_dropout,0.8,3913.0,3723.0,-190.0
densenet169,mc_dropout,0.85,4377.0,4382.0,5.0
densenet169,mc_dropout,0.88,5008.0,4912.0,-96.0
densenet169,margin,0.75,2323.0,1978.0,-345.0
densenet169,margin,0.8,2323.0,2475.0,152.0
densenet169,margin,0.85,3631.0,3199.0,-432.0
densenet169,margin,0.88,4535.0,4082.0,-453.0
densenet169,least_confidence,0.75,2384.0,1971.0,-413.0
densenet169,least_confidence,0.8,2864.0,2522.0,-342.0
densenet169,least_confidence,0.85,3335.0,2910.0,-425.0
densenet169,least_confidence,0.88,4075.0,4044.0,-31.0
