model,method,policy,population,n,n_malignant,auc_risk_head,auc_summed_probs,mean_risk_head,mean_summed_probs,frac_flagged_risk_head_at_0.5,frac_flagged_summed_at_0.5
densenet169,entropy,dual_metric,all_images,1905,349,0.9559547660963016,0.9572778633038943,,,,
densenet169,entropy,dual_metric,misclassified,210,86,0.41597899474868716,0.397880720180045,,,,
densenet169,entropy,dual_metric,confidently_misclassified,117,53,0.41715801886792453,0.4097877358490566,,,,
densenet169,entropy,dual_metric,false_negatives_only,69,69,,,0.12050433181243948,0.08735861049815961,0.07246376811594203,0.0
densenet169,entropy,uncertainty_only,all_images,1905,349,0.9505970050308999,0.9482693851695259,,,,
densenet169,entropy,uncertainty_only,misclassified,214,98,0.3770232230823364,0.3399014778325123,,,,
densenet169,entropy,uncertainty_only,confidently_misclassified,122,61,0.24187046492878259,0.23649556570814298,,,,
densenet169,entropy,uncertainty_only,false_negatives_only,80,80,,,0.12580557669788775,0.09132312904372036,0.1,0.0
densenet169,least_confidence,dual_metric,all_images,1905,349,0.9635517563954302,0.962299555837096,,,,
densenet169,least_confidence,dual_metric,misclassified,188,91,0.42494618783278576,0.38642800498470603,,,,
densenet169,least_confidence,dual_metric,confidently_misclassified,105,55,0.39454545454545453,0.3538181818181818,,,,
densenet169,least_confidence,dual_metric,false_negatives_only,78,78,,,0.08673164580433348,0.0807943160979011,0.02564102564102564,0.01282051282051282
densenet169,least_confidence,uncertainty_only,all_images,1905,349,0.9568156539801563,0.9577419140990417,,,,
densenet169,least_confidence,uncertainty_only,misclassified,207,94,0.40933910751270947,0.3841084541517605,,,,
densenet169,least_confidence,uncertainty_only,confidently_misclassified,120,60,0.3452777777777778,0.3441666666666667,,,,
densenet169,least_confidence,uncertainty_only,false_negatives_only,76,76,,,0.09011768190987342,0.07706844350212443,0.039473684210526314,0.02631578947368421
densenet169,margin,dual_metric,all_images,1905,349,0.953749604083647,0.9561398339729378,,,,
densenet169,margin,dual_metric,misclassified,199,85,0.35304437564499486,0.3328173374613003,,,,
densenet169,margin,dual_metric,confidently_misclassified,120,59,0.3284245623784385,0.31925534870797445,,,,
