experiment_id,model,method,policy,total_seconds,mean_round_seconds,final_labeled,total_queries,total_hours
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,11646.490406751633,776.4326937834422,5263,4773,3.2351362240976758
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,10917.436903238297,727.829126882553,4974,4484,3.0326213620106377
densenet169_least_confidence_dual_metric,densenet169,least_confidence,dual_metric,11670.388203382492,778.0258802254995,5312,4822,3.2417745009395813
densenet169_least_confidence_uncertainty_only,densenet169,least_confidence,uncertainty_only,10523.176799535751,701.5451199690501,4944,4454,2.9231046665377085
densenet169_margin_dual_metric,densenet169,margin,dual_metric,11326.233537912369,755.0822358608245,5307,4817,3.146175982753436
densenet169_margin_uncertainty_only,densenet169,margin,uncertainty_only,10405.742035865784,693.7161357243856,4832,4342,2.8904838988516066
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,26604.70399403572,1773.6469329357146,6243,5753,7.3901955538988116
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,26332.108248710632,1755.4738832473754,5962,5472,7.314474513530731
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,9947.524173498154,663.1682782332102,4466,3976,2.7632011593050425
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,8537.598727464676,569.1732484976451,3846,3356,2.371555202073521
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,10996.686893701553,733.1124595801035,4373,3883,3.0546352482504315
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,8947.93232369423,596.5288215796153,3980,3490,2.4855367565817303
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,10753.025090932846,716.8683393955231,4778,4288,2.9869514141480127
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,9844.196712970734,656.2797808647156,4361,3871,2.734499086936315
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,24454.970266342163,1630.3313510894775,5164,4674,6.793047296206156
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,23996.27285051346,1599.7515233675638,4670,4180,6.665631347364849
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,10685.455412626266,712.3636941750844,5168,4678,2.9681820590628516
resnet50_entropy_uncertainty_only,resnet50,entropy,uncertainty_only,9466.39160490036,631.092773660024,4774,4284,2.6295532235834336
resnet50_least_confidence_dual_metric,resnet50,least_confidence,dual_metric,10568.82713675499,704.588475783666,5085,4595,2.935785315765275
resnet50_least_confidence_uncertainty_only,resnet50,least_confidence,uncertainty_only,9582.41559100151,638.8277060667674,4808,4318,2.6617821086115305
resnet50_margin_dual_metric,resnet50,margin,dual_metric,10648.866240024567,709.9244160016377,5180,4690,2.958018400006824
resnet50_margin_uncertainty_only,resnet50,margin,uncertainty_only,11061.033566236496,737.4022377490998,5026,4536,3.0725093239545824
resnet50_mc_dropout_dual_metric,resnet50,mc_dropout,dual_metric,25314.903665304184,1687.6602443536124,6725,6235,7.031917684806718
resnet50_mc_dropout_uncertainty_only,resnet50,mc_dropout,uncertainty_only,24562.36257648468,1637.490838432312,6298,5808,6.822878493467967
