model,method,method_key,citation,total_labels_queried,accuracy,f1_macro,fn_rate_malignant,melanoma_recall,unsafe_auto_accepts_final_round,unsafe_auto_accepts_cumulative,accuracy_recomputed,accuracy_matches_log
efficientnet_b4,Dual-metric (ours),entropy_dual_metric,this work,3976,0.8745406824146982,0.7867847886572735,0.2435530085959885,0.6842105263157895,209,7362,0.8745406824146982,True
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,this work,3356,0.8503937007874016,0.7487771967964997,0.2435530085959885,0.6889952153110048,523,12346,0.8503937007874016,True
efficientnet_b4,CoreSet,baseline_coreset,"Sener & Savarese, ICLR 2018",3976,0.8776902887139107,0.776712761912812,0.2578796561604584,0.6507177033492823,331,9893,0.8776902887139107,True
efficientnet_b4,BADGE,baseline_badge,"Ash et al., ICLR 2020",3976,0.8603674540682414,0.756880058255695,0.2722063037249284,0.6363636363636364,419,10963,0.8603674540682414,True
efficientnet_b4,CLUE,baseline_clue,"Prabhu et al., ICCV 2021",3976,0.8619422572178478,0.769999485456953,0.2005730659025787,0.7464114832535885,489,11873,0.8619422572178478,True
efficientnet_b4,VAAL,baseline_vaal,"Sinha et al., ICCV 2019",3976,0.8435695538057743,0.7128003481668853,0.2607449856733524,0.6363636363636364,672,12745,0.8435695538057743,True
resnet50,Dual-metric (ours),entropy_dual_metric,this work,4678,0.8986876640419947,0.8103664162570544,0.2206303724928366,0.7272727272727273,50,4945,0.8986876640419947,True
resnet50,Uncertainty-only,entropy_uncertainty_only,this work,4284,0.8934383202099737,0.7960523129162121,0.2406876790830945,0.6555023923444976,288,9327,0.8934383202099737,True
resnet50,CoreSet,baseline_coreset,"Sener & Savarese, ICLR 2018",4678,0.8855643044619422,0.7945977224012906,0.2177650429799427,0.7177033492822966,365,9575,0.8855643044619422,True
resnet50,BADGE,baseline_badge,"Ash et al., ICLR 2020",4678,0.8929133858267716,0.7992718542752163,0.2234957020057306,0.6842105263157895,224,8194,0.8929133858267716,True
resnet50,CLUE,baseline_clue,"Prabhu et al., ICCV 2021",4678,0.8834645669291339,0.7989916902394596,0.2378223495702005,0.6842105263157895,214,8481,0.8834645669291339,True
resnet50,VAAL,baseline_vaal,"Sinha et al., ICCV 2019",4678,0.8446194225721785,0.7176723182048264,0.3065902578796561,0.6028708133971292,572,12628,0.8446194225721785,True
densenet169,Dual-metric (ours),entropy_dual_metric,this work,4773,0.889763779527559,0.8166412846028936,0.1977077363896848,0.7511961722488039,40,4495,0.889763779527559,True
densenet169,Uncertainty-only,entropy_uncertainty_only,this work,4484,0.8876640419947507,0.81923354466989,0.2292263610315186,0.7033492822966507,219,8275,0.8876640419947507,True
densenet169,CoreSet,baseline_coreset,"Sener & Savarese, ICLR 2018",4773,0.8965879265091864,0.8046287887221268,0.2091690544412607,0.7464114832535885,277,8543,0.8965879265091864,True
densenet169,BADGE,baseline_badge,"Ash et al., ICLR 2020",4773,0.8866141732283465,0.8069606000446152,0.1948424068767908,0.7416267942583732,181,6947,0.8866141732283465,True
densenet169,CLUE,baseline_clue,"Prabhu et al., ICCV 2021",4773,0.8771653543307086,0.7691981201886897,0.2349570200573066,0.6794258373205742,190,7397,0.8771653543307086,True
densenet169,VAAL,baseline_vaal,"Sinha et al., ICCV 2019",4773,0.863517060367454,0.7400337055218126,0.2865329512893982,0.6076555023923444,526,11308,0.863517060367454,True
