model,compared_to,ours_unsafe_cumulative,baseline_unsafe_cumulative,absolute_reduction,relative_reduction_pct,ours_unsafe_final_round,baseline_unsafe_final_round,ours_labels,baseline_labels,cost_matched
efficientnet_b4,Uncertainty-only,7362,12346,4984,40.36935039688968,209,523,3976,3356,False
efficientnet_b4,CoreSet,7362,9893,2531,25.583746083089054,209,331,3976,3976,True
efficientnet_b4,BADGE,7362,10963,3601,32.84684849037672,209,419,3976,3976,True
efficientnet_b4,CLUE,7362,11873,4511,37.993767371346756,209,489,3976,3976,True
efficientnet_b4,VAAL,7362,12745,5383,42.2361710474696,209,672,3976,3976,True
resnet50,Uncertainty-only,4945,9327,4382,46.9818805618098,50,288,4678,4284,False
resnet50,CoreSet,4945,9575,4630,48.35509138381201,50,365,4678,4678,True
resnet50,BADGE,4945,8194,3249,39.65096412008787,50,224,4678,4678,True
resnet50,CLUE,4945,8481,3536,41.693196557009784,50,214,4678,4678,True
resnet50,VAAL,4945,12628,7683,60.840988280012674,50,572,4678,4678,True
densenet169,Uncertainty-only,4495,8275,3780,45.6797583081571,40,219,4773,4484,False
densenet169,CoreSet,4495,8543,4048,47.38382301299309,40,277,4773,4773,True
densenet169,BADGE,4495,6947,2452,35.295811141499925,40,181,4773,4773,True
densenet169,CLUE,4495,7397,2902,39.23212113018791,40,190,4773,4773,True
densenet169,VAAL,4495,11308,6813,60.24938096922533,40,526,4773,4773,True
