model,ours_vs,method_key,n_test_images,accuracy_ours,accuracy_other,accuracy_delta_pp,accuracy_delta_ci_lo_pp,accuracy_delta_ci_hi_pp,n_correct_ours_only,n_correct_other_only,mcnemar_accuracy_p,n_malignant_images,malignant_caught_ours,malignant_caught_other,n_caught_ours_only,n_caught_other_only,mcnemar_malignant_p,mcnemar_accuracy_p_holm,accuracy_sig_holm,mcnemar_malignant_p_holm,malignant_sig_holm
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,1905,0.8745406824146982,0.8503937007874016,2.414698162729656,1.1023622047244053,3.8320209973753183,105,59,0.0004081757480717817,349,264,264,19,19,1.0,0.005306284724933162,True,1.0,False
efficientnet_b4,CoreSet,baseline_coreset,1905,0.8745406824146982,0.8776902887139107,-0.31496062992125706,-1.4711286089238897,0.9448818897637712,72,78,0.6832317601040961,349,264,259,24,19,0.542384011856484,1.0,False,1.0,False
efficientnet_b4,BADGE,baseline_badge,1905,0.8745406824146982,0.8603674540682414,1.4173228346456734,0.15748031496063408,2.729658792650924,91,64,0.036422752537651655,349,264,254,31,21,0.21160856876151612,0.36422752537651654,False,1.0,False
efficientnet_b4,CLUE,baseline_clue,1905,0.8745406824146982,0.8619422572178478,1.2598425196850394,-0.10498687664042272,2.677165354330702,99,75,0.08092659296355391,349,264,279,19,34,0.053438810537711046,0.6474127437084313,False,0.6947045369902436,False
efficientnet_b4,VAAL,baseline_vaal,1905,0.8745406824146982,0.8435695538057743,3.0971128608923926,1.5223097112860957,4.671916010498689,144,85,0.00011701443932289645,349,264,258,35,29,0.5323087760278422,0.0016382021505205503,True,1.0,False
resnet50,Uncertainty-only,entropy_uncertainty_only,1905,0.8986876640419947,0.8934383202099737,0.5249343832021025,-0.6299212598425252,1.7322834645669305,76,66,0.4502079923492324,349,272,265,29,22,0.4010619910279374,1.0,False,1.0,False
resnet50,CoreSet,baseline_coreset,1905,0.8986876640419947,0.8855643044619422,1.3123359580052507,0.0,2.57217847769029,89,64,0.051988852826861796,349,272,273,24,25,1.0,0.46789967544175615,False,1.0,False
resnet50,BADGE,baseline_badge,1905,0.8986876640419947,0.8929133858267716,0.5774278215223139,-0.7874015748031482,1.8372703412073421,89,78,0.43912892878033766,349,272,271,32,31,1.0,1.0,False,1.0,False
resnet50,CLUE,baseline_clue,1905,0.8986876640419947,0.8834645669291339,1.522309711286085,0.31496062992125706,2.782152230971125,91,62,0.02328011696412681,349,272,266,31,25,0.5044037600228255,0.2560812866053949,False,1.0,False
resnet50,VAAL,baseline_vaal,1905,0.8986876640419947,0.8446194225721785,5.406824146981625,3.884514435695541,6.876640419947499,162,59,2.7336334297182696e-12,349,272,242,48,18,0.00028711844966164033,4.1004501445774044e-11,True,0.004019658295262965,True
densenet169,Uncertainty-only,entropy_uncertainty_only,1905,0.889763779527559,0.8876640419947507,0.20997375328083434,-1.049868766404205,1.5748031496062964,85,81,0.8159682796071845,349,280,269,28,17,0.1351564508456704,1.0,False,1.0,False
densenet169,CoreSet,baseline_coreset,1905,0.889763779527559,0.8965879265091864,-0.6824146981627366,-1.8897637795275646,0.5249343832021025,64,77,0.3122129316569943,349,280,276,25,21,0.6587380770236564,1.0,False,1.0,False
densenet169,BADGE,baseline_badge,1905,0.889763779527559,0.8866141732283465,0.31496062992125706,-0.8937007874015759,1.6797900262467191,81,75,0.6890542729314691,349,280,281,24,25,1.0,1.0,False,1.0,False
densenet169,CLUE,baseline_clue,1905,0.889763779527559,0.8771653543307086,1.2598425196850394,-0.05249343832021136,2.677165354330713,106,82,0.09319121392242558,349,280,267,32,19,0.09191454981585423,0.652338497456979,False,1.0,False
densenet169,VAAL,baseline_vaal,1905,0.889763779527559,0.863517060367454,2.6246719160105014,1.207349081364828,4.0958005249343845,132,82,0.0007705623548308483,349,280,249,46,15,8.837556327558756e-05,0.009246748257970179,True,0.0013256334491338134,True
