ours_vs,metric,better_is,n_backbones,backbones_ours_wins,mean_difference_ours_minus_other,note
Uncertainty-only,accuracy,higher,3,3,0.010498687664041976,"n=3: direction only, significance not attainable"
Uncertainty-only,f1_macro,higher,3,2,0.0165764783782066,"n=3: direction only, significance not attainable"
Uncertainty-only,fn_rate_malignant,lower,3,2,-0.0171919770773639,"n=3: direction only, significance not attainable"
Uncertainty-only,melanoma_recall,higher,3,2,0.0382775119617225,"n=3: direction only, significance not attainable"
Uncertainty-only,unsafe_auto_accepts_cumulative,lower,3,3,-4382.0,"n=3: direction only, significance not attainable"
CoreSet,accuracy,higher,3,1,0.0010498687664041901,"n=3: direction only, significance not attainable"
CoreSet,f1_macro,higher,3,3,0.012617738826997385,"n=3: direction only, significance not attainable"
CoreSet,fn_rate_malignant,lower,3,2,-0.007640878701050624,"n=3: direction only, significance not attainable"
CoreSet,melanoma_recall,higher,3,3,0.015948963317384417,"n=3: direction only, significance not attainable"
CoreSet,unsafe_auto_accepts_cumulative,lower,3,3,-3736.3333333333335,"n=3: direction only, significance not attainable"
BADGE,accuracy,higher,3,3,0.0076990376202974815,"n=3: direction only, significance not attainable"
BADGE,f1_macro,higher,3,3,0.016893325647231672,"n=3: direction only, significance not attainable"
BADGE,fn_rate_malignant,lower,3,2,-0.009551098376313294,"n=3: direction only, significance not attainable"
BADGE,melanoma_recall,higher,3,3,0.033492822966507206,"n=3: direction only, significance not attainable"
BADGE,unsafe_auto_accepts_cumulative,lower,3,3,-3100.6666666666665,"n=3: direction only, significance not attainable"
CLUE,accuracy,higher,3,3,0.013473315835520546,"n=3: direction only, significance not attainable"
CLUE,f1_macro,higher,3,3,0.02520106454403977,"n=3: direction only, significance not attainable"
CLUE,fn_rate_malignant,lower,3,2,-0.0038204393505252934,"n=3: direction only, significance not attainable"
CLUE,melanoma_recall,higher,3,2,0.017543859649122823,"n=3: direction only, significance not attainable"
CLUE,unsafe_auto_accepts_cumulative,lower,3,3,-3649.6666666666665,"n=3: direction only, significance not attainable"
VAAL,accuracy,higher,3,3,0.037095363079615064,"n=3: direction only, significance not attainable"
VAAL,f1_macro,higher,3,3,0.08109537254123245,"n=3: direction only, significance not attainable"
VAAL,fn_rate_malignant,lower,3,3,-0.06399235912129894,"n=3: direction only, significance not attainable"
VAAL,melanoma_recall,higher,3,3,0.10526315789473688,"n=3: direction only, significance not attainable"
VAAL,unsafe_auto_accepts_cumulative,lower,3,3,-6626.333333333333,"n=3: direction only, significance not attainable"
