model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
densenet169,BADGE,baseline_badge,1,1289,1779,0.6257217847769029,0.4034862132696024,0.2521489971346705,1067
densenet169,BADGE,baseline_badge,2,1798,2288,0.8083989501312336,0.6773491630270225,0.2234957020057306,921
densenet169,BADGE,baseline_badge,3,2300,2790,0.8330708661417323,0.7278901804703388,0.2693409742120344,768
densenet169,BADGE,baseline_badge,4,2758,3248,0.8551181102362204,0.7604464060127496,0.2893982808022922,616
densenet169,BADGE,baseline_badge,5,3123,3613,0.8519685039370078,0.7655639648346624,0.2320916905444126,535
densenet169,BADGE,baseline_badge,6,3343,3833,0.8724409448818897,0.769955370176221,0.2808022922636103,465
densenet169,BADGE,baseline_badge,7,3511,4001,0.8729658792650918,0.7577721467091347,0.2722063037249284,441
densenet169,BADGE,baseline_badge,8,3684,4174,0.8797900262467192,0.7818455413672515,0.2808022922636103,387
densenet169,BADGE,baseline_badge,9,3839,4329,0.8866141732283465,0.785755637814473,0.2750716332378223,340
densenet169,BADGE,baseline_badge,10,3998,4488,0.8881889763779528,0.7891313915446386,0.2550143266475644,311
densenet169,BADGE,baseline_badge,11,4156,4646,0.8971128608923884,0.8230949403864195,0.2263610315186246,277
densenet169,BADGE,baseline_badge,12,4310,4800,0.89501312335958,0.8010446284929813,0.2521489971346705,247
densenet169,BADGE,baseline_badge,13,4464,4954,0.8934383202099737,0.8138564870984091,0.2722063037249284,201
densenet169,BADGE,baseline_badge,14,4620,5110,0.8923884514435696,0.8249286005955749,0.2263610315186246,190
densenet169,BADGE,baseline_badge,15,4773,5263,0.8866141732283465,0.8069606000446152,0.1948424068767908,181
densenet169,CLUE,baseline_clue,1,1289,1779,0.6257217847769029,0.4034862132696024,0.2521489971346705,1089
densenet169,CLUE,baseline_clue,2,1798,2288,0.7753280839895013,0.6658881922025586,0.2406876790830945,946
densenet169,CLUE,baseline_clue,3,2300,2790,0.820997375328084,0.7348262687526633,0.2922636103151863,779
densenet169,CLUE,baseline_clue,4,2758,3248,0.8330708661417323,0.7476540185530747,0.2292263610315186,658
densenet169,CLUE,baseline_clue,5,3123,3613,0.85249343832021,0.7786300858351994,0.2722063037249284,565
densenet169,CLUE,baseline_clue,6,3343,3833,0.8519685039370078,0.7421691233633482,0.329512893982808,512
densenet169,CLUE,baseline_clue,7,3511,4001,0.8698162729658793,0.8118951277892076,0.2578796561604584,471
densenet169,CLUE,baseline_clue,8,3684,4174,0.8792650918635171,0.8038507178103504,0.2779369627507163,420
