experiment_id,environment_json,captured_at_utc,seed,split_seed,strategy,git_commit,gpu,cuda,python,torch,numpy,sklearn
densenet169_baseline_badge,present,2026-07-28T22:25:04.154599+00:00,42.0,42.0,badge,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
densenet169_baseline_clue,present,2026-07-28T22:24:54.517230+00:00,42.0,42.0,clue,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
densenet169_baseline_coreset,present,2026-07-28T22:24:44.014043+00:00,42.0,42.0,coreset,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
densenet169_baseline_vaal,present,2026-07-28T22:25:14.849101+00:00,42.0,42.0,vaal,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
densenet169_entropy_dual_metric,absent,,,,,,,,,,,
densenet169_entropy_uncertainty_only,absent,,,,,,,,,,,
densenet169_least_confidence_dual_metric,absent,,,,,,,,,,,
densenet169_least_confidence_uncertainty_only,absent,,,,,,,,,,,
densenet169_margin_dual_metric,absent,,,,,,,,,,,
densenet169_margin_uncertainty_only,absent,,,,,,,,,,,
densenet169_mc_dropout_dual_metric,absent,,,,,,,,,,,
densenet169_mc_dropout_uncertainty_only,absent,,,,,,,,,,,
efficientnet_b4_baseline_badge,present,2026-07-29T08:26:22.133952+00:00,42.0,42.0,badge,ba50aafe36401adf666403380257e662f5d9eba8,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
efficientnet_b4_baseline_clue,present,2026-07-29T08:23:06.594078+00:00,42.0,42.0,clue,ba50aafe36401adf666403380257e662f5d9eba8,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
efficientnet_b4_baseline_coreset,present,2026-07-29T08:04:24.213184+00:00,42.0,42.0,coreset,ba50aafe36401adf666403380257e662f5d9eba8,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
efficientnet_b4_baseline_vaal,present,2026-07-29T18:34:58.081633+00:00,42.0,42.0,vaal,ba50aafe36401adf666403380257e662f5d9eba8,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
efficientnet_b4_entropy_dual_metric,absent,,,,,,,,,,,
efficientnet_b4_entropy_uncertainty_only,absent,,,,,,,,,,,
efficientnet_b4_least_confidence_dual_metric,absent,,,,,,,,,,,
efficientnet_b4_least_confidence_uncertainty_only,absent,,,,,,,,,,,
efficientnet_b4_margin_dual_metric,absent,,,,,,,,,,,
efficientnet_b4_margin_uncertainty_only,absent,,,,,,,,,,,
efficientnet_b4_mc_dropout_dual_metric,absent,,,,,,,,,,,
efficientnet_b4_mc_dropout_uncertainty_only,absent,,,,,,,,,,,
resnet50_baseline_badge,present,2026-07-28T18:34:16.636746+00:00,42.0,42.0,badge,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
resnet50_baseline_clue,present,2026-07-28T18:30:53.464168+00:00,42.0,42.0,clue,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
resnet50_baseline_coreset,present,2026-07-28T18:27:52.517938+00:00,42.0,42.0,coreset,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
resnet50_baseline_vaal,present,2026-07-28T18:37:09.115196+00:00,42.0,42.0,vaal,ece6c4a053def055adb095d20594b68c29dea2ef,Tesla T4,12.8,3.12.13,2.11.0+cu128,2.0.2,1.6.1
resnet50_entropy_dual_metric,absent,,,,,,,,,,,
resnet50_entropy_uncertainty_only,absent,,,,,,,,,,,
resnet50_least_confidence_dual_metric,absent,,,,,,,,,,,
resnet50_least_confidence_uncertainty_only,absent,,,,,,,,,,,
resnet50_margin_dual_metric,absent,,,,,,,,,,,
resnet50_margin_uncertainty_only,absent,,,,,,,,,,,
resnet50_mc_dropout_dual_metric,absent,,,,,,,,,,,
resnet50_mc_dropout_uncertainty_only,absent,,,,,,,,,,,
