round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1779,6331,1289,1289,6331,1067,299.91850662231445,1.7745952606201172,0.9700417518615723,150,True,42,badge,1289,0.6257217847769029,0.4034862132696024,0.6708689140772157,0.2521489971346705,0.44976076555023925,0.39705882352941174,0.3176470588235294,0.5294117647058824,0.5641025641025641,0.45517241379310347,0.7415730337078652,0.33444816053511706,0.5376344086021505,0.24271844660194175,0.1487603305785124,0.08035714285714286,1.0,0.391156462585034,0.3034300791556728,0.5502392344497608,0.7933884297520661,0.9382716049382716,0.6872645064054258,0.19548872180451127,0.1092436974789916,0.9285714285714286
2,2288,5822,509,1798,5822,921,530.2501997947693,0.9849379062652588,0.9944169521331787,150,True,42,badge,509,0.8083989501312336,0.6773491630270225,0.8182057498532621,0.22349570200573066,0.3397129186602871,0.5137614678899083,0.4827586206896552,0.5490196078431373,0.7643979057591623,0.7156862745098039,0.8202247191011236,0.6535626535626535,0.6616915422885572,0.6456310679611651,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.5476190476190477,0.46779661016949153,0.6602870813397129,0.9038613081166272,0.9471511147811725,0.8643556895252449,0.7428571428571429,0.6190476190476191,0.9285714285714286
3,2790,5320,502,2300,5320,768,628.5351357460022,0.7143604159355164,0.9976687431335449,150,True,42,badge,502,0.8330708661417323,0.7278901804703388,0.8373101893240046,0.2693409742120344,0.3684210526315789,0.5544554455445545,0.56,0.5490196078431373,0.7717391304347826,0.7473684210526316,0.797752808988764,0.6559633027522935,0.6217391304347826,0.6941747572815534,0.8,0.7272727272727273,0.8888888888888888,0.5932584269662922,0.559322033898305,0.631578947368421,0.9198149575944488,0.941594317284925,0.8990203466465713,0.8,0.75,0.8571428571428571
4,3248,4862,458,2758,4862,616,725.4572005271912,0.5464240312576294,0.9980208873748779,150,True,42,badge,458,0.8551181102362204,0.7604464060127496,0.8559050948114781,0.28939828080229224,0.3684210526315789,0.627906976744186,0.7714285714285715,0.5294117647058824,0.8064516129032258,0.7731958762886598,0.8426966292134831,0.711943793911007,0.6877828054298643,0.7378640776699029,0.8421052631578947,0.8,0.8888888888888888,0.6182669789227166,0.6055045871559633,0.631578947368421,0.9285714285714286,0.9363984674329502,0.9208741522230596,0.7878787878787878,0.6842105263157895,0.9285714285714286
5,3613,4497,365,3123,4497,535,803.9967527389526,0.5185296535491943,0.9994003176689148,150,True,42,badge,365,0.8519685039370078,0.7655639648346624,0.8558869530275123,0.23209169054441262,0.3157894736842105,0.6262626262626263,0.6458333333333334,0.6078431372549019,0.7853403141361257,0.7352941176470589,0.8426966292134831,0.7239819004524887,0.6779661016949152,0.7766990291262136,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6441441441441441,0.6085106382978723,0.6842105263157895,0.923374613003096,0.949085123309467,0.8990203466465713,0.9285714285714286,0.9285714285714286,0.9285714285714286
6,3833,4277,220,3343,4277,465,880.7850043773651,0.27401378750801086,0.9996227025985718,150,True,42,badge,220,0.8724409448818897,0.769955370176221,0.8718507307109906,0.2808022922636103,0.3684210526315789,0.6597938144329897,0.6956521739130435,0.6274509803921569,0.8,0.813953488372093,0.7865168539325843,0.7373271889400922,0.7017543859649122,0.7766990291262136,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6633165829145728,0.6984126984126984,0.631578947368421,0.9397590361445783,0.9390519187358917,0.9404672192916352,0.8275862068965517,0.8,0.8571428571428571
7,4001,4109,168,3511,4109,441,909.3560845851898,0.21762874722480774,0.9998587369918823,150,True,42,badge,168,0.8729658792650918,0.7577721467091347,0.8729964301079257,0.2722063037249284,0.3588516746411483,0.5894736842105263,0.6363636363636364,0.5490196078431373,0.8478260869565217,0.8210526315789474,0.8764044943820225,0.7431192660550459,0.7043478260869566,0.7864077669902912,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6733668341708543,0.708994708994709,0.6411483253588517,0.9386828160484482,0.9429657794676806,0.9344385832705351,0.896551724137931,0.8666666666666667,0.9285714285714286
8,4174,3936,173,3684,3936,387,961.995945930481,0.10629964619874954,0.9998329877853394,150,True,42,badge,173,0.8797900262467192,0.7818455413672515,0.8783921701904254,0.2808022922636103,0.3397129186602871,0.6746987951807228,0.875,0.5490196078431373,0.8603351955307262,0.8555555555555555,0.8651685393258427,0.7552447552447552,0.726457399103139,0.7864077669902912,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.69,0.7225130890052356,0.6602870813397129,0.9377811094452774,0.9328859060402684,0.9427279577995479,0.8275862068965517,0.8,0.8571428571428571
9,4329,3781,155,3839,3781,340,987.2411053180695,0.1187204122543335,0.9999076724052429,150,True,42,badge,155,0.8866141732283465,0.785755637814473,0.8862661411700593,0.27507163323782235,0.3349282296650718,0.7021276595744681,0.7674418604651163,0.6470588235294118,0.847457627118644,0.8522727272727273,0.8426966292134831,0.7668161434977578,0.7125,0.8300970873786407,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7128205128205128,0.7679558011049724,0.6650717703349283,0.943794794417201,0.9448640483383686,0.9427279577995479,0.8,0.75,0.8571428571428571
10,4488,3622,159,3998,3622,311,1002.5031332969666,0.10604583472013474,0.9999597072601318,150,True,42,badge,159,0.8881889763779528,0.7891313915446386,0.8885292469289547,0.25501432664756446,0.3349282296650718,0.6808510638297872,0.7441860465116279,0.6274509803921569,0.8457142857142858,0.8604651162790697,0.8314606741573034,0.7860262008733624,0.7142857142857143,0.8737864077669902,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.702020202020202,0.7433155080213903,0.6650717703349283,0.9460895975702354,0.9533282325937261,0.9389600602863603,0.896551724137931,0.8666666666666667,0.9285714285714286
11,4646,3464,158,4156,3464,277,1012.6143016815186,0.04410998895764351,0.9999664425849915,150,True,42,badge,158,0.8971128608923884,0.8230949403864195,0.896626452170793,0.22636103151862463,0.2966507177033493,0.7126436781609196,0.8611111111111112,0.6078431372549019,0.8926553672316384,0.8977272727272727,0.8876404494382022,0.8046511627906977,0.7723214285714286,0.8398058252427184,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7135922330097088,0.7241379310344828,0.7033492822966507,0.9476459510357815,0.947289156626506,0.9480030143180106,0.9285714285714286,0.9285714285714286,0.9285714285714286
12,4800,3310,154,4310,3310,247,1045.7792346477509,0.032013751566410065,0.9999827742576599,150,True,42,badge,154,0.89501312335958,0.8010446284929813,0.8937857609453788,0.2521489971346705,0.32057416267942584,0.6808510638297872,0.7441860465116279,0.6274509803921569,0.8863636363636364,0.896551724137931,0.8764044943820225,0.7962962962962963,0.7610619469026548,0.8349514563106796,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7376623376623377,0.8068181818181818,0.6794258373205742,0.9438202247191011,0.9381980640357409,0.9495101733232856,0.8666666666666667,0.8125,0.9285714285714286
