round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1779,6331,1289,1289,6331,1089,317.56071972846985,1.7745952606201172,0.9700417518615723,150,True,42,clue,1289,0.6257217847769029,0.4034862132696024,0.6708689140772157,0.2521489971346705,0.44976076555023925,0.39705882352941174,0.3176470588235294,0.5294117647058824,0.5641025641025641,0.45517241379310347,0.7415730337078652,0.33444816053511706,0.5376344086021505,0.24271844660194175,0.1487603305785124,0.08035714285714286,1.0,0.391156462585034,0.3034300791556728,0.5502392344497608,0.7933884297520661,0.9382716049382716,0.6872645064054258,0.19548872180451127,0.1092436974789916,0.9285714285714286
2,2288,5822,509,1798,5822,946,544.7765467166901,1.0107011795043945,0.987078070640564,150,True,42,clue,509,0.7753280839895013,0.6658881922025586,0.7911271602478709,0.24068767908309455,0.32057416267942584,0.4854368932038835,0.4807692307692308,0.49019607843137253,0.7586206896551724,0.7764705882352941,0.7415730337078652,0.5945945945945946,0.5546218487394958,0.6407766990291263,0.64,0.5,0.8888888888888888,0.5144927536231884,0.4139941690962099,0.6794258373205742,0.8801936264622832,0.9470486111111112,0.8221552373775434,0.7878787878787878,0.6842105263157895,0.9285714285714286
3,2790,5320,502,2300,5320,779,638.3970334529877,0.7531052827835083,0.9959349036216736,150,True,42,clue,502,0.820997375328084,0.7348262687526633,0.8260973103405866,0.2922636103151863,0.3875598086124402,0.5979381443298969,0.6304347826086957,0.5686274509803921,0.72,0.7325581395348837,0.7078651685393258,0.6758620689655173,0.6419213973799127,0.7135922330097088,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5529157667386609,0.5039370078740157,0.6124401913875598,0.908179012345679,0.9304347826086956,0.8869630746043707,0.8,0.75,0.8571428571428571
4,3248,4862,458,2758,4862,658,714.6394894123077,0.612520158290863,0.9984518885612488,150,True,42,clue,458,0.8330708661417323,0.7476540185530747,0.840324631942542,0.22922636103151864,0.3253588516746411,0.5742574257425742,0.58,0.5686274509803921,0.8022598870056498,0.8068181818181818,0.797752808988764,0.6944444444444444,0.6637168141592921,0.7281553398058253,0.8,0.7272727272727273,0.8888888888888888,0.5790554414784395,0.5071942446043165,0.6746411483253588,0.9168942645337496,0.9506472491909385,0.8854559155990958,0.8666666666666667,0.8125,0.9285714285714286
5,3613,4497,365,3123,4497,565,794.1238625049591,0.4186035692691803,0.9986270666122437,150,True,42,clue,365,0.85249343832021,0.7786300858351994,0.8554273699737481,0.2722063037249284,0.3588516746411483,0.5894736842105263,0.6363636363636364,0.5490196078431373,0.819672131147541,0.7978723404255319,0.8426966292134831,0.7012987012987013,0.6328125,0.7864077669902912,0.9411764705882353,1.0,0.8888888888888888,0.6335697399527187,0.6261682242990654,0.6411483253588517,0.926510196229319,0.9465408805031447,0.9073097211755841,0.8387096774193549,0.7647058823529411,0.9285714285714286
6,3833,4277,220,3343,4277,512,862.0876212120056,0.34318700432777405,0.9993985891342163,150,True,42,clue,220,0.8519685039370078,0.7421691233633482,0.8527695882732566,0.32951289398280803,0.44019138755980863,0.5777777777777777,0.6666666666666666,0.5098039215686274,0.8555555555555555,0.8461538461538461,0.8651685393258427,0.7121535181236673,0.6349809885931559,0.8106796116504854,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.585,0.612565445026178,0.5598086124401914,0.928598701794578,0.9411764705882353,0.9163526752072344,0.7741935483870968,0.7058823529411765,0.8571428571428571
7,4001,4109,168,3511,4109,471,903.9835181236267,0.17974518239498138,0.999819815158844,150,True,42,clue,168,0.8698162729658793,0.8118951277892076,0.8702951313751952,0.25787965616045844,0.37320574162679426,0.660377358490566,0.6363636363636364,0.6862745098039216,0.8817204301075269,0.845360824742268,0.9213483146067416,0.7276995305164319,0.7045454545454546,0.7524271844660194,0.9411764705882353,1.0,0.8888888888888888,0.6405867970660146,0.655,0.6267942583732058,0.9351535836177475,0.9412213740458015,0.9291635267520724,0.896551724137931,0.8666666666666667,0.9285714285714286
8,4174,3936,173,3684,3936,420,936.8208951950073,0.11999031901359558,0.9998838901519775,150,True,42,clue,173,0.8792650918635171,0.8038507178103504,0.8784021232554602,0.27793696275071633,0.36363636363636365,0.6086956521739131,0.6829268292682927,0.5490196078431373,0.8705882352941177,0.9135802469135802,0.8314606741573034,0.7685185185185185,0.7345132743362832,0.8058252427184466,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6519607843137255,0.6683417085427136,0.6363636363636364,0.9417512213453589,0.93928035982009,0.9442351168048229,0.896551724137931,0.8666666666666667,0.9285714285714286
9,4329,3781,155,3839,3781,388,975.4291996955872,0.0749652236700058,0.9999576210975647,150,True,42,clue,155,0.8740157480314961,0.7715849029212892,0.8719240745030209,0.27507163323782235,0.37320574162679426,0.5111111111111111,0.5897435897435898,0.45098039215686275,0.8260869565217391,0.8,0.8539325842696629,0.7494145199063232,0.7239819004524887,0.7766990291262136,0.8421052631578947,0.8,0.8888888888888888,0.6649746192893401,0.7081081081081081,0.6267942583732058,0.940735183795949,0.936519790888723,0.9449886963074604,0.8666666666666667,0.8125,0.9285714285714286
10,4488,3622,159,3998,3622,349,988.5719954967499,0.09082815796136856,0.9999409914016724,150,True,42,clue,159,0.8782152230971129,0.8057618956503896,0.8774814763084348,0.27507163323782235,0.3684210526315789,0.6373626373626373,0.725,0.5686274509803921,0.8587570621468926,0.8636363636363636,0.8539325842696629,0.7533632286995515,0.7,0.8155339805825242,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6649874055415617,0.7021276595744681,0.631578947368421,0.9404223227752639,0.9411320754716981,0.9397136397889977,0.896551724137931,0.8666666666666667,0.9285714285714286
