round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1779,6331,1289,1289,6331,1062,326.33285880088806,1.7745952606201172,0.9700417518615723,150,True,42,coreset,1289,0.6257217847769029,0.4034862132696024,0.6708689140772157,0.2521489971346705,0.44976076555023925,0.39705882352941174,0.3176470588235294,0.5294117647058824,0.5641025641025641,0.45517241379310347,0.7415730337078652,0.33444816053511706,0.5376344086021505,0.24271844660194175,0.1487603305785124,0.08035714285714286,1.0,0.391156462585034,0.3034300791556728,0.5502392344497608,0.7933884297520661,0.9382716049382716,0.6872645064054258,0.19548872180451127,0.1092436974789916,0.9285714285714286
2,2288,5822,509,1798,5822,962,524.1347374916077,1.0522698163986206,0.9856185913085938,150,True,42,coreset,509,0.8141732283464567,0.6673098534382625,0.822706733668253,0.24641833810888253,0.3684210526315789,0.5172413793103449,0.46153846153846156,0.5882352941176471,0.7486631016042781,0.7142857142857143,0.7865168539325843,0.6798029556650246,0.69,0.6699029126213593,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.5523012552301255,0.49070631970260226,0.631578947368421,0.90703125,0.9416058394160584,0.8749058025621703,0.75,0.6666666666666666,0.8571428571428571
3,2790,5320,502,2300,5320,832,610.8992412090302,0.7401143908500671,0.9938949942588806,150,True,42,coreset,502,0.8351706036745407,0.7323869781834876,0.8366663710692822,0.3008595988538682,0.42105263157894735,0.5742574257425742,0.58,0.5686274509803921,0.75,0.7263157894736842,0.7752808988764045,0.7107843137254902,0.7178217821782178,0.7038834951456311,0.8421052631578947,0.8,0.8888888888888888,0.558891454965358,0.5401785714285714,0.5789473684210527,0.9164768413059985,0.9234889058913542,0.9095704596834966,0.7741935483870968,0.7058823529411765,0.8571428571428571
4,3248,4862,458,2758,4862,745,706.280782699585,0.6250355243682861,0.997969925403595,150,True,42,coreset,458,0.8551181102362204,0.7420450868015528,0.8571421328404548,0.2664756446991404,0.36363636363636365,0.625,0.6666666666666666,0.5882352941176471,0.8043478260869565,0.7789473684210526,0.8314606741573034,0.7210884353741497,0.676595744680851,0.7718446601941747,0.8421052631578947,0.8,0.8888888888888888,0.6273584905660378,0.6186046511627907,0.6363636363636364,0.9292543021032504,0.9433229813664596,0.9155990957045969,0.6451612903225806,0.5882352941176471,0.7142857142857143
5,3613,4497,365,3123,4497,666,781.2700464725494,0.4366161823272705,0.9991164803504944,150,True,42,coreset,365,0.8719160104986876,0.7892876625457416,0.8718137559166602,0.2607449856733524,0.39712918660287083,0.6296296296296297,0.5964912280701754,0.6666666666666666,0.8387096774193549,0.8041237113402062,0.8764044943820225,0.7759815242494227,0.7400881057268722,0.8155339805825242,0.8421052631578947,0.8,0.8888888888888888,0.6363636363636364,0.6737967914438503,0.6028708133971292,0.935557240333586,0.9412662090007627,0.9299171062547099,0.8666666666666667,0.8125,0.9285714285714286
6,3833,4277,220,3343,4277,614,847.0490503311157,0.24671529233455658,0.9996290802955627,150,True,42,coreset,220,0.868766404199475,0.7898618787243132,0.8695179589916946,0.25501432664756446,0.3444976076555024,0.62,0.6326530612244898,0.6078431372549019,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.7634660421545667,0.7375565610859729,0.7912621359223301,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6586538461538461,0.6618357487922706,0.6555023923444976,0.9334853667806917,0.941717791411043,0.9253956292388847,0.8666666666666667,0.8125,0.9285714285714286
7,4001,4109,168,3511,4109,572,891.7001843452454,0.18580362200737,0.9997232556343079,150,True,42,coreset,168,0.8692913385826772,0.7809359188451912,0.8689810337860387,0.27793696275071633,0.3827751196172249,0.6444444444444445,0.7435897435897436,0.5686274509803921,0.8105263157894737,0.7623762376237624,0.8651685393258427,0.7285067873303167,0.6822033898305084,0.7815533980582524,0.8,0.7272727272727273,0.8888888888888888,0.6482412060301508,0.6825396825396826,0.6172248803827751,0.9382809541840212,0.9429223744292238,0.9336850037678975,0.896551724137931,0.8666666666666667,0.9285714285714286
8,4174,3936,173,3684,3936,524,920.9388093948364,0.17293371260166168,0.9999173879623413,150,True,42,coreset,173,0.8818897637795275,0.7914308497710786,0.8831182907092199,0.21203438395415472,0.27751196172248804,0.6391752577319587,0.6739130434782609,0.6078431372549019,0.8470588235294118,0.8888888888888888,0.8089887640449438,0.766743648960739,0.7312775330396476,0.8058252427184466,0.8421052631578947,0.8,0.8888888888888888,0.7023255813953488,0.6832579185520362,0.722488038277512,0.9426073736221969,0.950920245398773,0.9344385832705351,0.8,0.75,0.8571428571428571
9,4329,3781,155,3839,3781,471,950.8522045612335,0.06476100534200668,0.9998773336410522,150,True,42,coreset,155,0.8860892388451443,0.7925952463163543,0.8851982483989441,0.24641833810888253,0.3253588516746411,0.6601941747572816,0.6538461538461539,0.6666666666666666,0.8361581920903954,0.8409090909090909,0.8314606741573034,0.7494033412887828,0.7370892018779343,0.7621359223300971,0.8421052631578947,0.8,0.8888888888888888,0.7139240506329114,0.7580645161290323,0.6746411483253588,0.9463817022872141,0.9417910447761194,0.9510173323285607,0.8,0.75,0.8571428571428571
10,4488,3622,159,3998,3622,422,970.6026253700256,0.06537451595067978,0.9999024271965027,150,True,42,coreset,159,0.8850393700787401,0.7937584550935709,0.8838582410929748,0.2636103151862464,0.3157894736842105,0.6744186046511628,0.8285714285714286,0.5686274509803921,0.8402366863905325,0.8875,0.797752808988764,0.7557603686635944,0.7192982456140351,0.7961165048543689,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.715,0.7486910994764397,0.6842105263157895,0.9423220973782771,0.9367088607594937,0.9480030143180106,0.8666666666666667,0.8125,0.9285714285714286
