round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1779,6331,1289,1289,6331,1220,912.5940074920654,1.7745952606201172,0.9700417518615723,150,True,42,vaal,1289,0.6257217847769029,0.4034862132696024,0.6708689140772157,0.2521489971346705,0.44976076555023925,0.39705882352941174,0.3176470588235294,0.5294117647058824,0.5641025641025641,0.45517241379310347,0.7415730337078652,0.33444816053511706,0.5376344086021505,0.24271844660194175,0.1487603305785124,0.08035714285714286,1.0,0.391156462585034,0.3034300791556728,0.5502392344497608,0.7933884297520661,0.9382716049382716,0.6872645064054258,0.19548872180451127,0.1092436974789916,0.9285714285714286
2,2288,5822,509,1798,5822,1080,999.6203372478485,0.702415406703949,0.9908019304275513,150,True,42,vaal,509,0.726509186351706,0.5431743673396172,0.7510658929936389,0.22922636103151864,0.4258373205741627,0.42105263157894735,0.34146341463414637,0.5490196078431373,0.5975103734439834,0.47368421052631576,0.8089887640449438,0.5620915032679739,0.5098814229249012,0.6262135922330098,0.37209302325581395,0.23529411764705882,0.8888888888888888,0.47808764940239046,0.40955631399317405,0.5741626794258373,0.8513853904282116,0.9611374407582939,0.7641296156744537,0.52,0.3611111111111111,0.9285714285714286
3,2790,5320,502,2300,5320,978,1032.7496736049652,0.47023874521255493,0.9937310814857483,150,True,42,vaal,502,0.7921259842519685,0.5994078316985485,0.8036060340872115,0.2979942693409742,0.40669856459330145,0.5283018867924528,0.509090909090909,0.5490196078431373,0.6733668341708543,0.6090909090909091,0.7528089887640449,0.6410835214446953,0.5991561181434599,0.6893203883495146,0.41025641025641024,0.26666666666666666,0.8888888888888888,0.5486725663716814,0.5102880658436214,0.5933014354066986,0.8941736028537456,0.9431438127090301,0.8500376789751318,0.5,0.35294117647058826,0.8571428571428571
4,3248,4862,458,2758,4862,864,1077.9096131324768,0.4289916753768921,0.9948040246963501,150,True,42,vaal,458,0.8078740157480315,0.6380850923218685,0.8154411117752586,0.3467048710601719,0.47368421052631576,0.5040650406504065,0.4305555555555556,0.6078431372549019,0.6777777777777778,0.6703296703296703,0.6853932584269663,0.6131687242798354,0.5321428571428571,0.7233009708737864,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5597964376590331,0.5978260869565217,0.5263157894736842,0.9117876658860266,0.945748987854251,0.880180859080633,0.6666666666666666,0.5454545454545454,0.8571428571428571
5,3613,4497,365,3123,4497,804,1134.4941878318787,0.24336493015289307,0.9986632466316223,150,True,42,vaal,365,0.8356955380577428,0.6713986875912882,0.8378643544691872,0.2922636103151863,0.42105263157894735,0.49056603773584906,0.4727272727272727,0.5098039215686274,0.7448979591836735,0.6822429906542056,0.8202247191011236,0.6713947990543735,0.6543778801843319,0.6893203883495146,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.6034912718204489,0.6302083333333334,0.5789473684210527,0.9233117130866082,0.9350850077279753,0.9118311981914092,0.75,0.6666666666666666,0.8571428571428571
6,3833,4277,220,3343,4277,759,1160.868673324585,0.17308856546878815,0.9987960457801819,150,True,42,vaal,220,0.84251968503937,0.6766863835357247,0.8418515205501399,0.32951289398280803,0.4258373205741627,0.4782608695652174,0.5365853658536586,0.43137254901960786,0.7634408602150538,0.7319587628865979,0.797752808988764,0.6651162790697674,0.6383928571428571,0.6941747572815534,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.6201550387596899,0.6741573033707865,0.5741626794258373,0.9264983038070109,0.9268476621417798,0.9261492087415222,0.75,0.6666666666666666,0.8571428571428571
7,4001,4109,168,3511,4109,711,1169.5515933036804,0.0917288064956665,0.9997869729995728,150,True,42,vaal,168,0.847769028871391,0.7400242737100996,0.8487127481756305,0.27793696275071633,0.40669856459330145,0.5420560747663551,0.5178571428571429,0.5686274509803921,0.7653061224489796,0.7009345794392523,0.8426966292134831,0.6790697674418604,0.6517857142857143,0.7087378640776699,0.8421052631578947,0.8,0.8888888888888888,0.6231155778894473,0.656084656084656,0.5933014354066986,0.9285171102661597,0.9370683039140445,0.920120572720422,0.8,0.75,0.8571428571428571
8,4174,3936,173,3684,3936,687,1182.715285539627,0.0927969291806221,0.9998006224632263,150,True,42,vaal,173,0.8451443569553806,0.696759735045065,0.8449364644676368,0.3151862464183381,0.45454545454545453,0.5137614678899083,0.4827586206896552,0.5490196078431373,0.7362637362637363,0.7204301075268817,0.7528089887640449,0.6757990867579908,0.6379310344827587,0.7184466019417476,0.64,0.5,0.8888888888888888,0.6063829787234043,0.6826347305389222,0.5454545454545454,0.9309173272933182,0.93267776096823,0.9291635267520724,0.7741935483870968,0.7058823529411765,0.8571428571428571
9,4329,3781,155,3839,3781,685,1195.9527249336243,0.02990560792386532,0.9999251961708069,150,True,42,vaal,155,0.8551181102362204,0.7420756391675237,0.8536858569225905,0.2979942693409742,0.4258373205741627,0.5544554455445545,0.56,0.5490196078431373,0.7236180904522613,0.6545454545454545,0.8089887640449438,0.6903073286052009,0.6728110599078341,0.7087378640776699,0.9411764705882353,1.0,0.8888888888888888,0.6417112299465241,0.7272727272727273,0.5741626794258373,0.9335834896810506,0.929745889387145,0.9374529012810852,0.7096774193548387,0.6470588235294118,0.7857142857142857
10,4488,3622,159,3998,3622,636,1204.5031576156616,0.031915344297885895,0.9999522566795349,150,True,42,vaal,159,0.8414698162729659,0.6936002163668079,0.842578839411078,0.3237822349570201,0.41626794258373206,0.5227272727272727,0.6216216216216216,0.45098039215686275,0.7142857142857143,0.6989247311827957,0.7303370786516854,0.6550976138828634,0.592156862745098,0.7330097087378641,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6177215189873417,0.6559139784946236,0.583732057416268,0.9299847792998478,0.9392774788624135,0.9208741522230596,0.8,0.75,0.8571428571428571
11,4646,3464,158,4156,3464,617,1219.4253153800964,0.02424663119018078,0.9998881816864014,150,True,42,vaal,158,0.8545931758530184,0.7542399928548192,0.8520474167250204,0.30659025787965616,0.4449760765550239,0.5894736842105263,0.6363636363636364,0.5490196078431373,0.7789473684210526,0.7326732673267327,0.8314606741573034,0.6650943396226415,0.6467889908256881,0.6844660194174758,0.9411764705882353,1.0,0.8888888888888888,0.6121372031662269,0.6823529411764706,0.5550239234449761,0.9342301943198804,0.9266123054114158,0.9419743782969103,0.7586206896551724,0.7333333333333333,0.7857142857142857
12,4800,3310,154,4310,3310,591,1228.7351369857788,0.02700072154402733,0.9999675750732422,150,True,42,vaal,154,0.8561679790026246,0.7384213283858568,0.8566249754981927,0.27793696275071633,0.3827751196172249,0.5576923076923077,0.5471698113207547,0.5686274509803921,0.7978142076502732,0.776595744680851,0.8202247191011236,0.6912442396313364,0.6578947368421053,0.7281553398058253,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6482412060301508,0.6825396825396826,0.6172248803827751,0.9318697956093869,0.9361216730038023,0.9276563677467973,0.8148148148148148,0.8461538461538461,0.7857142857142857
13,4954,3156,154,4464,3156,590,1257.2525811195374,0.01643761433660984,0.9999672770500183,150,True,42,vaal,154,0.8661417322834646,0.7677330775852944,0.8646176466214478,0.27793696275071633,0.37320574162679426,0.5747126436781609,0.6944444444444444,0.49019607843137253,0.8108108108108109,0.78125,0.8426966292134831,0.719047619047619,0.705607476635514,0.7330097087378641,0.8,0.7272727272727273,0.8888888888888888,0.6437346437346437,0.6616161616161617,0.6267942583732058,0.9369369369369369,0.9334330590875094,0.9404672192916352,0.8888888888888888,0.9230769230769231,0.8571428571428571
14,5110,3000,156,4620,3000,560,1336.745530128479,0.010672170668840408,0.9999489188194275,150,True,42,vaal,156,0.8593175853018372,0.7666610943881712,0.8570720609990728,0.3037249283667622,0.42105263157894735,0.5287356321839081,0.6388888888888888,0.45098039215686275,0.8085106382978723,0.7676767676767676,0.8539325842696629,0.6938775510204082,0.6510638297872341,0.7427184466019418,0.9411764705882353,1.0,0.8888888888888888,0.6335078534031413,0.6994219653179191,0.5789473684210527,0.9332333083270817,0.9290515309932785,0.9374529012810852,0.8275862068965517,0.8,0.8571428571428571
15,5263,2847,153,4773,2847,526,1345.8954014778137,0.016248483210802078,0.9999821186065674,150,True,42,vaal,153,0.863517060367454,0.7400337055218126,0.8619997049528498,0.28653295128939826,0.3923444976076555,0.5416666666666666,0.5777777777777777,0.5098039215686274,0.8268156424581006,0.8222222222222222,0.8314606741573034,0.7194244604316546,0.7109004739336493,0.7281553398058253,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6463104325699746,0.6902173913043478,0.6076555023923444,0.9340823970037453,0.9285182427401341,0.9397136397889977,0.896551724137931,0.8666666666666667,0.9285714285714286
