round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1779,6331,1289,1289,6331,995,220.49393439292908,1.7309752702713013,0.9755697846412659,150,True,0.6010498687664042,0.3933144363892912,0.6514817073508476,0.2664756446991404,0.49760765550239233,0.40789473684210525,0.3069306930693069,0.6078431372549019,0.5213675213675214,0.4206896551724138,0.6853932584269663,0.3413173652694611,0.4453125,0.2766990291262136,0.14173228346456693,0.07627118644067797,1.0,0.3553299492385787,0.27486910994764396,0.5023923444976076,0.7724444444444445,0.9414951245937161,0.6548605877920121,0.21311475409836064,0.12037037037037036,0.9285714285714286
2,2288,5822,509,1798,5822,767,443.9040057659149,1.0552338361740112,0.9938633441925049,150,True,0.7805774278215223,0.608733648153906,0.7936927082079073,0.2664756446991404,0.3444976076555024,0.5050505050505051,0.5208333333333334,0.49019607843137253,0.7560975609756098,0.8266666666666667,0.6966292134831461,0.6096256684491979,0.6785714285714286,0.5533980582524272,0.41025641025641024,0.26666666666666666,0.8888888888888888,0.5027522935779817,0.40773809523809523,0.6555023923444976,0.8864440078585462,0.9261083743842364,0.8500376789751318,0.5909090909090909,0.43333333333333335,0.9285714285714286
3,2790,5320,502,2300,5320,581,547.4673686027527,0.7406445145606995,0.998058021068573,150,True,0.8220472440944881,0.6555914601879154,0.8224192274934067,0.3553008595988539,0.5023923444976076,0.5591397849462365,0.6190476190476191,0.5098039215686274,0.7845303867403315,0.7717391304347826,0.797752808988764,0.6811594202898551,0.6778846153846154,0.6844660194174758,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5110565110565111,0.5252525252525253,0.49760765550239233,0.9103969754253308,0.91350531107739,0.9073097211755841,0.5714285714285714,0.42857142857142855,0.8571428571428571
4,3248,4862,458,2758,4862,444,657.542462348938,0.5698451399803162,0.9990175366401672,150,True,0.8503937007874016,0.7279918139992417,0.8504160741688641,0.29512893982808025,0.40669856459330145,0.625,0.6666666666666666,0.5882352941176471,0.7868852459016393,0.7659574468085106,0.8089887640449438,0.7,0.6869158878504673,0.7135922330097088,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6019417475728155,0.6108374384236454,0.5933014354066986,0.9278428409520212,0.9303030303030303,0.9253956292388847,0.7586206896551724,0.7333333333333333,0.7857142857142857
5,3613,4497,365,3123,4497,345,760.3972411155701,0.37283167243003845,0.9995591044425964,150,True,0.8708661417322835,0.7737093578018693,0.8698845152852865,0.2636103151862464,0.3684210526315789,0.6170212765957447,0.6744186046511628,0.5686274509803921,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.7341176470588235,0.7123287671232876,0.7572815533980582,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6567164179104478,0.6839378238341969,0.631578947368421,0.9368421052631579,0.9347336834208552,0.9389600602863603,0.8666666666666667,0.8125,0.9285714285714286
6,3833,4277,220,3343,4277,280,821.8737361431122,0.24892862141132355,0.9997259974479675,150,True,0.8750656167979003,0.7753057581187688,0.8744995085690875,0.2664756446991404,0.3444976076555024,0.6,0.6923076923076923,0.5294117647058824,0.8491620111731844,0.8444444444444444,0.8539325842696629,0.7431192660550459,0.7043478260869566,0.7864077669902912,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6765432098765433,0.6989795918367347,0.6555023923444976,0.9392682006789891,0.9403323262839879,0.9382064807837227,0.8571428571428571,0.8571428571428571,0.8571428571428571
7,4001,4109,168,3511,4109,232,850.4311442375183,0.13530100882053375,0.9998319745063782,150,True,0.883989501312336,0.7880824721930991,0.8825440593601687,0.2521489971346705,0.3349282296650718,0.6292134831460674,0.7368421052631579,0.5490196078431373,0.8379888268156425,0.8333333333333334,0.8426966292134831,0.7681159420289855,0.7644230769230769,0.7718446601941747,0.8,0.7272727272727273,0.8888888888888888,0.6780487804878049,0.6915422885572139,0.6650717703349283,0.946067415730337,0.9404318689501117,0.9517709118311982,0.8571428571428571,0.8571428571428571,0.8571428571428571
8,4174,3936,173,3684,3936,188,895.5547828674316,0.12333709746599197,0.9999862909317017,150,True,0.8824146981627297,0.7844428452998697,0.8809474510435863,0.2693409742120344,0.3588516746411483,0.6813186813186813,0.775,0.6078431372549019,0.8260869565217391,0.8,0.8539325842696629,0.7717647058823529,0.7488584474885844,0.7961165048543689,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6802030456852792,0.7243243243243244,0.6411483253588517,0.9422355588897224,0.9380134428678119,0.9464958553127355,0.8275862068965517,0.8,0.8571428571428571
9,4329,3781,155,3839,3781,168,856.0794620513916,0.08896967023611069,0.999973714351654,150,True,0.884514435695538,0.801759196406166,0.8831014409934757,0.2492836676217765,0.3492822966507177,0.6666666666666666,0.7692307692307693,0.5882352941176471,0.8704663212435233,0.8076923076923077,0.9438202247191011,0.7470449172576832,0.728110599078341,0.7669902912621359,0.8,0.7272727272727273,0.8888888888888888,0.6868686868686869,0.7272727272727273,0.6507177033492823,0.9447160586686725,0.9429429429429429,0.9464958553127355,0.896551724137931,0.8666666666666667,0.9285714285714286
10,4488,3622,159,3998,3622,128,867.1213283538818,0.04084822162985802,0.9999812841415405,150,True,0.889763779527559,0.7974212559250974,0.8871094211380585,0.2693409742120344,0.3684210526315789,0.6666666666666666,0.7111111111111111,0.6274509803921569,0.8743169398907104,0.851063829787234,0.898876404494382,0.775609756097561,0.7794117647058824,0.7718446601941747,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6910994764397905,0.7630057803468208,0.631578947368421,0.9456845238095238,0.9338721528288023,0.9577995478522984,0.8666666666666667,0.8125,0.9285714285714286
