round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1560,6550,1070,1070,6550,1185,219.39917469024658,1.7309752702713013,0.9755697846412659,150,True,0.6010498687664042,0.3933144363892912,0.6514817073508476,0.2664756446991404,0.49760765550239233,0.40789473684210525,0.3069306930693069,0.6078431372549019,0.5213675213675214,0.4206896551724138,0.6853932584269663,0.3413173652694611,0.4453125,0.2766990291262136,0.14173228346456693,0.07627118644067797,1.0,0.3553299492385787,0.27486910994764396,0.5023923444976076,0.7724444444444445,0.9414951245937161,0.6548605877920121,0.21311475409836064,0.12037037037037036,0.9285714285714286
2,2061,6049,501,1571,6049,1029,397.13866686820984,1.1008485555648804,0.985407292842865,150,True,0.7742782152230971,0.5796485095321481,0.7892024932165597,0.2492836676217765,0.37320574162679426,0.512,0.43243243243243246,0.6274509803921569,0.7126436781609196,0.7294117647058823,0.6966292134831461,0.5898123324396782,0.6586826347305389,0.5339805825242718,0.32653061224489793,0.2,0.8888888888888888,0.5087378640776699,0.42810457516339867,0.6267942583732058,0.8860759493670886,0.93255620316403,0.8440090429540317,0.5217391304347826,0.375,0.8571428571428571
3,2466,5644,405,1976,5644,870,495.17577481269836,0.8820428252220154,0.9899783134460449,150,True,0.8220472440944881,0.6963476161794547,0.8267220088518569,0.28653295128939826,0.3827751196172249,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.7796610169491526,0.7840909090909091,0.7752808988764045,0.6713286713286714,0.6457399103139013,0.6990291262135923,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.5695364238410596,0.5286885245901639,0.6172248803827751,0.9078287697647512,0.9296998420221169,0.8869630746043707,0.75,0.6666666666666666,0.8571428571428571
4,2800,5310,334,2310,5310,766,557.4492194652557,0.7048660516738892,0.9957776069641113,150,True,0.8467191601049868,0.7048830630728757,0.8459818127164676,0.30945558739255014,0.4258373205741627,0.5747126436781609,0.6944444444444444,0.49019607843137253,0.782608695652174,0.7578947368421053,0.8089887640449438,0.719047619047619,0.705607476635514,0.7330097087378641,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.5896805896805897,0.6060606060606061,0.5741626794258373,0.9238310708898945,0.9245283018867925,0.9231348907309721,0.6486486486486487,0.5217391304347826,0.8571428571428571
5,3198,4912,398,2708,4912,661,610.8116030693054,0.48520395159721375,0.9987313747406006,150,True,0.8535433070866142,0.7473178899114156,0.8534797228169827,0.28939828080229224,0.39712918660287083,0.5161290322580645,0.5714285714285714,0.47058823529411764,0.8087431693989071,0.7872340425531915,0.8314606741573034,0.7099767981438515,0.68,0.7427184466019418,0.8421052631578947,0.8,0.8888888888888888,0.6086956521739131,0.6146341463414634,0.6028708133971292,0.9307604994324631,0.9346504559270516,0.9269027882441597,0.8148148148148148,0.8461538461538461,0.7857142857142857
6,3484,4626,286,2994,4626,582,683.323588848114,0.36006665229797363,0.9994608759880066,150,True,0.8661417322834646,0.7583691855719452,0.8663848474100103,0.2607449856733524,0.3588516746411483,0.625,0.6666666666666666,0.5882352941176471,0.8043478260869565,0.7789473684210526,0.8314606741573034,0.7395348837209302,0.7098214285714286,0.7718446601941747,0.8,0.7272727272727273,0.8888888888888888,0.6552567237163814,0.67,0.6411483253588517,0.9344448654793482,0.9397865853658537,0.9291635267520724,0.75,0.6666666666666666,0.8571428571428571
7,3708,4402,224,3218,4402,509,732.5062985420227,0.23624597489833832,0.999545693397522,150,True,0.8666666666666667,0.7814941212199665,0.8669014782767501,0.2492836676217765,0.3397129186602871,0.6666666666666666,0.6875,0.6470588235294118,0.7956989247311828,0.7628865979381443,0.8314606741573034,0.7409200968523002,0.7391304347826086,0.7427184466019418,0.9411764705882353,1.0,0.8888888888888888,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.932376275028334,0.9348484848484848,0.9299171062547099,0.7333333333333333,0.6875,0.7857142857142857
8,3898,4212,190,3408,4212,462,766.541698217392,0.16836059093475342,0.9998063445091248,150,True,0.8792650918635171,0.7689676885886078,0.8795185681486833,0.23782234957020057,0.3157894736842105,0.6060606060606061,0.625,0.5882352941176471,0.8279569892473119,0.7938144329896907,0.8651685393258427,0.7482352941176471,0.726027397260274,0.7718446601941747,0.8,0.7272727272727273,0.8888888888888888,0.697560975609756,0.7114427860696517,0.6842105263157895,0.9443392654297614,0.9490106544901066,0.9397136397889977,0.7586206896551724,0.7333333333333333,0.7857142857142857
9,4074,4036,176,3584,4036,431,806.5593984127045,0.10980046540498734,0.9998947381973267,150,True,0.8850393700787401,0.7851217923995916,0.8848691511046977,0.22063037249283668,0.3014354066985646,0.6597938144329897,0.6956521739130435,0.6274509803921569,0.8205128205128205,0.7547169811320755,0.898876404494382,0.75,0.7428571428571429,0.7572815533980582,0.8,0.7272727272727273,0.8888888888888888,0.7192118226600985,0.7411167512690355,0.6985645933014354,0.9463340891912321,0.9492039423805914,0.9434815373021854,0.8,0.75,0.8571428571428571
10,4224,3886,150,3734,3886,378,849.8974561691284,0.08351999521255493,0.9999245405197144,150,True,0.8834645669291339,0.7961774206677299,0.8829069004111872,0.25501432664756446,0.3253588516746411,0.6593406593406593,0.75,0.5882352941176471,0.8306010928961749,0.8085106382978723,0.8539325842696629,0.7528868360277137,0.7180616740088106,0.7912621359223301,0.9,0.8181818181818182,1.0,0.6997518610421837,0.7268041237113402,0.6746411483253588,0.944947209653092,0.9456603773584905,0.9442351168048229,0.7857142857142857,0.7857142857142857,0.7857142857142857
