round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1460,6650,970,970,6650,1190,212.17120265960693,0.7034859657287598,0.9755697846412659,150,True,0.6010498687664042,0.3933144363892912,0.6514817073508476,0.2664756446991404,0.49760765550239233,0.40789473684210525,0.3069306930693069,0.6078431372549019,0.5213675213675214,0.4206896551724138,0.6853932584269663,0.3413173652694611,0.4453125,0.2766990291262136,0.14173228346456693,0.07627118644067797,1.0,0.3553299492385787,0.27486910994764396,0.5023923444976076,0.7724444444444445,0.9414951245937161,0.6548605877920121,0.21311475409836064,0.12037037037037036,0.9285714285714286
2,1971,6139,511,1481,6139,1043,376.84446024894714,0.4777642786502838,0.9884717464447021,150,True,0.779002624671916,0.5885897693267704,0.7921743227467224,0.2636103151862464,0.3875598086124402,0.49523809523809526,0.48148148148148145,0.5098039215686274,0.75,0.7263157894736842,0.7752808988764045,0.5973333333333334,0.6627218934911243,0.5436893203883495,0.2909090909090909,0.17391304347826086,0.8888888888888888,0.5089463220675944,0.43537414965986393,0.6124401913875598,0.8867924528301887,0.9268693508627773,0.8500376789751318,0.5909090909090909,0.43333333333333335,0.9285714285714286
3,2522,5588,551,2032,5588,878,457.3616626262665,0.3162538409233093,0.9962887763977051,150,True,0.8309711286089239,0.645763985249995,0.8330286175466877,0.2722063037249284,0.40669856459330145,0.4897959183673469,0.5106382978723404,0.47058823529411764,0.7668393782383419,0.7115384615384616,0.8314606741573034,0.6864864864864865,0.774390243902439,0.616504854368932,0.45714285714285713,0.3076923076923077,0.8888888888888888,0.5688073394495413,0.5462555066079295,0.5933014354066986,0.9196969696969697,0.9246001523229246,0.9148455162019593,0.631578947368421,0.5,0.8571428571428571
4,2910,5200,388,2420,5200,754,553.5373809337616,0.2534083127975464,0.996745765209198,150,True,0.8545931758530184,0.6979090970859695,0.853944962617975,0.27793696275071633,0.3875598086124402,0.58,0.5918367346938775,0.5686274509803921,0.743455497382199,0.696078431372549,0.797752808988764,0.7153652392947103,0.743455497382199,0.6893203883495146,0.64,0.5,0.8888888888888888,0.6448362720403022,0.6808510638297872,0.6124401913875598,0.9301277235161532,0.9273408239700375,0.93293142426526,0.631578947368421,0.5,0.8571428571428571
5,3245,4865,335,2755,4865,668,625.8411991596222,0.15260489284992218,0.9989257454872131,150,True,0.8556430446194225,0.7266571583272841,0.8549469778418929,0.27793696275071633,0.3875598086124402,0.6021505376344086,0.6666666666666666,0.5490196078431373,0.8085106382978723,0.7676767676767676,0.8539325842696629,0.7004830917874396,0.6971153846153846,0.7038834951456311,0.64,0.5,0.8888888888888888,0.6320987654320988,0.6530612244897959,0.6124401913875598,0.9291635267520724,0.9291635267520724,0.9291635267520724,0.7741935483870968,0.7058823529411765,0.8571428571428571
6,3503,4607,258,3013,4607,583,691.7000286579132,0.07516536116600037,0.9994441866874695,150,True,0.8703412073490814,0.7704037032790344,0.8696724742292823,0.2636103151862464,0.36363636363636365,0.6170212765957447,0.6744186046511628,0.5686274509803921,0.8306010928961749,0.8085106382978723,0.8539325842696629,0.7363420427553444,0.7209302325581395,0.7524271844660194,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6519607843137255,0.6683417085427136,0.6363636363636364,0.9378531073446328,0.9375,0.9382064807837227,0.8571428571428571,0.8571428571428571,0.8571428571428571
7,3721,4389,218,3231,4389,529,733.8754682540894,0.04205925017595291,0.9997057914733887,150,True,0.8656167979002625,0.7714255112528896,0.8653822581611045,0.2521489971346705,0.3444976076555024,0.5894736842105263,0.6363636363636364,0.5490196078431373,0.8108108108108109,0.78125,0.8426966292134831,0.7198067632850241,0.7163461538461539,0.7233009708737864,0.8,0.7272727272727273,0.8888888888888888,0.6555023923444976,0.6555023923444976,0.6555023923444976,0.9354960392304791,0.9365558912386707,0.9344385832705351,0.8888888888888888,0.9230769230769231,0.8571428571428571
8,3894,4216,173,3404,4216,487,760.2389714717865,0.029852569103240967,0.9998434782028198,150,True,0.8713910761154856,0.7884328528387156,0.8724381790693275,0.22349570200573066,0.3014354066985646,0.5869565217391305,0.6585365853658537,0.5294117647058824,0.7979274611398963,0.7403846153846154,0.8651685393258427,0.7482352941176471,0.726027397260274,0.7718446601941747,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6790697674418604,0.6606334841628959,0.6985645933014354,0.9379520365435858,0.9476923076923077,0.9284099472494348,0.88,1.0,0.7857142857142857
9,4044,4066,150,3554,4066,454,797.2392666339874,0.016558483242988586,0.9999138116836548,150,True,0.883989501312336,0.793635358325374,0.88314408773079,0.24641833810888253,0.3492822966507177,0.673469387755102,0.7021276595744681,0.6470588235294118,0.8297872340425532,0.7878787878787878,0.8764044943820225,0.7688679245283019,0.7477064220183486,0.7912621359223301,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6886075949367089,0.7311827956989247,0.6507177033492823,0.9439217162213023,0.9428571428571428,0.9449886963074604,0.8888888888888888,0.9230769230769231,0.8571428571428571
10,4194,3916,150,3704,3916,419,820.6522278785706,0.012764480896294117,0.9999526739120483,150,True,0.8813648293963254,0.7802799369815069,0.8819407070055681,0.21203438395415472,0.2679425837320574,0.6041666666666666,0.6444444444444445,0.5686274509803921,0.8494623655913979,0.8144329896907216,0.8876404494382022,0.7628361858190709,0.7684729064039408,0.7572815533980582,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7099767981438515,0.6891891891891891,0.7320574162679426,0.9415781487101669,0.948051948051948,0.9351921627731725,0.8666666666666667,0.8125,0.9285714285714286
