round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1862,6248,1372,1372,6248,1092,1060.3228125572205,0.0023750336840748787,0.9755697846412659,150,True,0.6010498687664042,0.3933144363892912,0.6514817073508476,0.2664756446991404,0.49760765550239233,0.40789473684210525,0.3069306930693069,0.6078431372549019,0.5213675213675214,0.4206896551724138,0.6853932584269663,0.3413173652694611,0.4453125,0.2766990291262136,0.14173228346456693,0.07627118644067797,1.0,0.3553299492385787,0.27486910994764396,0.5023923444976076,0.7724444444444445,0.9414951245937161,0.6548605877920121,0.21311475409836064,0.12037037037037036,0.9285714285714286
2,3290,4820,1428,2800,4820,702,1298.8422429561615,0.003787050489336252,0.9937740564346313,150,True,0.7202099737532809,0.5612244101026912,0.7489117166139212,0.24355300859598855,0.3253588516746411,0.4842105263157895,0.5227272727272727,0.45098039215686275,0.6530612244897959,0.5981308411214953,0.7191011235955056,0.5661157024793388,0.49280575539568344,0.6650485436893204,0.34615384615384615,0.20930232558139536,1.0,0.47157190635451507,0.36246786632390743,0.6746411483253588,0.8422402736212057,0.9733201581027668,0.7422758100979653,0.5652173913043478,0.40625,0.9285714285714286
3,3913,4197,623,3423,4197,499,1545.112441778183,0.003783789463341236,0.991272509098053,150,True,0.8246719160104987,0.7027896221139448,0.8317528102543729,0.28939828080229224,0.3875598086124402,0.5416666666666666,0.5777777777777777,0.5098039215686274,0.7888888888888889,0.7802197802197802,0.797752808988764,0.6612244897959184,0.5704225352112676,0.7864077669902912,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.5831435079726651,0.5565217391304348,0.6124401913875598,0.9132312524538673,0.9532786885245902,0.8764129615674454,0.7647058823529411,0.65,0.9285714285714286
4,4377,3733,464,3887,3733,348,1681.9148075580597,0.002492533065378666,0.9984121918678284,150,True,0.85249343832021,0.7343705451286973,0.8547787580019973,0.2521489971346705,0.3588516746411483,0.5252525252525253,0.5416666666666666,0.5098039215686274,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.7162162162162162,0.6680672268907563,0.7718446601941747,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6411483253588517,0.6411483253588517,0.6411483253588517,0.9278033794162827,0.9459671104150352,0.9103240391861341,0.8387096774193549,0.7647058823529411,0.9285714285714286
5,4666,3444,289,4176,3444,265,1735.9131875038147,0.0013535353355109692,0.9990866184234619,150,True,0.8719160104986876,0.7857821028355383,0.8726218260289709,0.2492836676217765,0.3062200956937799,0.5806451612903226,0.6428571428571429,0.5294117647058824,0.8202247191011236,0.8202247191011236,0.8202247191011236,0.7424593967517401,0.7111111111111111,0.7766990291262136,0.8421052631578947,0.8,0.8888888888888888,0.6807511737089202,0.6682027649769585,0.69377990430622,0.9377372817008353,0.944912012241775,0.9306706857573473,0.896551724137931,0.8666666666666667,0.9285714285714286
6,4849,3261,183,4359,3261,217,1782.087066411972,0.0006545357755385339,0.9998796582221985,150,True,0.868766404199475,0.7789719916398438,0.8708409931021849,0.20916905444126074,0.2822966507177033,0.5869565217391305,0.6585365853658537,0.5294117647058824,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.7652582159624414,0.740909090909091,0.7912621359223301,0.8421052631578947,0.8,0.8888888888888888,0.6741573033707865,0.635593220338983,0.7177033492822966,0.9340490797546013,0.9508196721311475,0.9178598342125094,0.8461538461538461,0.9166666666666666,0.7857142857142857
7,5008,3102,159,4518,3102,171,1826.2000517845154,0.00019339546270202845,0.9999167323112488,150,True,0.8803149606299212,0.7955145417378672,0.8808989253037526,0.22063037249283668,0.291866028708134,0.6326530612244898,0.6595744680851063,0.6078431372549019,0.8342857142857143,0.8488372093023255,0.8202247191011236,0.7688679245283019,0.7477064220183486,0.7912621359223301,0.9411764705882353,1.0,0.8888888888888888,0.7014218009478673,0.6948356807511737,0.7081339712918661,0.9401968205904617,0.9444866920152091,0.9359457422758101,0.75,0.6666666666666666,0.8571428571428571
8,5169,2941,161,4679,2941,120,1844.6887006759644,0.0001315209810854867,0.9999504089355469,150,True,0.8771653543307086,0.75184572180161,0.8768924343492935,0.2636103151862464,0.33014354066985646,0.5977011494252874,0.7222222222222222,0.5098039215686274,0.8333333333333334,0.8241758241758241,0.8426966292134831,0.7540229885057471,0.7161572052401747,0.7961165048543689,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6829268292682927,0.6965174129353234,0.6698564593301436,0.9425547996976569,0.9454131918119788,0.9397136397889977,0.7857142857142857,0.7857142857142857,0.7857142857142857
9,5327,2783,158,4837,2783,74,1869.517353773117,3.937900692108087e-05,0.9999278783798218,150,True,0.8850393700787401,0.7825724419630348,0.8844686881839146,0.27793696275071633,0.3444976076555024,0.6153846153846154,0.7,0.5490196078431373,0.8352941176470589,0.8765432098765432,0.797752808988764,0.7516483516483516,0.6867469879518072,0.8300970873786407,0.8,0.7272727272727273,0.8888888888888888,0.6989795918367347,0.7486338797814208,0.6555023923444976,0.9491142103279306,0.94947209653092,0.948756593820648,0.8275862068965517,0.8,0.8571428571428571
10,5482,2628,155,4992,2628,52,1926.2362422943115,2.8343431040411815e-05,0.9999675750732422,150,True,0.8761154855643044,0.7688787020126119,0.8763749407551085,0.25787965616045844,0.3397129186602871,0.5979381443298969,0.6304347826086957,0.5686274509803921,0.8135593220338984,0.8181818181818182,0.8089887640449438,0.7443946188340808,0.6916666666666667,0.8058252427184466,0.8421052631578947,0.8,0.8888888888888888,0.6917293233082706,0.7263157894736842,0.6602870813397129,0.9424242424242424,0.9474485910129474,0.9374529012810852,0.75,0.6666666666666666,0.8571428571428571
