round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1735,6375,1245,1245,6375,1205,1050.568969964981,0.0023750336840748787,0.9755697846412659,150,True,0.6010498687664042,0.3933144363892912,0.6514817073508476,0.2664756446991404,0.49760765550239233,0.40789473684210525,0.3069306930693069,0.6078431372549019,0.5213675213675214,0.4206896551724138,0.6853932584269663,0.3413173652694611,0.4453125,0.2766990291262136,0.14173228346456693,0.07627118644067797,1.0,0.3553299492385787,0.27486910994764396,0.5023923444976076,0.7724444444444445,0.9414951245937161,0.6548605877920121,0.21311475409836064,0.12037037037037036,0.9285714285714286
2,3303,4807,1568,2813,4807,790,1281.2164828777313,0.003656646702438593,0.9871595501899719,150,True,0.7338582677165354,0.5582521774565373,0.7606900852749297,0.27793696275071633,0.36363636363636365,0.4807692307692308,0.4716981132075472,0.49019607843137253,0.680628272251309,0.6372549019607843,0.7303370786516854,0.5838779956427015,0.5296442687747036,0.6504854368932039,0.2647058823529412,0.15254237288135594,1.0,0.4784172661870504,0.38328530259365995,0.6363636363636364,0.854149203688181,0.9622285174693107,0.7678975131876413,0.5652173913043478,0.40625,0.9285714285714286
3,3723,4387,420,3233,4387,699,1564.8959965705872,0.004747651517391205,0.9936750531196594,150,True,0.815748031496063,0.6745488577721438,0.8263108806672741,0.2148997134670487,0.3157894736842105,0.5391304347826087,0.484375,0.6078431372549019,0.7619047619047619,0.72,0.8089887640449438,0.6622222222222223,0.610655737704918,0.7233009708737864,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5945945945945946,0.5257352941176471,0.6842105263157895,0.9068471337579618,0.9611814345991562,0.8583270535041447,0.6857142857142857,0.5714285714285714,0.8571428571428571
4,4104,4006,381,3614,4006,603,1654.3972930908203,0.0034969006665050983,0.9972862601280212,150,True,0.8377952755905512,0.7155568766583137,0.8422777492622158,0.2722063037249284,0.3827751196172249,0.5473684210526316,0.5909090909090909,0.5098039215686274,0.7715736040609137,0.7037037037037037,0.8539325842696629,0.6709401709401709,0.5992366412213741,0.7621359223300971,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6128266033254157,0.6084905660377359,0.6172248803827751,0.9226583754372328,0.9526484751203852,0.8944988696307461,0.7878787878787878,0.6842105263157895,0.9285714285714286
5,4382,3728,278,3892,3728,528,1718.6164257526398,0.002117674332112074,0.9987160563468933,150,True,0.8593175853018372,0.7347626178327401,0.8614507881349738,0.22922636103151864,0.28708133971291866,0.5454545454545454,0.6486486486486487,0.47058823529411764,0.7857142857142857,0.719626168224299,0.8651685393258427,0.6972477064220184,0.6608695652173913,0.7378640776699029,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6898148148148148,0.6681614349775785,0.7129186602870813,0.9331283627978478,0.952156862745098,0.9148455162019593,0.7647058823529411,0.65,0.9285714285714286
6,4612,3498,230,4122,3498,467,1768.0524125099182,0.0009386652382090688,0.9991312026977539,150,True,0.8677165354330708,0.771113835520873,0.8675490484549631,0.2349570200573066,0.3349282296650718,0.5777777777777777,0.6666666666666666,0.5098039215686274,0.8497409326424871,0.7884615384615384,0.9213483146067416,0.7142857142857143,0.7009345794392523,0.7281553398058253,0.8421052631578947,0.8,0.8888888888888888,0.6650717703349283,0.6650717703349283,0.6650717703349283,0.9363153904473086,0.9420289855072463,0.9306706857573473,0.8125,0.7222222222222222,0.9285714285714286
7,4762,3348,150,4272,3348,413,1813.4499235153198,0.0008592376252636313,0.9996371865272522,150,True,0.8692913385826772,0.7703946790140596,0.8708958012985418,0.2492836676217765,0.33014354066985646,0.6222222222222222,0.717948717948718,0.5490196078431373,0.8863636363636364,0.896551724137931,0.8764044943820225,0.7313769751693002,0.6835443037974683,0.7864077669902912,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6542056074766355,0.639269406392694,0.6698564593301436,0.9366895499618612,0.9482625482625483,0.9253956292388847,0.8,0.75,0.8571428571428571
8,4912,3198,150,4422,3198,362,1815.6509220600128,0.00011238658771617338,0.9998616576194763,150,True,0.8813648293963254,0.7839873380422338,0.8791427258195074,0.27507163323782235,0.3588516746411483,0.5934065934065934,0.675,0.5294117647058824,0.8333333333333334,0.8241758241758241,0.8426966292134831,0.7505938242280285,0.7348837209302326,0.7669902912621359,0.8421052631578947,0.8,0.8888888888888888,0.6854219948849105,0.7362637362637363,0.6411483253588517,0.9443406798655211,0.9362962962962963,0.9525244913338358,0.8387096774193549,0.7647058823529411,0.9285714285714286
9,5062,3048,150,4572,3048,324,1860.6862461566925,0.00010758852295111865,0.9998984932899475,150,True,0.8923884514435696,0.8116014925109264,0.8921217876976876,0.22349570200573066,0.291866028708134,0.7083333333333334,0.7555555555555555,0.6666666666666666,0.88268156424581,0.8777777777777778,0.8876404494382022,0.7673860911270983,0.7582938388625592,0.7766990291262136,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7167070217917676,0.7254901960784313,0.7081339712918661,0.9476459510357815,0.947289156626506,0.9480030143180106,0.896551724137931,0.8666666666666667,0.9285714285714286
10,5212,2898,150,4722,2898,294,1896.4612760543823,6.832622602814808e-05,0.9999057054519653,150,True,0.8866141732283465,0.7822436112694167,0.8866702553479697,0.22063037249283668,0.291866028708134,0.6530612244897959,0.6808510638297872,0.6274509803921569,0.8555555555555555,0.8461538461538461,0.8651685393258427,0.7666666666666667,0.7523364485981309,0.7815533980582524,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7219512195121951,0.736318407960199,0.7081339712918661,0.9441087613293051,0.9462528387585163,0.9419743782969103,0.8387096774193549,0.7647058823529411,0.9285714285714286
