round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1904,6206,1414,1414,6206,1125,283.93211460113525,1.9392783641815186,0.8235231041908264,150,True,42,badge,1414,0.1742782152230971,0.13469692593663274,0.23330563700041543,0.27507163323782235,0.8708133971291866,0.2037533512064343,0.11801242236024845,0.7450980392156863,0.19636363636363635,0.14516129032258066,0.30337078651685395,0.00966183574879227,1.0,0.0048543689320388345,0.049586776859504134,0.026785714285714284,0.3333333333333333,0.17142857142857143,0.25471698113207547,0.1291866028708134,0.2848020434227331,0.9330543933054394,0.1680482290881688,0.02728226652675761,0.013844515441959531,0.9285714285714286
2,2405,5705,501,1915,5705,1017,507.96907591819763,1.5495070219039917,0.8636602163314819,150,True,42,badge,501,0.6640419947506562,0.43965744703538606,0.7056360292703618,0.2636103151862464,0.507177033492823,0.37209302325581395,0.2644628099173554,0.6274509803921569,0.5603864734299517,0.4915254237288136,0.651685393258427,0.47165532879818595,0.4425531914893617,0.5048543689320388,0.10869565217391304,0.060240963855421686,0.5555555555555556,0.41282565130260523,0.35517241379310344,0.49282296650717705,0.8186126669538992,0.9557344064386318,0.7159005275056518,0.3333333333333333,0.203125,0.9285714285714286
3,2585,5525,180,2095,5525,963,595.1562697887421,1.3128900527954102,0.8997119069099426,150,True,42,badge,180,0.7433070866141732,0.5443452982749256,0.7621904101801557,0.33810888252148996,0.5263157894736842,0.4566929133858268,0.3815789473684211,0.5686274509803921,0.594059405940594,0.5309734513274337,0.6741573033707865,0.5143953934740882,0.4253968253968254,0.6504854368932039,0.32558139534883723,0.20588235294117646,0.7777777777777778,0.4876847290640394,0.5025380710659898,0.47368421052631576,0.8720032507110931,0.9462081128747796,0.8085908063300679,0.56,0.3888888888888889,1.0
4,2758,5352,173,2268,5352,916,632.6098027229309,1.1834657192230225,0.9324661493301392,150,True,42,badge,173,0.7643044619422572,0.6117359511266718,0.7808233156940532,0.2722063037249284,0.430622009569378,0.5076923076923077,0.4177215189873418,0.6470588235294118,0.6702127659574468,0.6363636363636364,0.7078651685393258,0.5790554414784395,0.501779359430605,0.6844660194174758,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5063829787234042,0.4559386973180077,0.569377990430622,0.8767791785278568,0.9522968197879859,0.8123587038432555,0.6086956521739131,0.4375,1.0
5,2918,5192,160,2428,5192,858,656.8407797813416,1.0824260711669922,0.9595281481742859,150,True,42,badge,160,0.7973753280839895,0.6534548700540406,0.8077969191547627,0.2664756446991404,0.430622009569378,0.5391304347826087,0.484375,0.6078431372549019,0.7487179487179487,0.6886792452830188,0.8202247191011236,0.6295503211991434,0.5632183908045977,0.7135922330097088,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.53125,0.497907949790795,0.569377990430622,0.8965791567223548,0.949452401010952,0.8492840994724944,0.6363636363636364,0.4666666666666667,1.0
6,3080,5030,162,2590,5030,810,678.9141116142273,1.006364345550537,0.9763329029083252,150,True,42,badge,162,0.8167979002624672,0.6985152750521678,0.8237330745427873,0.25787965616045844,0.3827751196172249,0.5625,0.6,0.5294117647058824,0.7536231884057971,0.6610169491525424,0.8764044943820225,0.6696035242290749,0.6129032258064516,0.7378640776699029,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5695364238410596,0.5286885245901639,0.6172248803827751,0.9043683589138135,0.9464579901153213,0.86586284853052,0.7027027027027027,0.5652173913043478,0.9285714285714286
7,3240,4870,160,2750,4870,759,708.7058601379395,0.8968387246131897,0.9873728156089783,150,True,42,badge,160,0.8377952755905512,0.717192553180405,0.8408492798760128,0.2722063037249284,0.3827751196172249,0.5454545454545454,0.5625,0.5294117647058824,0.7853403141361257,0.7352941176470589,0.8426966292134831,0.6924829157175398,0.6523605150214592,0.7378640776699029,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6013986013986014,0.5863636363636363,0.6172248803827751,0.9183987682832948,0.9386309992132179,0.8990203466465713,0.75,0.6666666666666666,0.8571428571428571
8,3397,4713,157,2907,4713,718,736.1031038761139,0.8278123140335083,0.9927118420600891,150,True,42,badge,157,0.8246719160104987,0.7084298280142836,0.8313388785907959,0.28939828080229224,0.3875598086124402,0.5806451612903226,0.6428571428571429,0.5294117647058824,0.8241758241758241,0.8064516129032258,0.8426966292134831,0.6805845511482255,0.5970695970695971,0.7912621359223301,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5714285714285714,0.5355648535564853,0.6124401913875598,0.908235294117647,0.946852003270646,0.8726450640542577,0.6666666666666666,0.5454545454545454,0.8571428571428571
9,3551,4559,154,3061,4559,672,761.3455164432526,0.7071595788002014,0.9965234994888306,150,True,42,badge,154,0.8461942257217848,0.7428507455700124,0.8467238622308315,0.30659025787965616,0.41148325358851673,0.6170212765957447,0.6744186046511628,0.5686274509803921,0.8176795580110497,0.8043478260869565,0.8314606741573034,0.7132867132867133,0.6860986547085202,0.7427184466019418,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.5927710843373494,0.5970873786407767,0.5885167464114832,0.9195140470766895,0.9265493496557001,0.9125847776940467,0.7777777777777778,0.6363636363636364,1.0
10,3705,4405,154,3215,4405,633,784.056636095047,0.6800369620323181,0.9984713196754456,150,True,42,badge,154,0.8498687664041995,0.7337716120182503,0.8522625713523473,0.27793696275071633,0.3684210526315789,0.5714285714285714,0.5957446808510638,0.5490196078431373,0.8021390374331551,0.7653061224489796,0.8426966292134831,0.7105263157894737,0.648,0.7864077669902912,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.639225181598063,0.6470588235294118,0.631578947368421,0.9239046887009992,0.9427450980392157,0.905802562170309,0.7272727272727273,0.631578947368421,0.8571428571428571
