round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1904,6206,1414,1414,6206,1154,286.90310168266296,1.9392783641815186,0.8235231041908264,150,True,42,clue,1414,0.1742782152230971,0.13469692593663274,0.23330563700041543,0.27507163323782235,0.8708133971291866,0.2037533512064343,0.11801242236024845,0.7450980392156863,0.19636363636363635,0.14516129032258066,0.30337078651685395,0.00966183574879227,1.0,0.0048543689320388345,0.049586776859504134,0.026785714285714284,0.3333333333333333,0.17142857142857143,0.25471698113207547,0.1291866028708134,0.2848020434227331,0.9330543933054394,0.1680482290881688,0.02728226652675761,0.013844515441959531,0.9285714285714286
2,2405,5705,501,1915,5705,1046,510.84564208984375,1.5681589841842651,0.8650270104408264,150,True,42,clue,501,0.6451443569553805,0.4453023333354274,0.6899567732129933,0.2148997134670487,0.45454545454545453,0.37433155080213903,0.25735294117647056,0.6862745098039216,0.5756097560975609,0.5086206896551724,0.6629213483146067,0.4481132075471698,0.43577981651376146,0.46116504854368934,0.13793103448275862,0.07692307692307693,0.6666666666666666,0.3986013986013986,0.3140495867768595,0.5454545454545454,0.8001764446404941,0.9648936170212766,0.6834966088922382,0.38235294117647056,0.24074074074074073,0.9285714285714286
3,2585,5525,180,2095,5525,1001,596.4217338562012,1.3479604721069336,0.8691864609718323,150,True,42,clue,180,0.726509186351706,0.5303044659345254,0.7502194527845772,0.2808022922636103,0.5023923444976076,0.43243243243243246,0.32989690721649484,0.6274509803921569,0.5841584158415841,0.5221238938053098,0.6629213483146067,0.5175983436853002,0.45126353790613716,0.6067961165048543,0.27906976744186046,0.17647058823529413,0.6666666666666666,0.44539614561027835,0.40310077519379844,0.49760765550239233,0.8625670656211308,0.9534671532846716,0.787490580256217,0.5909090909090909,0.43333333333333335,0.9285714285714286
4,2758,5352,173,2268,5352,946,626.9451324939728,1.155016303062439,0.9386441111564636,150,True,42,clue,173,0.731758530183727,0.6166354332348043,0.7563605530312933,0.20630372492836677,0.3588516746411483,0.5,0.4155844155844156,0.6274509803921569,0.6798029556650246,0.6052631578947368,0.7752808988764045,0.5469728601252609,0.47985347985347987,0.6359223300970874,0.5,0.34782608695652173,0.8888888888888888,0.475177304964539,0.37746478873239436,0.6411483253588517,0.849789029535865,0.965484180249281,0.758854559155991,0.7647058823529411,0.65,0.9285714285714286
5,2918,5192,160,2428,5192,907,674.4531660079956,1.0559438467025757,0.9540714025497437,150,True,42,clue,160,0.7564304461942257,0.6348707802577913,0.7775069356178423,0.22922636103151864,0.3492822966507177,0.5217391304347826,0.46875,0.5882352941176471,0.7127659574468085,0.6767676767676768,0.7528089887640449,0.5720081135902637,0.4912891986062718,0.6844660194174758,0.5806451612903226,0.4090909090909091,1.0,0.5037037037037037,0.4108761329305136,0.6507177033492823,0.8690228690228691,0.9693877551020408,0.787490580256217,0.6842105263157895,0.5416666666666666,0.9285714285714286
6,3080,5030,162,2590,5030,872,695.0958113670349,0.9525185227394104,0.971030592918396,150,True,42,clue,162,0.794750656167979,0.6718078653867963,0.8065746278353043,0.2636103151862464,0.39712918660287083,0.5523809523809524,0.5370370370370371,0.5686274509803921,0.7346938775510204,0.6728971962616822,0.8089887640449438,0.6340425531914894,0.5643939393939394,0.7233009708737864,0.64,0.5,0.8888888888888888,0.525,0.46494464944649444,0.6028708133971292,0.8943154523618895,0.9538855678906917,0.841748304446119,0.7222222222222222,0.5909090909090909,0.9285714285714286
7,3240,4870,160,2750,4870,828,718.2942295074463,0.898654580116272,0.9828940629959106,150,True,42,clue,160,0.8204724409448819,0.6983351765891105,0.8285237694672944,0.2521489971346705,0.3875598086124402,0.5631067961165048,0.5576923076923077,0.5686274509803921,0.8,0.7708333333333334,0.8314606741573034,0.6741071428571429,0.6239669421487604,0.7330097087378641,0.5517241379310345,0.4,0.8888888888888888,0.5505376344086022,0.5,0.6124401913875598,0.9101608473911338,0.9492635024549918,0.8741522230595328,0.8387096774193549,0.7647058823529411,0.9285714285714286
8,3397,4713,157,2907,4713,791,741.7844207286835,0.8168186545372009,0.9922348856925964,150,True,42,clue,157,0.8204724409448819,0.7186742635066954,0.8308006260605796,0.23209169054441262,0.3349282296650718,0.5416666666666666,0.5777777777777777,0.5098039215686274,0.8306010928961749,0.8085106382978723,0.8539325842696629,0.6809421841541756,0.6091954022988506,0.7718446601941747,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.5604838709677419,0.4843205574912892,0.6650717703349283,0.9088738559490649,0.9629005059021922,0.8605877920120573,0.8125,0.7222222222222222,0.9285714285714286
9,3551,4559,154,3061,4559,751,769.0892090797424,0.6965348720550537,0.9948930740356445,150,True,42,clue,154,0.836745406824147,0.7399382998137147,0.8396111778423191,0.2836676217765043,0.3875598086124402,0.5555555555555556,0.6410256410256411,0.49019607843137253,0.8235294117647058,0.7857142857142857,0.8651685393258427,0.6851851851851852,0.6548672566371682,0.7184466019417476,0.782608695652174,0.6428571428571429,1.0,0.5765765765765766,0.5446808510638298,0.6124401913875598,0.917402996542451,0.9357366771159875,0.8997739261492087,0.8387096774193549,0.7647058823529411,0.9285714285714286
10,3705,4405,154,3215,4405,711,799.111035823822,0.6695540547370911,0.9981063604354858,150,True,42,clue,154,0.8388451443569553,0.7388120691627472,0.8436909835015655,0.22922636103151864,0.3253588516746411,0.5714285714285714,0.65,0.5098039215686274,0.7938144329896907,0.7333333333333333,0.8651685393258427,0.6912442396313364,0.6578947368421053,0.7281553398058253,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6064516129032258,0.55078125,0.6746411483253588,0.9192546583850931,0.9479583666933546,0.8922381311228335,0.8275862068965517,0.8,0.8571428571428571
