round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1904,6206,1414,1414,6206,1132,317.8548460006714,1.9392783641815186,0.8235231041908264,150,True,42,coreset,1414,0.1742782152230971,0.13469692593663274,0.23330563700041543,0.27507163323782235,0.8708133971291866,0.2037533512064343,0.11801242236024845,0.7450980392156863,0.19636363636363635,0.14516129032258066,0.30337078651685395,0.00966183574879227,1.0,0.0048543689320388345,0.049586776859504134,0.026785714285714284,0.3333333333333333,0.17142857142857143,0.25471698113207547,0.1291866028708134,0.2848020434227331,0.9330543933054394,0.1680482290881688,0.02728226652675761,0.013844515441959531,0.9285714285714286
2,2405,5705,501,1915,5705,1024,532.1863746643066,1.6085646152496338,0.8607173562049866,150,True,42,coreset,501,0.6351706036745407,0.4045174633593809,0.6842711182955654,0.2636103151862464,0.5454545454545454,0.3349282296650718,0.22151898734177214,0.6862745098039216,0.5279187817258884,0.48148148148148145,0.5842696629213483,0.4018475750577367,0.3832599118942731,0.4223300970873786,0.1111111111111111,0.06060606060606061,0.6666666666666666,0.4166666666666667,0.38461538461538464,0.45454545454545453,0.8027862429255551,0.9505154639175257,0.694800301431801,0.23636363636363636,0.13541666666666666,0.9285714285714286
3,2585,5525,180,2095,5525,955,619.6103875637054,1.3899555206298828,0.8667048811912537,150,True,42,coreset,180,0.731758530183727,0.5162064557530642,0.7532343240078357,0.3209169054441261,0.5311004784688995,0.375,0.2903225806451613,0.5294117647058824,0.6288659793814433,0.580952380952381,0.6853932584269663,0.4948875255623722,0.4275618374558304,0.587378640776699,0.2926829268292683,0.1875,0.6666666666666666,0.45265588914549654,0.4375,0.4688995215311005,0.8693528693528694,0.9451327433628318,0.8048229088168802,0.5,0.34210526315789475,0.9285714285714286
4,2758,5352,173,2268,5352,905,646.4931104183197,1.2544218301773071,0.9431552886962891,150,True,42,coreset,173,0.7627296587926509,0.6044706377260443,0.7800909184425665,0.22063037249283668,0.4019138755980861,0.4714285714285714,0.3707865168539326,0.6470588235294118,0.6699507389162561,0.5964912280701754,0.7640449438202247,0.567032967032967,0.5180722891566265,0.6262135922330098,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5154639175257731,0.4528985507246377,0.5980861244019139,0.8778501628664495,0.9548272807794509,0.8123587038432555,0.5581395348837209,0.41379310344827586,0.8571428571428571
5,2918,5192,160,2428,5192,835,688.8147895336151,1.1365758180618286,0.9472407698631287,150,True,42,coreset,160,0.800524934383202,0.6371577849108446,0.811250094134718,0.25501432664756446,0.39712918660287083,0.5,0.43478260869565216,0.5882352941176471,0.7659574468085106,0.7272727272727273,0.8089887640449438,0.6222222222222222,0.5737704918032787,0.6796116504854369,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5526315789473685,0.5101214574898786,0.6028708133971292,0.9005940594059406,0.9490818030050083,0.8568198944988696,0.5853658536585366,0.4444444444444444,0.8571428571428571
6,3080,5030,162,2590,5030,756,709.2870900630951,1.058941125869751,0.9666064381599426,150,True,42,coreset,162,0.815748031496063,0.6953419935703149,0.8238410193138485,0.25501432664756446,0.3875598086124402,0.5436893203883495,0.5384615384615384,0.5490196078431373,0.7872340425531915,0.7474747474747475,0.8314606741573034,0.6566523605150214,0.5884615384615385,0.7427184466019418,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5601750547045952,0.5161290322580645,0.6124401913875598,0.9066561638440331,0.9496699669966997,0.8673700075357951,0.6857142857142857,0.5714285714285714,0.8571428571428571
7,3240,4870,160,2750,4870,686,732.5277528762817,0.9704722166061401,0.9803639054298401,150,True,42,coreset,160,0.8251968503937008,0.6987663274914305,0.8321337236668098,0.24641833810888253,0.3684210526315789,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.8260869565217391,0.8,0.8539325842696629,0.6771300448430493,0.6291666666666667,0.7330097087378641,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.5689655172413793,0.5176470588235295,0.631578947368421,0.9108678655199375,0.9463850528025995,0.8779201205727204,0.7272727272727273,0.631578947368421,0.8571428571428571
8,3397,4713,157,2907,4713,620,770.6212282180786,0.8578378558158875,0.9904739260673523,150,True,42,coreset,157,0.8383202099737532,0.7366939144312982,0.8428332182303122,0.25501432664756446,0.37799043062200954,0.6060606060606061,0.625,0.5882352941176471,0.8540540540540541,0.8229166666666666,0.8876404494382022,0.6848072562358276,0.6425531914893617,0.7330097087378641,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.5816554809843401,0.5462184873949579,0.6220095693779905,0.9183752417794971,0.9435612082670907,0.8944988696307461,0.75,0.6666666666666666,0.8571428571428571
9,3551,4559,154,3061,4559,532,788.6182477474213,0.7587621212005615,0.9931902289390564,150,True,42,coreset,154,0.8535433070866142,0.7596389733353711,0.8543585257063608,0.2607449856733524,0.3684210526315789,0.5833333333333334,0.6222222222222222,0.5490196078431373,0.8715083798882681,0.8666666666666667,0.8764044943820225,0.6924939467312349,0.6908212560386473,0.6941747572815534,0.8421052631578947,0.8,0.8888888888888888,0.6125290023201856,0.5945945945945946,0.631578947368421,0.9276241000378932,0.9329268292682927,0.9223813112283346,0.7878787878787878,0.6842105263157895,0.9285714285714286
10,3705,4405,154,3215,4405,495,826.9039800167084,0.6899707913398743,0.9982370138168335,150,True,42,coreset,154,0.8656167979002625,0.7726874644838189,0.8654049627720385,0.24641833810888253,0.3397129186602871,0.6153846153846154,0.7,0.5490196078431373,0.8478260869565217,0.8210526315789474,0.8764044943820225,0.7058823529411765,0.684931506849315,0.7281553398058253,0.8,0.7272727272727273,0.8888888888888888,0.6682808716707022,0.6764705882352942,0.6602870813397129,0.9327286470143613,0.935557240333586,0.9299171062547099,0.8387096774193549,0.7647058823529411,0.9285714285714286
