round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1904,6206,1414,1414,6206,1107,921.210113286972,1.9392783641815186,0.8235231041908264,150,True,42,vaal,1414,0.1742782152230971,0.13469692593663274,0.23330563700041543,0.27507163323782235,0.8708133971291866,0.2037533512064343,0.11801242236024845,0.7450980392156863,0.19636363636363635,0.14516129032258066,0.30337078651685395,0.00966183574879227,1.0,0.0048543689320388345,0.049586776859504134,0.026785714285714284,0.3333333333333333,0.17142857142857143,0.25471698113207547,0.1291866028708134,0.2848020434227331,0.9330543933054394,0.1680482290881688,0.02728226652675761,0.013844515441959531,0.9285714285714286
2,2405,5705,501,1915,5705,1030,1036.259421825409,1.5625239610671997,0.878789484500885,150,True,42,vaal,501,0.6803149606299213,0.4611650193427854,0.716920459122486,0.32664756446991405,0.5789473684210527,0.39751552795031053,0.2909090909090909,0.6274509803921569,0.5671641791044776,0.5089285714285714,0.6404494382022472,0.4431137724550898,0.376271186440678,0.5388349514563107,0.12,0.06593406593406594,0.6666666666666666,0.4160756501182033,0.411214953271028,0.42105263157894735,0.8360101437024514,0.9518768046198267,0.7452901281085155,0.4482758620689655,0.29545454545454547,0.9285714285714286
3,2585,5525,180,2095,5525,973,1080.0056929588318,1.252703309059143,0.9096651673316956,150,True,42,vaal,180,0.694488188976378,0.5096241132955984,0.7256373069796263,0.2922636103151863,0.507177033492823,0.453125,0.37662337662337664,0.5686274509803921,0.593607305936073,0.5,0.7303370786516854,0.4763572679509632,0.3726027397260274,0.6601941747572816,0.27450980392156865,0.16666666666666666,0.7777777777777778,0.44685466377440347,0.4087301587301587,0.49282296650717705,0.8331188331188332,0.9671314741035857,0.73172569706104,0.4897959183673469,0.34285714285714286,0.8571428571428571
4,2758,5352,173,2268,5352,931,1088.18368268013,1.122032880783081,0.9361251592636108,150,True,42,vaal,173,0.7343832020997375,0.5729288443348735,0.7569508496480915,0.29512893982808025,0.5263157894736842,0.5037037037037037,0.40476190476190477,0.6666666666666666,0.6476190476190476,0.5619834710743802,0.7640449438202247,0.5351629502572899,0.41379310344827586,0.7572815533980582,0.3902439024390244,0.25,0.8888888888888888,0.4771084337349398,0.48058252427184467,0.47368421052631576,0.856663872590109,0.9650613786591123,0.7701582516955539,0.6,0.46153846153846156,0.8571428571428571
5,2918,5192,160,2428,5192,912,1116.8568150997162,1.0441672801971436,0.9609231948852539,150,True,42,vaal,160,0.7543307086614173,0.6050069479100155,0.7746477372064114,0.27507163323782235,0.4354066985645933,0.5641025641025641,0.5,0.6470588235294118,0.7128712871287128,0.6371681415929203,0.8089887640449438,0.562962962962963,0.4550898203592814,0.7378640776699029,0.43243243243243246,0.2857142857142857,0.8888888888888888,0.5053533190578159,0.4573643410852713,0.5645933014354066,0.8664169787765293,0.9674721189591078,0.7844762622456669,0.5909090909090909,0.43333333333333335,0.9285714285714286
6,3080,5030,162,2590,5030,895,1120.1939678192139,0.8699005246162415,0.9788678288459778,150,True,42,vaal,162,0.7900262467191601,0.6395832666110014,0.8023638037331865,0.2979942693409742,0.4449760765550239,0.5263157894736842,0.47619047619047616,0.5882352941176471,0.7486631016042781,0.7142857142857143,0.7865168539325843,0.6103646833013435,0.5047619047619047,0.7718446601941747,0.5517241379310345,0.4,0.8888888888888888,0.5446009389671361,0.5345622119815668,0.5550239234449761,0.8907630522088353,0.9535683576956148,0.8357196684250189,0.6046511627906976,0.4482758620689655,0.9285714285714286
7,3240,4870,160,2750,4870,858,1134.8649065494537,0.7576056718826294,0.9910084009170532,150,True,42,vaal,160,0.7968503937007874,0.6508677524230134,0.8086967087036833,0.2607449856733524,0.4019138755980861,0.4909090909090909,0.4576271186440678,0.5294117647058824,0.7450980392156863,0.6608695652173913,0.8539325842696629,0.6028513238289206,0.519298245614035,0.7184466019417476,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5630630630630631,0.5319148936170213,0.5980861244019139,0.8985971943887776,0.9597602739726028,0.8447626224566692,0.7222222222222222,0.5909090909090909,0.9285714285714286
8,3397,4713,157,2907,4713,856,1156.7618627548218,0.6095878481864929,0.9940137267112732,150,True,42,vaal,157,0.8020997375328084,0.6648726161666983,0.8134503563518914,0.2808022922636103,0.41626794258373206,0.4909090909090909,0.4576271186440678,0.5294117647058824,0.7734806629834254,0.7608695652173914,0.7865168539325843,0.6105675146771037,0.5114754098360655,0.7572815533980582,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.5583524027459954,0.5350877192982456,0.583732057416268,0.9027113237639554,0.9585097375105842,0.853051996985682,0.7027027027027027,0.5652173913043478,0.9285714285714286
9,3551,4559,154,3061,4559,812,1176.8584654331207,0.4309678375720978,0.9972174167633057,150,True,42,vaal,154,0.8131233595800524,0.6785003247947884,0.8214948959296046,0.27507163323782235,0.41626794258373206,0.5346534653465347,0.54,0.5294117647058824,0.8125,0.7572815533980582,0.8764044943820225,0.6340425531914894,0.5643939393939394,0.7233009708737864,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5458612975391499,0.5126050420168067,0.583732057416268,0.9081592432006307,0.9520661157024793,0.8681235870384325,0.7428571428571429,0.6190476190476191,0.9285714285714286
10,3705,4405,154,3215,4405,786,1192.064358472824,0.45779240131378174,0.9991117119789124,150,True,42,vaal,154,0.8146981627296588,0.6910704689134389,0.8235459816839512,0.23782234957020057,0.37320574162679426,0.5272727272727272,0.4915254237288136,0.5686274509803921,0.7755102040816326,0.7102803738317757,0.8539325842696629,0.6405228758169934,0.5810276679841897,0.7135922330097088,0.64,0.5,0.8888888888888888,0.5720524017467249,0.5261044176706827,0.6267942583732058,0.9079415250888977,0.9543189368770764,0.86586284853052,0.7741935483870968,0.7058823529411765,0.8571428571428571
11,3860,4250,155,3370,4250,750,1179.2333743572235,0.3838074207305908,0.9993757605552673,150,True,42,vaal,155,0.8278215223097113,0.6966923738848745,0.834021544923171,0.23782234957020057,0.3444976076555024,0.4842105263157895,0.5227272727272727,0.45098039215686275,0.7939698492462312,0.7181818181818181,0.8876404494382022,0.6608695652173913,0.5984251968503937,0.7378640776699029,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6061946902654868,0.5637860082304527,0.6555023923444976,0.9149353194825559,0.9534313725490197,0.8794272795779955,0.75,0.6666666666666666,0.8571428571428571
12,4010,4100,150,3520,4100,729,1197.885722875595,0.3427833020687103,0.9995687007904053,150,True,42,vaal,150,0.8335958005249344,0.7042552019413651,0.8388126732559473,0.2808022922636103,0.39712918660287083,0.5416666666666666,0.5777777777777777,0.5098039215686274,0.8253968253968254,0.78,0.8764044943820225,0.6708595387840671,0.5904059040590406,0.7766990291262136,0.6923076923076923,0.5294117647058824,1.0,0.5957446808510638,0.5887850467289719,0.6028708133971292,0.9180967238689548,0.9514955537590946,0.8869630746043707,0.6857142857142857,0.5714285714285714,0.8571428571428571
13,4161,3949,151,3671,3949,728,1254.7434966564178,0.23175056278705597,0.9998607635498047,150,True,42,vaal,151,0.8362204724409449,0.7148228054630759,0.8412537307245603,0.25501432664756446,0.3684210526315789,0.5957446808510638,0.6511627906976745,0.5490196078431373,0.7918781725888325,0.7222222222222222,0.8764044943820225,0.670995670995671,0.60546875,0.7524271844660194,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6111111111111112,0.5919282511210763,0.631578947368421,0.9186453873102375,0.9500805152979066,0.8892238131122834,0.8,0.75,0.8571428571428571
14,4315,3795,154,3825,3795,706,1290.6101651191711,0.10475189238786697,0.9998217225074768,150,True,42,vaal,154,0.8535433070866142,0.7062958899340555,0.8522672683877657,0.33810888252148996,0.44976076555023925,0.5849056603773585,0.5636363636363636,0.6078431372549019,0.8024691358024691,0.8904109589041096,0.7303370786516854,0.6899766899766899,0.6636771300448431,0.7184466019417476,0.5517241379310345,0.4,0.8888888888888888,0.6084656084656085,0.6804733727810651,0.5502392344497608,0.9323364485981308,0.9250741839762612,0.9397136397889977,0.7741935483870968,0.7058823529411765,0.8571428571428571
15,4466,3644,151,3976,3644,672,1259.100994348526,0.09495057165622711,0.9999247193336487,150,True,42,vaal,151,0.8435695538057743,0.7128003481668853,0.8465665199312142,0.2607449856733524,0.36363636363636365,0.5436893203883495,0.5384615384615384,0.5490196078431373,0.7821229050279329,0.7777777777777778,0.7865168539325843,0.6682027649769585,0.6359649122807017,0.7038834951456311,0.6428571428571429,0.47368421052631576,1.0,0.6258823529411764,0.6157407407407407,0.6363636363636364,0.9268479509766373,0.942367601246106,0.9118311981914092,0.8,0.75,0.8571428571428571
