round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1558,6552,1068,1068,6552,1229,206.78468871116638,1.936631202697754,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,1896,6214,338,1406,6214,1139,385.7542908191681,1.6358823776245117,0.8366132378578186,150,True,0.6146981627296588,0.37769758081029214,0.6721053479311211,0.2722063037249284,0.5502392344497608,0.32142857142857145,0.20809248554913296,0.7058823529411765,0.4939759036144578,0.5324675324675324,0.4606741573033708,0.40399002493765584,0.4153846153846154,0.3932038834951456,0.07692307692307693,0.042105263157894736,0.4444444444444444,0.3900414937759336,0.3443223443223443,0.44976076555023925,0.792967032967033,0.9514767932489452,0.6797287113790504,0.16455696202531644,0.09027777777777778,0.9285714285714286
3,2046,6064,150,1556,6064,1088,447.2852599620819,1.5096609592437744,0.8642561435699463,150,True,0.710236220472441,0.48484839499404725,0.7365174338902659,0.27507163323782235,0.5215311004784688,0.4024390243902439,0.2920353982300885,0.6470588235294118,0.6210526315789474,0.5841584158415841,0.6629213483146067,0.46190476190476193,0.4532710280373832,0.470873786407767,0.23333333333333334,0.13725490196078433,0.7777777777777778,0.425531914893617,0.3831417624521073,0.4784688995215311,0.8557377049180328,0.9380053908355795,0.7867370007535796,0.3939393939393939,0.25,0.9285714285714286
4,2196,5914,150,1706,5914,1025,472.00785398483276,1.3743022680282593,0.8910510540008545,150,True,0.7417322834645669,0.5383854498915894,0.7622429035193296,0.3037249283667622,0.4880382775119617,0.4496124031007752,0.3717948717948718,0.5686274509803921,0.6918918918918919,0.6666666666666666,0.7191011235955056,0.5423728813559322,0.48120300751879697,0.6213592233009708,0.37209302325581395,0.23529411764705882,0.8888888888888888,0.4652173913043478,0.4262948207171315,0.5119617224880383,0.8665581773799838,0.9416445623342176,0.8025621703089676,0.38095238095238093,0.24489795918367346,0.8571428571428571
5,2346,5764,150,1856,5764,958,503.2620611190796,1.2817412614822388,0.9076802134513855,150,True,0.7805774278215223,0.5969547701618263,0.7916586202132972,0.2922636103151863,0.44976076555023925,0.5636363636363636,0.5254237288135594,0.6078431372549019,0.7083333333333334,0.6601941747572816,0.7640449438202247,0.5925925925925926,0.5663716814159292,0.6213592233009708,0.42105263157894735,0.27586206896551724,0.8888888888888888,0.5054945054945055,0.46747967479674796,0.5502392344497608,0.8875739644970414,0.9312913907284768,0.8477769404672193,0.5,0.35294117647058826,0.8571428571428571
6,2496,5614,150,2006,5614,900,520.9575598239899,1.1514654159545898,0.953049898147583,150,True,0.8089238845144356,0.6362834758075856,0.8172929625391883,0.24641833810888253,0.3684210526315789,0.56,0.5714285714285714,0.5490196078431373,0.76,0.6846846846846847,0.8539325842696629,0.6333333333333333,0.6214953271028038,0.6456310679611651,0.5517241379310345,0.4,0.8888888888888888,0.5751633986928104,0.528,0.631578947368421,0.9031752254018032,0.9411764705882353,0.8681235870384325,0.47058823529411764,0.32432432432432434,0.8571428571428571
7,2646,5464,150,2156,5464,850,556.9644842147827,1.0652714967727661,0.9795733690261841,150,True,0.8125984251968504,0.6799847136582212,0.819701403839091,0.2349570200573066,0.35406698564593303,0.5631067961165048,0.5576923076923077,0.5686274509803921,0.79,0.7117117117117117,0.8876404494382022,0.6303317535545023,0.6157407407407407,0.6456310679611651,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.574468085106383,0.5172413793103449,0.645933014354067,0.9023912191297531,0.940359477124183,0.8673700075357951,0.6842105263157895,0.5416666666666666,0.9285714285714286
8,2796,5314,150,2306,5314,793,577.1183319091797,0.932733416557312,0.9858835935592651,150,True,0.8383202099737532,0.7154349066530371,0.8394860836361452,0.2693409742120344,0.4019138755980861,0.5773195876288659,0.6086956521739131,0.5490196078431373,0.8307692307692308,0.7641509433962265,0.9101123595505618,0.6585956416464891,0.6570048309178744,0.6601941747572816,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5882352941176471,0.5787037037037037,0.5980861244019139,0.9199695121951219,0.930609097918273,0.9095704596834966,0.7058823529411765,0.6,0.8571428571428571
9,2946,5164,150,2456,5164,745,598.3348948955536,0.8690687417984009,0.9915357232093811,150,True,0.8356955380577428,0.7165039905504551,0.8386115752194363,0.2722063037249284,0.3827751196172249,0.5591397849462365,0.6190476190476191,0.5098039215686274,0.8297872340425532,0.7878787878787878,0.8764044943820225,0.663594470046083,0.631578947368421,0.6990291262135923,0.64,0.5,0.8888888888888888,0.593103448275862,0.5707964601769911,0.6172248803827751,0.917402996542451,0.9357366771159875,0.8997739261492087,0.8125,0.7222222222222222,0.9285714285714286
10,3096,5014,150,2606,5014,692,631.0621085166931,0.8001734018325806,0.9930038452148438,150,True,0.841994750656168,0.7153621228275274,0.8426140056138403,0.29512893982808025,0.41148325358851673,0.5777777777777777,0.6666666666666666,0.5098039215686274,0.8449197860962567,0.8061224489795918,0.8876404494382022,0.6590389016018307,0.6233766233766234,0.6990291262135923,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6029411764705882,0.6180904522613065,0.5885167464114832,0.9213226909920182,0.9294478527607362,0.9133383571966842,0.7058823529411765,0.6,0.8571428571428571
11,3246,4864,150,2756,4864,655,664.0671124458313,0.7698925137519836,0.997204065322876,150,True,0.8435695538057743,0.7174910626380739,0.8453519678685673,0.24355300859598855,0.35406698564593303,0.5510204081632653,0.574468085106383,0.5294117647058824,0.8102564102564103,0.7452830188679245,0.8876404494382022,0.6813725490196079,0.6881188118811881,0.6747572815533981,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6164383561643836,0.5895196506550219,0.645933014354067,0.9224894998090875,0.934984520123839,0.9103240391861341,0.7741935483870968,0.7058823529411765,0.8571428571428571
