round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1762,6348,1272,1272,6348,1034,233.16984605789185,0.8304217457771301,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,2240,5870,478,1750,5870,826,481.6538712978363,0.6652523279190063,0.9032394289970398,150,True,0.6278215223097113,0.41296780589386733,0.6823935564718241,0.33810888252148996,0.5023923444976076,0.42748091603053434,0.35,0.5490196078431373,0.5568181818181818,0.5632183908045977,0.550561797752809,0.45701357466063347,0.4279661016949153,0.49029126213592233,0.08064516129032258,0.043478260869565216,0.5555555555555556,0.4351464435146444,0.38661710037174724,0.49760765550239233,0.7842450765864333,0.9352818371607515,0.6752072343632253,0.14942528735632185,0.08125,0.9285714285714286
3,2457,5653,217,1967,5653,739,569.2621221542358,0.6106006503105164,0.9451329112052917,150,True,0.7385826771653543,0.5136949807969623,0.7592438721969093,0.34097421203438394,0.507177033492823,0.4426229508196721,0.38028169014084506,0.5294117647058824,0.6590909090909091,0.6666666666666666,0.651685393258427,0.5382932166301969,0.4900398406374502,0.5970873786407767,0.25925925925925924,0.15555555555555556,0.7777777777777778,0.4577777777777778,0.42738589211618255,0.49282296650717705,0.8673921805723499,0.9324090121317158,0.8108515448379804,0.37142857142857144,0.23214285714285715,0.9285714285714286
4,2614,5496,157,2124,5496,684,608.412538766861,0.5674613118171692,0.9714151620864868,150,True,0.7669291338582677,0.6066162277686316,0.781831179402765,0.2664756446991404,0.4019138755980861,0.5043478260869565,0.453125,0.5686274509803921,0.7065217391304348,0.6842105263157895,0.7303370786516854,0.5553047404063205,0.5189873417721519,0.5970873786407767,0.4827586206896552,0.35,0.7777777777777778,0.4970178926441352,0.42517006802721086,0.5980861244019139,0.8813151563753007,0.9417309340188518,0.8281838733986435,0.6190476190476191,0.4642857142857143,0.9285714285714286
5,2777,5333,163,2287,5333,639,636.6284184455872,0.5261064767837524,0.9884256720542908,150,True,0.7889763779527559,0.6425934932470189,0.8013075119112026,0.23209169054441262,0.37799043062200954,0.5714285714285714,0.5245901639344263,0.6274509803921569,0.7156862745098039,0.6347826086956522,0.8202247191011236,0.6456310679611651,0.6456310679611651,0.6456310679611651,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.52,0.44673539518900346,0.6220095693779905,0.8883572567783095,0.9432684165961049,0.8394875659382065,0.5416666666666666,0.38235294117647056,0.9285714285714286
6,2937,5173,160,2447,5173,585,682.8979649543762,0.49790966510772705,0.992477297782898,150,True,0.8178477690288714,0.6724619961504256,0.8250014159313622,0.25787965616045844,0.37799043062200954,0.5742574257425742,0.58,0.5686274509803921,0.8021978021978022,0.7849462365591398,0.8202247191011236,0.6825775656324582,0.6713615023474179,0.6941747572815534,0.5517241379310345,0.4,0.8888888888888888,0.5555555555555556,0.5019305019305019,0.6220095693779905,0.9045578496299181,0.9362903225806452,0.8749058025621703,0.6363636363636364,0.4666666666666667,1.0
7,3124,4986,187,2634,4986,525,720.7734417915344,0.44196617603302,0.9964286088943481,150,True,0.8346456692913385,0.7034582062143224,0.8391315282911637,0.2521489971346705,0.37799043062200954,0.5607476635514018,0.5357142857142857,0.5882352941176471,0.8021978021978022,0.7849462365591398,0.8202247191011236,0.69377990430622,0.6839622641509434,0.7038834951456311,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.5829596412556054,0.5485232067510548,0.6220095693779905,0.9178557655225608,0.9399684044233807,0.8967596081386586,0.7,0.5384615384615384,1.0
8,3282,4828,158,2792,4828,495,754.809407711029,0.4118702709674835,0.998284101486206,150,True,0.841994750656168,0.7184228916538687,0.8457010916499451,0.24641833810888253,0.3397129186602871,0.5625,0.6,0.5294117647058824,0.8287292817679558,0.8152173913043478,0.8426966292134831,0.6935866983372921,0.6790697674418604,0.7087378640776699,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6079295154185022,0.563265306122449,0.6602870813397129,0.9208301306687163,0.9396078431372549,0.9027882441597589,0.8,0.75,0.8571428571428571
9,3434,4676,152,2944,4676,455,781.8577661514282,0.35246139764785767,0.9993757009506226,150,True,0.8530183727034121,0.7290251915985315,0.854767695199651,0.2693409742120344,0.37320574162679426,0.6060606060606061,0.625,0.5882352941176471,0.8379888268156425,0.8333333333333334,0.8426966292134831,0.7183098591549296,0.6954545454545454,0.7427184466019418,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.6193853427895981,0.6121495327102804,0.6267942583732058,0.9258273107645493,0.934715821812596,0.9171062547098718,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,3590,4520,156,3100,4520,420,807.9368126392365,0.32561400532722473,0.9996535778045654,150,True,0.8498687664041995,0.7206708884859496,0.8525050200441949,0.27793696275071633,0.3684210526315789,0.5833333333333334,0.6222222222222222,0.5490196078431373,0.8439306358381503,0.8690476190476191,0.8202247191011236,0.7020785219399538,0.6696035242290749,0.7378640776699029,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.6111111111111112,0.5919282511210763,0.631578947368421,0.9270714012982054,0.9396284829721362,0.9148455162019593,0.8387096774193549,0.7647058823529411,0.9285714285714286
11,3745,4365,155,3255,4365,392,872.0181214809418,0.29414084553718567,0.9998551607131958,150,True,0.8530183727034121,0.7357304012492137,0.8563571814025683,0.23782234957020057,0.3157894736842105,0.6105263157894737,0.6590909090909091,0.5686274509803921,0.8333333333333334,0.8241758241758241,0.8426966292134831,0.7281323877068558,0.7096774193548387,0.7475728155339806,0.5833333333333334,0.4666666666666667,0.7777777777777778,0.6313465783664459,0.5860655737704918,0.6842105263157895,0.9247311827956989,0.9428347689898199,0.9073097211755841,0.8387096774193549,0.7647058823529411,0.9285714285714286
12,3903,4207,158,3413,4207,336,898.9678399562836,0.22461391985416412,0.9998159408569336,150,True,0.8572178477690289,0.7289165543232484,0.8571721832189201,0.2979942693409742,0.3827751196172249,0.6067415730337079,0.7105263157894737,0.5294117647058824,0.8409090909090909,0.8505747126436781,0.8314606741573034,0.702576112412178,0.6787330316742082,0.7281553398058253,0.6086956521739131,0.5,0.7777777777777778,0.6246973365617433,0.6323529411764706,0.6172248803827751,0.9309173272933182,0.93267776096823,0.9291635267520724,0.7878787878787878,0.6842105263157895,0.9285714285714286
13,4056,4054,153,3566,4054,305,949.5216014385223,0.20151810348033905,0.9999369382858276,150,True,0.8619422572178478,0.7677536785656478,0.8634056644648757,0.23782234957020057,0.3253588516746411,0.625,0.6666666666666666,0.5882352941176471,0.8571428571428571,0.8387096774193549,0.8764044943820225,0.7156398104265402,0.6990740740740741,0.7330097087378641,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.651270207852194,0.6294642857142857,0.6746411483253588,0.9299847792998478,0.9392774788624135,0.9208741522230596,0.9285714285714286,0.9285714285714286,0.9285714285714286
14,4220,3890,164,3730,3890,262,997.516773223877,0.14820629358291626,0.9999555349349976,150,True,0.8624671916010499,0.7540201721095665,0.8636894631851934,0.24068767908309455,0.3062200956937799,0.5934065934065934,0.675,0.5294117647058824,0.8470588235294118,0.8888888888888888,0.8089887640449438,0.705607476635514,0.6801801801801802,0.7330097087378641,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6415929203539823,0.69377990430622,0.932068311195446,0.9388379204892966,0.9253956292388847,0.8666666666666667,0.8125,0.9285714285714286
15,4373,3737,153,3883,3737,230,1001.2603676319122,0.11949875205755234,0.9999549984931946,150,True,0.8719160104986876,0.7707543992537548,0.8720448008979478,0.24068767908309455,0.3253588516746411,0.6067415730337079,0.7105263157894737,0.5294117647058824,0.8666666666666667,0.8571428571428571,0.8764044943820225,0.7534883720930232,0.7232142857142857,0.7864077669902912,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6714285714285714,0.6682464454976303,0.6746411483253588,0.933737220749716,0.9383561643835616,0.9291635267520724,0.896551724137931,0.8666666666666667,0.9285714285714286
