round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1416,6694,926,926,6694,1252,205.51539492607117,0.8304217457771301,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,1852,6258,436,1362,6258,1145,367.19061183929443,0.6718239188194275,0.8663628697395325,150,True,0.5979002624671916,0.3731823714946686,0.6559295528833816,0.27793696275071633,0.5502392344497608,0.3300970873786408,0.21935483870967742,0.6666666666666666,0.4607329842931937,0.43137254901960786,0.4943820224719101,0.4029126213592233,0.4029126213592233,0.4029126213592233,0.0975609756097561,0.05263157894736842,0.6666666666666666,0.40085287846481876,0.36153846153846153,0.44976076555023925,0.7701200533570476,0.9392624728850325,0.6525998492840994,0.15,0.0821917808219178,0.8571428571428571
3,2020,6090,168,1530,6090,1095,445.9186897277832,0.6265029311180115,0.8702935576438904,150,True,0.694488188976378,0.4707667971955996,0.7269605639234068,0.28939828080229224,0.5358851674641149,0.4,0.29357798165137616,0.6274509803921569,0.6344086021505376,0.6082474226804123,0.6629213483146067,0.49673202614379086,0.4505928853754941,0.5533980582524272,0.2222222222222222,0.12962962962962962,0.7777777777777778,0.4217391304347826,0.38645418326693226,0.46411483253588515,0.8376569037656904,0.9416745061147695,0.7543330821401658,0.2826086956521739,0.16666666666666666,0.9285714285714286
4,2183,5927,163,1693,5927,1045,474.01934719085693,0.5793462991714478,0.879040002822876,150,True,0.7280839895013124,0.5253880188483622,0.7511195979345588,0.27793696275071633,0.4784688995215311,0.47761194029850745,0.3855421686746988,0.6274509803921569,0.6528497409326425,0.6057692307692307,0.7078651685393258,0.5304347826086957,0.48031496062992124,0.5922330097087378,0.3684210526315789,0.2413793103448276,0.7777777777777778,0.45416666666666666,0.4022140221402214,0.5215311004784688,0.8562037797863599,0.941282746160795,0.7852298417483045,0.3380281690140845,0.21052631578947367,0.8571428571428571
5,2336,5774,153,1846,5774,990,508.57003021240234,0.5481797456741333,0.9276613593101501,150,True,0.7674540682414698,0.5729026198905337,0.7839026020250401,0.2636103151862464,0.3923444976076555,0.49557522123893805,0.45161290322580644,0.5490196078431373,0.7150259067357513,0.6634615384615384,0.7752808988764045,0.5679611650485437,0.5679611650485437,0.5679611650485437,0.47058823529411764,0.32,0.8888888888888888,0.5090180360721442,0.4379310344827586,0.6076555023923444,0.8829190056134724,0.9434447300771208,0.8296910324039186,0.36923076923076925,0.23529411764705882,0.8571428571428571
6,2495,5615,159,2005,5615,934,530.3356199264526,0.510346531867981,0.9629181027412415,150,True,0.7952755905511811,0.6374587889944109,0.8060703944681652,0.24068767908309455,0.37799043062200954,0.5309734513274337,0.4838709677419355,0.5882352941176471,0.7342995169082126,0.6440677966101694,0.8539325842696629,0.6238095238095238,0.6121495327102804,0.6359223300970874,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.5427974947807933,0.48148148148148145,0.6220095693779905,0.8951548848292296,0.9462636439966414,0.8492840994724944,0.6190476190476191,0.4642857142857143,0.9285714285714286
7,2739,5371,244,2249,5371,852,551.490828037262,0.4477294385433197,0.9711263179779053,150,True,0.8178477690288714,0.6448852961975057,0.8235913727454678,0.2664756446991404,0.39712918660287083,0.5420560747663551,0.5178571428571429,0.5686274509803921,0.7604166666666666,0.7087378640776699,0.8202247191011236,0.655,0.6752577319587629,0.6359223300970874,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.5650224215246636,0.5316455696202531,0.6028708133971292,0.910355486862442,0.9341792228390167,0.8877166541070083,0.5652173913043478,0.40625,0.9285714285714286
8,2913,5197,174,2423,5197,792,599.0901761054993,0.42622649669647217,0.9788074493408203,150,True,0.8341207349081364,0.6959293185011467,0.8380400869923074,0.2492836676217765,0.3684210526315789,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.776595744680851,0.7373737373737373,0.8202247191011236,0.6746987951807228,0.6698564593301436,0.6796116504854369,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5892857142857143,0.5523012552301255,0.631578947368421,0.9196462898885044,0.9387755102040817,0.9012810851544838,0.7741935483870968,0.7058823529411765,0.8571428571428571
9,3077,5033,164,2587,5033,730,633.1689167022705,0.3823162019252777,0.9855265021324158,150,True,0.8456692913385827,0.6926324124725257,0.8435542637578269,0.34097421203438394,0.4880382775119617,0.5858585858585859,0.6041666666666666,0.5686274509803921,0.7872340425531915,0.7474747474747475,0.8314606741573034,0.6899766899766899,0.6636771300448431,0.7184466019417476,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5863013698630137,0.6858974358974359,0.5119617224880383,0.924924924924925,0.9214659685863874,0.9284099472494348,0.7027027027027027,0.5652173913043478,0.9285714285714286
10,3230,4880,153,2740,4880,679,659.8433611392975,0.34639671444892883,0.994283139705658,150,True,0.8535433070866142,0.7173734842114301,0.854464896116315,0.2693409742120344,0.37799043062200954,0.5714285714285714,0.5957446808510638,0.5490196078431373,0.8066298342541437,0.7934782608695652,0.8202247191011236,0.7170731707317073,0.7205882352941176,0.7135922330097088,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.6161137440758294,0.6103286384976526,0.6220095693779905,0.9298976885183782,0.9352134146341463,0.9246420497362472,0.7878787878787878,0.6842105263157895,0.9285714285714286
11,3380,4730,150,2890,4730,648,697.4441769123077,0.3152809739112854,0.9966709613800049,150,True,0.8461942257217848,0.7062331476163333,0.8484619877267885,0.2636103151862464,0.3684210526315789,0.5510204081632653,0.574468085106383,0.5294117647058824,0.8111111111111111,0.8021978021978022,0.8202247191011236,0.6997635933806147,0.6820276497695853,0.7184466019417476,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.6139534883720931,0.5972850678733032,0.631578947368421,0.9251908396946565,0.9373549883990719,0.9133383571966842,0.75,0.6666666666666666,0.8571428571428571
12,3530,4580,150,3040,4580,613,718.6640799045563,0.29413512349128723,0.9989641308784485,150,True,0.8566929133858268,0.7150629488432841,0.8587883927575671,0.23782234957020057,0.32057416267942584,0.5625,0.6,0.5294117647058824,0.8,0.7912087912087912,0.8089887640449438,0.711217183770883,0.6995305164319249,0.7233009708737864,0.56,0.4375,0.7777777777777778,0.6513761467889908,0.6255506607929515,0.6794258373205742,0.9324685234643266,0.9443585780525502,0.9208741522230596,0.7878787878787878,0.6842105263157895,0.9285714285714286
13,3680,4430,150,3190,4430,580,834.9485223293304,0.2521805465221405,0.9992894530296326,150,True,0.8556430446194225,0.7425840649356231,0.8561856566837099,0.2664756446991404,0.3397129186602871,0.5652173913043478,0.6341463414634146,0.5098039215686274,0.7816091954022989,0.8,0.7640449438202247,0.7215496368038741,0.7198067632850241,0.7233009708737864,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6344827586206897,0.6106194690265486,0.6602870813397129,0.9292470677260689,0.9331306990881459,0.9253956292388847,0.8387096774193549,0.7647058823529411,0.9285714285714286
