round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1381,6729,891,891,6729,1256,213.58227586746216,0.9957404136657715,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,1931,6179,550,1441,6179,1099,361.6367292404175,0.9595550894737244,0.8473047018051147,150,True,0.6178477690288714,0.38205192846429004,0.669901752366237,0.3037249283667622,0.5502392344497608,0.35051546391752575,0.23776223776223776,0.6666666666666666,0.4777777777777778,0.4725274725274725,0.48314606741573035,0.38613861386138615,0.3939393939393939,0.3786407766990291,0.08695652173913043,0.04716981132075472,0.5555555555555556,0.38445807770961143,0.3357142857142857,0.44976076555023925,0.7930283224400871,0.9400826446280992,0.6857573474001507,0.19548872180451127,0.1092436974789916,0.9285714285714286
3,2237,5873,306,1747,5873,1028,445.4750192165375,0.9476405382156372,0.9041062593460083,150,True,0.7039370078740157,0.49442987254690285,0.734304842512109,0.23782234957020057,0.47368421052631576,0.3875,0.28440366972477066,0.6078431372549019,0.6190476190476191,0.5371900826446281,0.7303370786516854,0.4945770065075922,0.4470588235294118,0.5533980582524272,0.20408163265306123,0.125,0.5555555555555556,0.43737574552683894,0.3741496598639456,0.5263157894736842,0.845699831365936,0.9598086124401913,0.7558402411454408,0.4727272727272727,0.3170731707317073,0.9285714285714286
4,2519,5591,282,2029,5591,951,496.2121901512146,0.9250264167785645,0.913098156452179,150,True,0.74750656167979,0.5616210712398896,0.7659564394543198,0.30659025787965616,0.5358851674641149,0.45588235294117646,0.36470588235294116,0.6078431372549019,0.6938775510204082,0.6355140186915887,0.7640449438202247,0.547244094488189,0.4602649006622517,0.6747572815533981,0.34146341463414637,0.21875,0.7777777777777778,0.45011600928074247,0.4369369369369369,0.46411483253588515,0.8713355048859935,0.9477413640389726,0.8063300678221552,0.5714285714285714,0.42857142857142855,0.8571428571428571
5,2755,5355,236,2265,5355,890,547.7843170166016,0.894331693649292,0.9349344372749329,150,True,0.7879265091863517,0.6284096500015426,0.799946046357213,0.27507163323782235,0.44019138755980863,0.5471698113207547,0.5272727272727272,0.5686274509803921,0.7439613526570048,0.652542372881356,0.8651685393258427,0.6033755274261603,0.5335820895522388,0.6941747572815534,0.45714285714285713,0.3076923076923077,0.8888888888888888,0.5211581291759465,0.4875,0.5598086124401914,0.8919135308246597,0.9513236549957301,0.8394875659382065,0.6341463414634146,0.48148148148148145,0.9285714285714286
6,2934,5176,179,2444,5176,840,593.5616674423218,0.87124103307724,0.9572883248329163,150,True,0.8068241469816273,0.6521501402964739,0.8152417177783535,0.28939828080229224,0.42105263157894735,0.5454545454545454,0.5625,0.5294117647058824,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.6359832635983264,0.5588235294117647,0.7378640776699029,0.5517241379310345,0.4,0.8888888888888888,0.558891454965358,0.5401785714285714,0.5789473684210527,0.8994082840236687,0.9437086092715232,0.8590806330067822,0.5777777777777777,0.41935483870967744,0.9285714285714286
7,3161,4949,227,2671,4949,759,616.8902070522308,0.7755934596061707,0.9663162231445312,150,True,0.8230971128608924,0.6693148454917044,0.8273645743880781,0.29512893982808025,0.4688995215311005,0.52,0.5306122448979592,0.5098039215686274,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.6710239651416122,0.6086956521739131,0.7475728155339806,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.5401459854014599,0.5495049504950495,0.5311004784688995,0.9135993800852383,0.9401913875598086,0.8884702336096458,0.7222222222222222,0.5909090909090909,0.9285714285714286
8,3311,4799,150,2821,4799,714,731.9700238704681,0.7715620398521423,0.9852786064147949,150,True,0.8330708661417323,0.6996048384130624,0.8376177906820128,0.27507163323782235,0.430622009569378,0.6213592233009708,0.6153846153846154,0.6274509803921569,0.78,0.7027027027027027,0.8764044943820225,0.6926406926406926,0.625,0.7766990291262136,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5790754257907542,0.5891089108910891,0.569377990430622,0.9158878504672897,0.9476228847703465,0.8862094951017332,0.7368421052631579,0.5833333333333334,1.0
9,3461,4649,150,2971,4649,668,747.4504644870758,0.7354009747505188,0.9921534657478333,150,True,0.8309711286089239,0.6949814096749635,0.8362781252870657,0.2836676217765043,0.40669856459330145,0.5894736842105263,0.6363636363636364,0.5490196078431373,0.7849462365591398,0.7525773195876289,0.8202247191011236,0.6889352818371608,0.6043956043956044,0.8009708737864077,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.5890736342042755,0.5849056603773585,0.5933014354066986,0.9141295862607338,0.9481781376518219,0.8824415975885456,0.6829268292682927,0.5185185185185185,1.0
10,3611,4499,150,3121,4499,621,818.6796793937683,0.648308277130127,0.9961108565330505,150,True,0.8451443569553806,0.7311843808865143,0.8480535018260038,0.2664756446991404,0.3923444976076555,0.56,0.5714285714285714,0.5490196078431373,0.8306010928961749,0.8085106382978723,0.8539325842696629,0.7142857142857143,0.6611570247933884,0.7766990291262136,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6018957345971564,0.596244131455399,0.6076555023923444,0.9211235090419392,0.9410377358490566,0.9020346646571213,0.875,0.7777777777777778,1.0
