round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1611,6499,1121,1121,6499,1151,1177.289534330368,0.0009161349735222757,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,2285,5825,674,1795,5825,999,1392.3037512302399,0.008761358447372913,0.945792555809021,150,True,0.5679790026246719,0.39761202194238926,0.6304702006925873,0.2492836676217765,0.39712918660287083,0.4,0.2980769230769231,0.6078431372549019,0.4830917874396135,0.423728813559322,0.5617977528089888,0.40987654320987654,0.41708542713567837,0.4029126213592233,0.056179775280898875,0.029585798816568046,0.5555555555555556,0.37894736842105264,0.27631578947368424,0.6028708133971292,0.730188679245283,0.9760403530895334,0.5832705350414469,0.325,0.19696969696969696,0.9285714285714286
3,2588,5522,303,2098,5522,928,1509.1055278778076,0.00961616076529026,0.9683481454849243,150,True,0.6356955380577428,0.4913054637905751,0.6811850606661992,0.22636103151862463,0.3588516746411483,0.48854961832061067,0.4,0.6274509803921569,0.6373626373626373,0.6236559139784946,0.651685393258427,0.4775510204081633,0.4119718309859155,0.5679611650485437,0.16666666666666666,0.09803921568627451,0.5555555555555556,0.3839541547277937,0.2740286298568507,0.6411483253588517,0.7752502274795269,0.9781859931113662,0.6420497362471741,0.5098039215686274,0.35135135135135137,0.9285714285714286
4,2854,5256,266,2364,5256,850,1560.083892583847,0.010706266388297081,0.9712793231010437,150,True,0.6876640419947506,0.5877111399536675,0.7229254470240277,0.2177650429799427,0.32057416267942584,0.5283018867924528,0.509090909090909,0.5490196078431373,0.7222222222222222,0.7142857142857143,0.7303370786516854,0.5514563106796116,0.459546925566343,0.6893203883495146,0.4,0.2692307692307692,0.7777777777777778,0.42199108469539376,0.30603448275862066,0.6794258373205742,0.8070796460176991,0.977491961414791,0.6872645064054258,0.6829268292682927,0.5185185185185185,1.0
5,3214,4896,360,2724,4896,739,1614.5603966712952,0.01267335470765829,0.9861681461334229,150,True,0.715485564304462,0.6205061155187809,0.7456652643472167,0.18624641833810887,0.27751196172248804,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.7700534759358288,0.7346938775510204,0.8089887640449438,0.582995951417004,0.5,0.6990291262135923,0.48,0.375,0.6666666666666666,0.4555052790346908,0.33259911894273125,0.722488038277512,0.82557633753806,0.9763374485596708,0.7151469480030144,0.7,0.5384615384615384,1.0
6,3467,4643,253,2977,4643,662,1680.71844124794,0.014177639968693256,0.9944350719451904,150,True,0.742257217847769,0.6357453725946749,0.7665922440810435,0.16905444126074498,0.24880382775119617,0.5263157894736842,0.47619047619047616,0.5882352941176471,0.7368421052631579,0.693069306930693,0.7865168539325843,0.6112266112266113,0.5345454545454545,0.7135922330097088,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.5080906148867314,0.38386308068459657,0.7511961722488039,0.8450704225352113,0.9744094488188977,0.746043707611153,0.6842105263157895,0.5416666666666666,0.9285714285714286
7,3734,4376,267,3244,4376,572,1540.6597192287445,0.014766818843781948,0.9935646653175354,150,True,0.7826771653543307,0.6737184890814983,0.7989907063486142,0.2034383954154728,0.28708133971291866,0.5346534653465347,0.54,0.5294117647058824,0.7755102040816326,0.7102803738317757,0.8539325842696629,0.6548672566371682,0.6016260162601627,0.7184466019417476,0.64,0.5,0.8888888888888888,0.5340501792114696,0.4269340974212034,0.7129186602870813,0.8769483182936834,0.9621962196219622,0.8055764883195177,0.7,0.5384615384615384,1.0
8,3919,4191,185,3429,4191,525,1571.434194803238,0.014789773151278496,0.9972066879272461,150,True,0.8041994750656168,0.7108931902945678,0.8191431387403793,0.18911174785100288,0.2631578947368421,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.8651685393258427,0.8651685393258427,0.8651685393258427,0.6799116997792495,0.6234817813765182,0.7475728155339806,0.7,0.6363636363636364,0.7777777777777778,0.5519713261648745,0.44126074498567336,0.7368421052631579,0.8913219789132197,0.9648814749780509,0.8281838733986435,0.7222222222222222,0.5909090909090909,0.9285714285714286
9,4144,3966,225,3654,3966,454,1608.9249897003174,0.015256047248840332,0.9980568885803223,150,True,0.8225721784776903,0.7336517870174655,0.8330561005557806,0.19197707736389685,0.2727272727272727,0.5858585858585859,0.6041666666666666,0.5686274509803921,0.8444444444444444,0.8351648351648352,0.8539325842696629,0.6942528735632184,0.6593886462882096,0.7330097087378641,0.8,0.7272727272727273,0.8888888888888888,0.579047619047619,0.4810126582278481,0.7272727272727273,0.9046862589356632,0.9563392107472712,0.8583270535041447,0.7272727272727273,0.631578947368421,0.8571428571428571
10,4333,3777,189,3843,3777,400,1650.4046657085419,0.016018129885196686,0.9990888237953186,150,True,0.8257217847769028,0.723226121976664,0.8349845244002905,0.22063037249283668,0.3157894736842105,0.58,0.5918367346938775,0.5686274509803921,0.8554913294797688,0.8809523809523809,0.8314606741573034,0.7043478260869566,0.6377952755905512,0.7864077669902912,0.7,0.6363636363636364,0.7777777777777778,0.5801217038539553,0.5035211267605634,0.6842105263157895,0.9057798891528107,0.9541284403669725,0.8620949510173324,0.7368421052631579,0.5833333333333334,1.0
