round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1265,6845,775,775,6845,1369,1158.7831313610077,0.0009161349735222757,0.8519458770751953,150,True,0.2530183727034121,0.159064827415595,0.33486306457059656,0.2349570200573066,0.7990430622009569,0.18306636155606407,0.10362694300518134,0.7843137254901961,0.21348314606741572,0.21348314606741572,0.21348314606741572,0.0,0.0,0.0,0.03571428571428571,0.018867924528301886,0.3333333333333333,0.22105263157894736,0.24561403508771928,0.20095693779904306,0.42392566782810687,0.9240506329113924,0.2750565184626978,0.036211699164345405,0.018465909090909092,0.9285714285714286
2,1551,6559,286,1061,6559,1330,1309.1030614376068,0.009619554504752159,0.9413461685180664,150,True,0.49501312335958003,0.35264457929651855,0.5613295943832664,0.17765042979942694,0.430622009569378,0.3035019455252918,0.18932038834951456,0.7647058823529411,0.4577114427860697,0.4107142857142857,0.5168539325842697,0.30117647058823527,0.2922374429223744,0.3106796116504854,0.06936416184971098,0.036585365853658534,0.6666666666666666,0.35,0.2526539278131635,0.569377990430622,0.6576441102756893,0.9820359281437125,0.49434815373021856,0.3291139240506329,0.2,0.9285714285714286
3,1933,6177,382,1443,6177,1245,1361.6536843776703,0.011065970174968243,0.9290109276771545,150,True,0.5721784776902887,0.42089084020124373,0.6276776994046431,0.24068767908309455,0.49760765550239233,0.384180790960452,0.2698412698412698,0.6666666666666666,0.5592417061611374,0.48360655737704916,0.6629213483146067,0.4007421150278293,0.32432432432432434,0.5242718446601942,0.10909090909090909,0.0594059405940594,0.6666666666666666,0.3448275862068966,0.2625,0.5023923444976076,0.7271001423825344,0.982051282051282,0.5772418990203466,0.42105263157894735,0.27906976744186046,0.8571428571428571
4,2250,5860,317,1760,5860,1146,1427.3848626613617,0.012122152373194695,0.945443868637085,150,True,0.6272965879265092,0.5049855369700725,0.6716658607725936,0.20916905444126074,0.3827751196172249,0.4925373134328358,0.39759036144578314,0.6470588235294118,0.63,0.5675675675675675,0.7078651685393258,0.4423076923076923,0.3662420382165605,0.558252427184466,0.2608695652173913,0.16216216216216217,0.6666666666666666,0.37664233576642336,0.2710084033613445,0.6172248803827751,0.7673244607618174,0.9812206572769953,0.6299924642049737,0.5652173913043478,0.40625,0.9285714285714286
5,2585,5525,335,2095,5525,1063,1494.3944363594055,0.01341688446700573,0.9574841260910034,150,True,0.684514435695538,0.5754000861332529,0.7192144960060607,0.22063037249283668,0.36363636363636365,0.5116279069767442,0.4230769230769231,0.6470588235294118,0.7150837988826816,0.7111111111111111,0.7191011235955056,0.4793713163064833,0.40264026402640263,0.5922330097087378,0.34285714285714286,0.23076923076923078,0.6666666666666666,0.4222222222222222,0.3159144893111639,0.6363636363636364,0.8137810728303533,0.9658385093167702,0.7030896759608138,0.7428571428571429,0.6190476190476191,0.9285714285714286
6,2892,5218,307,2402,5218,978,1573.2640845775604,0.014609279111027718,0.9685878753662109,150,True,0.7207349081364829,0.615438246128259,0.7488640783537547,0.19484240687679083,0.33014354066985646,0.5263157894736842,0.47619047619047616,0.5882352941176471,0.7319587628865979,0.6761904761904762,0.797752808988764,0.5483870967741935,0.4689655172413793,0.6601941747572816,0.4827586206896552,0.35,0.7777777777777778,0.45901639344262296,0.3491271820448878,0.6698564593301436,0.8374088374088374,0.9721115537848606,0.7354935945742276,0.7222222222222222,0.5909090909090909,0.9285714285714286
7,3114,4996,222,2624,4996,922,1611.3145282268524,0.01605365425348282,0.9773311018943787,150,True,0.7312335958005249,0.653178782161123,0.7574303575097847,0.1977077363896848,0.31100478468899523,0.5818181818181818,0.5423728813559322,0.6274509803921569,0.7291666666666666,0.6796116504854369,0.7865168539325843,0.590818363273453,0.5016949152542373,0.7184466019417476,0.64,0.5,0.8888888888888888,0.4698205546492659,0.3564356435643564,0.6889952153110048,0.8384054864980711,0.9721669980119284,0.7370007535795027,0.7222222222222222,0.5909090909090909,0.9285714285714286
8,3440,4670,326,2950,4670,800,1666.0370106697083,0.016442079097032547,0.9865462779998779,150,True,0.7968503937007874,0.6929327321727307,0.8104978813097916,0.2177650429799427,0.3349282296650718,0.5252525252525253,0.5416666666666666,0.5098039215686274,0.7959183673469388,0.7289719626168224,0.8764044943820225,0.6711111111111111,0.6188524590163934,0.7330097087378641,0.72,0.5625,1.0,0.5255198487712666,0.434375,0.6650717703349283,0.8905050505050505,0.9599303135888502,0.8304446119065562,0.7222222222222222,0.5909090909090909,0.9285714285714286
9,3614,4496,174,3124,4496,740,1738.0426497459412,0.016433721408247948,0.9871863126754761,150,True,0.8020997375328084,0.6881027024264107,0.8148125653511816,0.23209169054441262,0.33014354066985646,0.48936170212765956,0.5348837209302325,0.45098039215686275,0.8,0.7708333333333334,0.8314606741573034,0.6696428571428571,0.6198347107438017,0.7281553398058253,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5303030303030303,0.438871473354232,0.6698564593301436,0.8974358974358975,0.9580838323353293,0.8440090429540317,0.7027027027027027,0.5652173913043478,0.9285714285714286
10,3802,4308,188,3312,4308,684,1774.1457123756409,0.017239516600966454,0.9941151738166809,150,True,0.8162729658792651,0.7118983250533724,0.8259670901234663,0.21203438395415472,0.32057416267942584,0.5054945054945055,0.575,0.45098039215686275,0.8223350253807107,0.75,0.9101123595505618,0.6912442396313364,0.6578947368421053,0.7281553398058253,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.5525291828793775,0.46557377049180326,0.6794258373205742,0.9035331480746328,0.9546979865771812,0.8575734740015072,0.8125,0.7222222222222222,0.9285714285714286
