round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1300,6810,810,810,6810,1229,266.2181487083435,1.8849701881408691,0.9551402926445007,150,True,42,badge,810,0.5364829396325459,0.32182039024392656,0.5970923930854143,0.25787965616045844,0.5645933014354066,0.3404255319148936,0.23357664233576642,0.6274509803921569,0.3925233644859813,0.27155172413793105,0.7078651685393258,0.11857707509881422,0.3191489361702128,0.07281553398058252,0.04745762711864407,0.024475524475524476,0.7777777777777778,0.3775933609958506,0.3333333333333333,0.4354066985645933,0.7370353373106929,0.9424882629107981,0.6051243406179352,0.2391304347826087,0.14102564102564102,0.7857142857142857
2,1884,6226,584,1394,6226,1061,386.3081765174866,1.109023928642273,0.9825785160064697,150,True,42,badge,584,0.7412073490813649,0.5410078141358315,0.7638966316544511,0.27507163323782235,0.47368421052631576,0.47540983606557374,0.4084507042253521,0.5686274509803921,0.6126126126126126,0.5112781954887218,0.7640449438202247,0.5490196078431373,0.4605263157894737,0.6796116504854369,0.23076923076923078,0.13953488372093023,0.6666666666666666,0.4943820224719101,0.4661016949152542,0.5263157894736842,0.8667218543046358,0.9614325068870524,0.7889977392614921,0.5581395348837209,0.41379310344827586,0.8571428571428571
3,2285,5825,401,1795,5825,941,476.2072534561157,0.898717999458313,0.9942589998245239,150,True,42,badge,401,0.8120734908136483,0.6652890849624391,0.8172533659991942,0.2922636103151863,0.45933014354066987,0.4752475247524752,0.48,0.47058823529411764,0.7019230769230769,0.6134453781512605,0.8202247191011236,0.6495726495726496,0.5801526717557252,0.7378640776699029,0.6428571428571429,0.47368421052631576,1.0,0.5580246913580247,0.576530612244898,0.5406698564593302,0.907176287051482,0.9401778496362166,0.8764129615674454,0.7222222222222222,0.5909090909090909,0.9285714285714286
4,2813,5297,528,2323,5297,783,540.899537563324,0.6996040940284729,0.9989156126976013,150,True,42,badge,528,0.8309711286089239,0.6973644209233015,0.8325783121806464,0.3008595988538682,0.46411483253588515,0.5742574257425742,0.58,0.5686274509803921,0.7323943661971831,0.6290322580645161,0.8764044943820225,0.6501128668171557,0.6075949367088608,0.6990291262135923,0.6666666666666666,0.5,1.0,0.5803108808290155,0.632768361581921,0.5358851674641149,0.9191880505553428,0.9345794392523364,0.9042954031650339,0.7586206896551724,0.7333333333333333,0.7857142857142857
5,3230,4880,417,2740,4880,668,628.5207266807556,0.576863169670105,0.9993441700935364,150,True,42,badge,417,0.8467191601049868,0.7258518593292637,0.8477516146324814,0.25501432664756446,0.40669856459330145,0.5981308411214953,0.5714285714285714,0.6274509803921569,0.7715736040609137,0.7037037037037037,0.8539325842696629,0.6962616822429907,0.6711711711711712,0.7233009708737864,0.64,0.5,0.8888888888888888,0.6246851385390428,0.6595744680851063,0.5933014354066986,0.9227255424438523,0.9323076923076923,0.9133383571966842,0.8275862068965517,0.8,0.8571428571428571
6,3595,4515,365,3105,4515,569,696.1348793506622,0.38070788979530334,0.9997968673706055,150,True,42,badge,365,0.8572178477690289,0.7331194132533981,0.8571664706919618,0.2636103151862464,0.36363636363636365,0.5869565217391305,0.6585365853658537,0.5294117647058824,0.7604166666666666,0.7087378640776699,0.8202247191011236,0.7220902612826603,0.7069767441860465,0.7378640776699029,0.64,0.5,0.8888888888888888,0.6551724137931034,0.6751269035532995,0.6363636363636364,0.9284903518728718,0.932370820668693,0.9246420497362472,0.8387096774193549,0.7647058823529411,0.9285714285714286
7,3867,4243,272,3377,4243,484,754.1339204311371,0.27379998564720154,0.9998230934143066,150,True,42,badge,272,0.8671916010498688,0.7367147002347982,0.8669749073548869,0.24355300859598855,0.3349282296650718,0.6,0.6923076923076923,0.5294117647058824,0.7604166666666666,0.7087378640776699,0.8202247191011236,0.7115384615384616,0.7047619047619048,0.7184466019417476,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6780487804878049,0.6915422885572139,0.6650717703349283,0.9403323262839879,0.9424678274034822,0.9382064807837227,0.8,0.75,0.8571428571428571
8,4076,4034,209,3586,4034,425,793.0402095317841,0.14807380735874176,0.999932587146759,150,True,42,badge,209,0.8740157480314961,0.7773392240155911,0.874112485321535,0.22349570200573066,0.3349282296650718,0.631578947368421,0.6818181818181818,0.5882352941176471,0.8167539267015707,0.7647058823529411,0.8764044943820225,0.7341176470588235,0.7123287671232876,0.7572815533980582,0.8,0.7272727272727273,0.8888888888888888,0.6797066014669927,0.695,0.6650717703349283,0.940507768093975,0.9458841463414634,0.9351921627731725,0.8387096774193549,0.7647058823529411,0.9285714285714286
9,4245,3865,169,3755,3865,387,832.546181678772,0.10937187075614929,0.9999761581420898,150,True,42,badge,169,0.8724409448818897,0.7749576317619198,0.8718899849262287,0.23782234957020057,0.3349282296650718,0.6521739130434783,0.7317073170731707,0.5882352941176471,0.78125,0.7281553398058253,0.8426966292134831,0.7255369928400954,0.7136150234741784,0.7378640776699029,0.8,0.7272727272727273,0.8888888888888888,0.6881188118811881,0.7128205128205128,0.6650717703349283,0.9389140271493213,0.939622641509434,0.9382064807837227,0.8387096774193549,0.7647058823529411,0.9285714285714286
10,4400,3710,155,3910,3710,350,855.3868143558502,0.09331584721803665,0.9999814033508301,150,True,42,badge,155,0.8829396325459318,0.7749547545260123,0.8820300318738539,0.24355300859598855,0.3444976076555024,0.7128712871287128,0.72,0.7058823529411765,0.8241758241758241,0.8064516129032258,0.8426966292134831,0.754257907542579,0.7560975609756098,0.7524271844660194,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6867167919799498,0.7210526315789474,0.6555023923444976,0.9451951951951952,0.9416604338070307,0.948756593820648,0.7741935483870968,0.7058823529411765,0.8571428571428571
