round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1300,6810,810,810,6810,1256,313.2343487739563,1.8849701881408691,0.9551402926445007,150,True,42,clue,810,0.5364829396325459,0.32182039024392656,0.5970923930854143,0.25787965616045844,0.5645933014354066,0.3404255319148936,0.23357664233576642,0.6274509803921569,0.3925233644859813,0.27155172413793105,0.7078651685393258,0.11857707509881422,0.3191489361702128,0.07281553398058252,0.04745762711864407,0.024475524475524476,0.7777777777777778,0.3775933609958506,0.3333333333333333,0.4354066985645933,0.7370353373106929,0.9424882629107981,0.6051243406179352,0.2391304347826087,0.14102564102564102,0.7857142857142857
2,1884,6226,584,1394,6226,1092,452.0824921131134,1.1286084651947021,0.9908261299133301,150,True,42,clue,584,0.7228346456692913,0.5405532057593809,0.7504371066661333,0.2922636103151863,0.5023923444976076,0.44755244755244755,0.34782608695652173,0.6274509803921569,0.6764705882352942,0.6,0.7752808988764045,0.48807339449541287,0.39233038348082594,0.6456310679611651,0.22535211267605634,0.12903225806451613,0.8888888888888888,0.5036319612590799,0.5098039215686274,0.49760765550239233,0.8518828451882845,0.9576669802445907,0.7671439336850038,0.5909090909090909,0.43333333333333335,0.9285714285714286
3,2285,5825,401,1795,5825,961,552.6774468421936,0.7779510617256165,0.9956274628639221,150,True,42,clue,401,0.8131233595800524,0.6816994148915357,0.8207843750379942,0.2636103151862464,0.4258373205741627,0.5454545454545454,0.5084745762711864,0.5882352941176471,0.7549019607843137,0.6695652173913044,0.8651685393258427,0.6137787056367432,0.5384615384615384,0.7135922330097088,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5783132530120482,0.5825242718446602,0.5741626794258373,0.9080188679245284,0.9490550534100246,0.8703843255463452,0.8,0.75,0.8571428571428571
4,2813,5297,528,2323,5297,801,634.4878721237183,0.6901294589042664,0.9985973238945007,150,True,42,clue,528,0.8362204724409449,0.7454994290104043,0.8396517478440935,0.2836676217765043,0.44976076555023925,0.6060606060606061,0.625,0.5882352941176471,0.7942583732057417,0.6916666666666667,0.9325842696629213,0.6680584551148225,0.5860805860805861,0.7766990291262136,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5808080808080808,0.6149732620320856,0.5502392344497608,0.9189608375339279,0.9464856230031949,0.892991710625471,0.9230769230769231,1.0,0.8571428571428571
5,3230,4880,417,2740,4880,690,724.9894325733185,0.5488281846046448,0.9992324709892273,150,True,42,clue,417,0.8440944881889764,0.7434714500941195,0.8477358524341299,0.2836676217765043,0.3923444976076555,0.5981308411214953,0.5714285714285714,0.6274509803921569,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.6681127982646421,0.6039215686274509,0.7475728155339806,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6180048661800487,0.6287128712871287,0.6076555023923444,0.9268104776579353,0.9479905437352246,0.9065561416729465,0.8571428571428571,0.8571428571428571,0.8571428571428571
6,3595,4515,365,3105,4515,587,799.1975190639496,0.4761374890804291,0.9997774958610535,150,True,42,clue,365,0.8551181102362204,0.7401028485808139,0.8578300273400283,0.2664756446991404,0.37799043062200954,0.64,0.6530612244897959,0.6274509803921569,0.7956989247311828,0.7628865979381443,0.8314606741573034,0.7,0.6338582677165354,0.7815533980582524,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6419753086419753,0.6632653061224489,0.6220095693779905,0.9305182341650672,0.9483568075117371,0.9133383571966842,0.8571428571428571,0.8571428571428571,0.8571428571428571
7,3867,4243,272,3377,4243,501,864.9979298114777,0.28413084149360657,0.9999355673789978,150,True,42,clue,272,0.8624671916010499,0.7759845435348921,0.8637768596673804,0.22922636103151864,0.3397129186602871,0.6296296296296297,0.5964912280701754,0.6666666666666666,0.8,0.7524752475247525,0.8539325842696629,0.711217183770883,0.6995305164319249,0.7233009708737864,0.8,0.7272727272727273,0.8888888888888888,0.6618705035971223,0.6634615384615384,0.6602870813397129,0.9326227636086791,0.9423076923076923,0.9231348907309721,0.896551724137931,0.8666666666666667,0.9285714285714286
8,4076,4034,209,3586,4034,450,897.7181231975555,0.16983963549137115,0.9999728202819824,150,True,42,clue,209,0.8750656167979003,0.7822029453305165,0.8754259858595815,0.24068767908309455,0.32057416267942584,0.6666666666666666,0.6875,0.6470588235294118,0.8379888268156425,0.8333333333333334,0.8426966292134831,0.7136150234741784,0.6909090909090909,0.7378640776699029,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6926829268292682,0.7064676616915423,0.6794258373205742,0.9406427221172022,0.9438543247344461,0.9374529012810852,0.896551724137931,0.8666666666666667,0.9285714285714286
9,4245,3865,169,3755,3865,411,950.3969175815582,0.11230907589197159,0.999978244304657,150,True,42,clue,169,0.8797900262467192,0.7857794278086646,0.8796128534660927,0.22349570200573066,0.3253588516746411,0.6938775510204082,0.723404255319149,0.6666666666666666,0.8290155440414507,0.7692307692307693,0.898876404494382,0.7400468384074942,0.7149321266968326,0.7669902912621359,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7139240506329114,0.7580645161290323,0.6746411483253588,0.9391764261428032,0.9416666666666667,0.9366993217784476,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,4400,3710,155,3910,3710,371,983.0999128818512,0.06513328850269318,0.9999892711639404,150,True,42,clue,155,0.8834645669291339,0.8062488747216855,0.8838828356552605,0.22063037249283668,0.291866028708134,0.693069306930693,0.7,0.6862745098039216,0.8248587570621468,0.8295454545454546,0.8202247191011236,0.7582938388625592,0.7407407407407407,0.7766990291262136,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7081339712918661,0.7081339712918661,0.7081339712918661,0.9429111531190927,0.9461305007587253,0.9397136397889977,0.8275862068965517,0.8,0.8571428571428571
