round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1300,6810,810,810,6810,1228,306.26137018203735,1.8849701881408691,0.9551402926445007,150,True,42,coreset,810,0.5364829396325459,0.32182039024392656,0.5970923930854143,0.25787965616045844,0.5645933014354066,0.3404255319148936,0.23357664233576642,0.6274509803921569,0.3925233644859813,0.27155172413793105,0.7078651685393258,0.11857707509881422,0.3191489361702128,0.07281553398058252,0.04745762711864407,0.024475524475524476,0.7777777777777778,0.3775933609958506,0.3333333333333333,0.4354066985645933,0.7370353373106929,0.9424882629107981,0.6051243406179352,0.2391304347826087,0.14102564102564102,0.7857142857142857
2,1884,6226,584,1394,6226,1074,434.02173233032227,1.300201416015625,0.9794424176216125,150,True,42,coreset,584,0.7611548556430446,0.539695054610328,0.7768941376193805,0.2922636103151863,0.5311004784688995,0.46511627906976744,0.38461538461538464,0.5882352941176471,0.6666666666666666,0.5669291338582677,0.8089887640449438,0.589622641509434,0.573394495412844,0.6067961165048543,0.24615384615384617,0.14285714285714285,0.8888888888888888,0.47804878048780486,0.48756218905472637,0.4688995215311005,0.8794269797055312,0.9317032040472175,0.8327053504144687,0.4528301886792453,0.3076923076923077,0.8571428571428571
3,2285,5825,401,1795,5825,974,537.0404932498932,0.9361331462860107,0.9932780265808105,150,True,42,coreset,401,0.8341207349081364,0.6643051228088563,0.8362434648227941,0.27793696275071633,0.46411483253588515,0.591304347826087,0.53125,0.6666666666666666,0.7487179487179487,0.6886792452830188,0.8202247191011236,0.6666666666666666,0.6454545454545455,0.6893203883495146,0.5,0.34782608695652173,0.8888888888888888,0.5879265091863517,0.6511627906976745,0.5358851674641149,0.9213740458015267,0.9334880123743233,0.9095704596834966,0.6341463414634146,0.48148148148148145,0.9285714285714286
4,2813,5297,528,2323,5297,817,616.6403093338013,0.7362046241760254,0.9987939596176147,150,True,42,coreset,528,0.8398950131233596,0.703405767501706,0.8440688910146267,0.2607449856733524,0.35406698564593303,0.6464646464646465,0.6666666666666666,0.6274509803921569,0.7340425531914894,0.696969696969697,0.7752808988764045,0.6860986547085202,0.6375,0.7427184466019418,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6367924528301887,0.627906976744186,0.645933014354067,0.919629057187017,0.943695479777954,0.8967596081386586,0.6341463414634146,0.48148148148148145,0.9285714285714286
5,3230,4880,417,2740,4880,723,705.3299732208252,0.5776320099830627,0.9991632103919983,150,True,42,coreset,417,0.8545931758530184,0.7593952243537301,0.8571244538176674,0.22636103151862463,0.3253588516746411,0.574468085106383,0.627906976744186,0.5294117647058824,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.6995515695067265,0.65,0.7572815533980582,0.8181818181818182,0.6923076923076923,1.0,0.6588785046728972,0.6438356164383562,0.6746411483253588,0.9281045751633987,0.9474097331240189,0.9095704596834966,0.8387096774193549,0.7647058823529411,0.9285714285714286
6,3595,4515,365,3105,4515,648,779.3013014793396,0.43860509991645813,0.999731719493866,150,True,42,coreset,365,0.8545931758530184,0.7217359402200759,0.8582443578362212,0.2034383954154728,0.31100478468899523,0.5964912280701754,0.5396825396825397,0.6666666666666666,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.7251184834123223,0.7083333333333334,0.7427184466019418,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.676056338028169,0.663594470046083,0.6889952153110048,0.9252120277563608,0.9471191791633781,0.9042954031650339,0.7222222222222222,0.5909090909090909,0.9285714285714286
7,3867,4243,272,3377,4243,592,849.437196969986,0.33562764525413513,0.9999026656150818,150,True,42,coreset,272,0.8724409448818897,0.775836703041703,0.8742590837875927,0.20916905444126074,0.291866028708134,0.6138613861386139,0.62,0.6078431372549019,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.7545454545454545,0.7094017094017094,0.8058252427184466,0.75,0.6,1.0,0.7014218009478673,0.6948356807511737,0.7081339712918661,0.9353728489483748,0.9495341614906833,0.921627731725697,0.8666666666666667,0.8125,0.9285714285714286
8,4076,4034,209,3586,4034,535,905.0088164806366,0.2112186998128891,0.9998311400413513,150,True,42,coreset,209,0.8792650918635171,0.797259434369397,0.8795042205675692,0.24641833810888253,0.3444976076555024,0.6138613861386139,0.62,0.6078431372549019,0.8268156424581006,0.8222222222222222,0.8314606741573034,0.7433628318584071,0.6829268292682927,0.8155339805825242,0.8235294117647058,0.875,0.7777777777777778,0.7025641025641025,0.7569060773480663,0.6555023923444976,0.94211123723042,0.9460486322188449,0.9382064807837227,0.9285714285714286,0.9285714285714286,0.9285714285714286
9,4245,3865,169,3755,3865,498,928.7782180309296,0.15332090854644775,0.999965250492096,150,True,42,coreset,169,0.873490813648294,0.7782845504362124,0.8737877570551659,0.25501432664756446,0.35406698564593303,0.6526315789473685,0.7045454545454546,0.6078431372549019,0.850828729281768,0.8369565217391305,0.8651685393258427,0.7309417040358744,0.6791666666666667,0.7912621359223301,0.8,0.7272727272727273,0.8888888888888888,0.675,0.7068062827225131,0.645933014354067,0.9385898407884761,0.9443173150266971,0.93293142426526,0.8,0.75,0.8571428571428571
10,4400,3710,155,3910,3710,462,960.9817540645599,0.11843598634004593,0.9999557733535767,150,True,42,coreset,155,0.8813648293963254,0.791989786230662,0.8817399915122478,0.2349570200573066,0.3062200956937799,0.6407766990291263,0.6346153846153846,0.6470588235294118,0.8202247191011236,0.8202247191011236,0.8202247191011236,0.7610208816705336,0.7288888888888889,0.7961165048543689,0.8,0.7272727272727273,0.8888888888888888,0.7142857142857143,0.7360406091370558,0.69377990430622,0.9409538228614686,0.9452471482889734,0.9366993217784476,0.8666666666666667,0.8125,0.9285714285714286
