round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,seed,strategy,matched_budget_this_round,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1300,6810,810,810,6810,1295,891.3729333877563,1.8849701881408691,0.9551402926445007,150,True,42,vaal,810,0.5364829396325459,0.32182039024392656,0.5970923930854143,0.25787965616045844,0.5645933014354066,0.3404255319148936,0.23357664233576642,0.6274509803921569,0.3925233644859813,0.27155172413793105,0.7078651685393258,0.11857707509881422,0.3191489361702128,0.07281553398058252,0.04745762711864407,0.024475524475524476,0.7777777777777778,0.3775933609958506,0.3333333333333333,0.4354066985645933,0.7370353373106929,0.9424882629107981,0.6051243406179352,0.2391304347826087,0.14102564102564102,0.7857142857142857
2,1884,6226,584,1394,6226,1179,960.8676211833954,0.8815708756446838,0.9831361770629883,150,True,42,vaal,584,0.637270341207349,0.45132287689237777,0.6822123313697316,0.28939828080229224,0.5023923444976076,0.38323353293413176,0.27586206896551724,0.6274509803921569,0.5486725663716814,0.45255474452554745,0.6966292134831461,0.40924092409240925,0.31,0.6019417475728155,0.1702127659574468,0.09411764705882353,0.8888888888888888,0.48598130841121495,0.4748858447488584,0.49760765550239233,0.782608695652174,0.9657079646017699,0.6578749058025621,0.3793103448275862,0.25,0.7857142857142857
3,2285,5825,401,1795,5825,1108,1026.539782524109,0.7015617489814758,0.9885290861129761,150,True,42,vaal,401,0.726509186351706,0.5131165630830717,0.7513092034882761,0.3467048710601719,0.49760765550239233,0.46551724137931033,0.4153846153846154,0.5294117647058824,0.6060606060606061,0.49295774647887325,0.7865168539325843,0.5294117647058824,0.4112903225806452,0.7427184466019418,0.24,0.14634146341463414,0.6666666666666666,0.5398457583547558,0.5833333333333334,0.5023923444976076,0.8473442074445838,0.9520676691729323,0.7633760361718162,0.36363636363636365,0.24390243902439024,0.7142857142857143
4,2813,5297,528,2323,5297,964,1063.378809928894,0.4708930253982544,0.9969788789749146,150,True,42,vaal,528,0.794750656167979,0.5893300802026066,0.8063284697616258,0.28939828080229224,0.4354066985645933,0.4462809917355372,0.38571428571428573,0.5294117647058824,0.7192118226600985,0.6403508771929824,0.8202247191011236,0.6160919540229886,0.5851528384279476,0.6504854368932039,0.3018867924528302,0.18181818181818182,0.8888888888888888,0.5632458233890215,0.5619047619047619,0.5645933014354066,0.8996458087367178,0.9415156507413509,0.8613413715146948,0.5789473684210527,0.4583333333333333,0.7857142857142857
5,3230,4880,417,2740,4880,950,1115.1375093460083,0.31779637932777405,0.9993957877159119,150,True,42,vaal,417,0.8078740157480315,0.6626914357544134,0.8173203045376419,0.24068767908309455,0.3827751196172249,0.5517241379310345,0.49230769230769234,0.6274509803921569,0.7439613526570048,0.652542372881356,0.8651685393258427,0.5995525727069351,0.5560165975103735,0.6504854368932039,0.42105263157894735,0.27586206896551724,0.8888888888888888,0.5903890160183066,0.5657894736842105,0.6172248803827751,0.9045741324921136,0.9487179487179487,0.8643556895252449,0.8275862068965517,0.8,0.8571428571428571
6,3595,4515,365,3105,4515,880,1147.1480195522308,0.1642882078886032,0.9996104836463928,150,True,42,vaal,365,0.8031496062992126,0.663748982677171,0.8134346820693569,0.30659025787965616,0.430622009569378,0.5925925925925926,0.5614035087719298,0.6274509803921569,0.7040816326530612,0.6448598130841121,0.7752808988764045,0.6196078431372549,0.5197368421052632,0.7669902912621359,0.5,0.3684210526315789,0.7777777777777778,0.5639810426540285,0.5586854460093896,0.569377990430622,0.9012738853503185,0.9552742616033755,0.853051996985682,0.7647058823529411,0.65,0.9285714285714286
7,3867,4243,272,3377,4243,814,1156.8726994991302,0.12045226991176605,0.9996742010116577,150,True,42,vaal,272,0.8220472440944881,0.6576224366826925,0.8271508436351138,0.32664756446991405,0.41148325358851673,0.5714285714285714,0.65,0.5098039215686274,0.7263157894736842,0.6831683168316832,0.7752808988764045,0.6440677966101694,0.5714285714285714,0.7378640776699029,0.45714285714285713,0.3076923076923077,0.8888888888888888,0.6059113300492611,0.6243654822335025,0.5885167464114832,0.9109907120743034,0.9363564041368337,0.8869630746043707,0.6875,0.6111111111111112,0.7857142857142857
8,4076,4034,209,3586,4034,772,1190.1625709533691,0.0720183327794075,0.9998055100440979,150,True,42,vaal,209,0.8272965879265092,0.676721126978837,0.8319427558240967,0.34097421203438394,0.47368421052631576,0.5045045045045045,0.4666666666666667,0.5490196078431373,0.7379679144385026,0.7040816326530612,0.7752808988764045,0.6234309623430963,0.5477941176470589,0.7233009708737864,0.47058823529411764,0.32,0.8888888888888888,0.5882352941176471,0.6666666666666666,0.5263157894736842,0.923432089265102,0.9433962264150944,0.9042954031650339,0.8888888888888888,0.9230769230769231,0.8571428571428571
9,4245,3865,169,3755,3865,751,1197.2187745571136,0.06001798063516617,0.9999256134033203,150,True,42,vaal,169,0.8446194225721785,0.7418801365969961,0.8485439000369008,0.27507163323782235,0.3684210526315789,0.6185567010309279,0.6521739130434783,0.5882352941176471,0.7539267015706806,0.7058823529411765,0.8089887640449438,0.673773987206823,0.6007604562737643,0.7669902912621359,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6376811594202898,0.6439024390243903,0.631578947368421,0.9246813441483198,0.9484944532488114,0.9020346646571213,0.8888888888888888,0.9230769230769231,0.8571428571428571
10,4400,3710,155,3910,3710,721,1201.2061636447906,0.03943963721394539,0.9999547004699707,150,True,42,vaal,155,0.8482939632545932,0.7084233796517427,0.8508242338115067,0.2922636103151863,0.37320574162679426,0.5416666666666666,0.5777777777777777,0.5098039215686274,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.6696230598669624,0.6163265306122448,0.7330097087378641,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.6437346437346437,0.6616161616161617,0.6267942583732058,0.9307309605817069,0.9455676516329704,0.9163526752072344,0.8275862068965517,0.8,0.8571428571428571
