round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1300,6810,810,810,6810,1099,206.23323321342468,1.8816910982131958,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,1884,6226,584,1394,6226,867,337.5291781425476,1.2262883186340332,0.9925099611282349,150,True,0.7490813648293964,0.5476554518425756,0.7700690357813207,0.32951289398280803,0.507177033492823,0.5,0.4074074074074074,0.6470588235294118,0.6815642458100558,0.6777777777777778,0.6853932584269663,0.556390977443609,0.5751295336787565,0.5388349514563107,0.16822429906542055,0.09183673469387756,1.0,0.4779582366589327,0.46396396396396394,0.49282296650717705,0.8716726261422328,0.9218487394957983,0.8266767143933685,0.5777777777777777,0.41935483870967744,0.9285714285714286
3,2285,5825,401,1795,5825,692,437.3926239013672,0.9480341672897339,0.9988436102867126,150,True,0.7984251968503937,0.6161856347161689,0.8051712897856489,0.31805157593123207,0.4784688995215311,0.5384615384615384,0.5283018867924528,0.5490196078431373,0.774869109947644,0.7254901960784313,0.8314606741573034,0.6323185011709602,0.6108597285067874,0.6553398058252428,0.375,0.23076923076923078,1.0,0.5190476190476191,0.5165876777251185,0.5215311004784688,0.8946553059643687,0.9203187250996016,0.8703843255463452,0.5789473684210527,0.4583333333333333,0.7857142857142857
4,2813,5297,528,2323,5297,511,503.3530251979828,0.6482335329055786,0.999491274356842,150,True,0.8283464566929134,0.6820800993085528,0.8308008386625421,0.34097421203438394,0.49282296650717705,0.594059405940594,0.6,0.5882352941176471,0.8087431693989071,0.7872340425531915,0.8314606741573034,0.6520787746170679,0.5936254980079682,0.7233009708737864,0.4090909090909091,0.2571428571428571,1.0,0.5698924731182796,0.6503067484662577,0.507177033492823,0.913109756097561,0.9236700077101002,0.9027882441597589,0.8275862068965517,0.8,0.8571428571428571
5,3230,4880,417,2740,4880,387,601.9583415985107,0.5332275629043579,0.9997634291648865,150,True,0.8409448818897638,0.6840702583082316,0.8409579318007644,0.335243553008596,0.48325358851674644,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.8,0.7708333333333334,0.8314606741573034,0.6682134570765661,0.64,0.6990291262135923,0.4090909090909091,0.2571428571428571,1.0,0.5950413223140496,0.7012987012987013,0.5167464114832536,0.9229033471229786,0.9211711711711712,0.9246420497362472,0.8275862068965517,0.8,0.8571428571428571
6,3595,4515,365,3105,4515,294,672.3110327720642,0.2986772358417511,0.9998803734779358,150,True,0.8619422572178478,0.7416967206099522,0.8595109465802692,0.30945558739255014,0.4258373205741627,0.5376344086021505,0.5952380952380952,0.49019607843137253,0.8111111111111111,0.8021978021978022,0.8202247191011236,0.7096774193548387,0.6754385964912281,0.7475728155339806,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.636604774535809,0.7142857142857143,0.5741626794258373,0.9345304900860456,0.9279346210995543,0.9412207987942728,0.8666666666666667,0.8125,0.9285714285714286
7,3867,4243,272,3377,4243,230,733.6245472431183,0.18247100710868835,0.9999739527702332,150,True,0.8692913385826772,0.7766308564686052,0.867727126868781,0.2808022922636103,0.39712918660287083,0.6292134831460674,0.7368421052631579,0.5490196078431373,0.8148148148148148,0.77,0.8651685393258427,0.7482678983833718,0.7136563876651982,0.7864077669902912,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6445012787723785,0.6923076923076923,0.6028708133971292,0.9344879518072289,0.9337848006019563,0.9351921627731725,0.9032258064516129,0.8235294117647058,1.0
8,4076,4034,209,3586,4034,190,781.5817019939423,0.12091709673404694,0.9999699592590332,150,True,0.863517060367454,0.7575790138409141,0.8606040744858864,0.3438395415472779,0.46411483253588515,0.6153846153846154,0.7,0.5490196078431373,0.8478260869565217,0.8210526315789474,0.8764044943820225,0.7337807606263982,0.6804979253112033,0.7961165048543689,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6086956521739131,0.7044025157232704,0.5358851674641149,0.9313835770528683,0.926865671641791,0.9359457422758101,0.8387096774193549,0.7647058823529411,0.9285714285714286
9,4245,3865,169,3755,3865,158,823.7975869178772,0.0773029774427414,0.9999949932098389,150,True,0.8766404199475065,0.7838034613717415,0.8753790205486695,0.2492836676217765,0.3492822966507177,0.625,0.6666666666666666,0.5882352941176471,0.837696335078534,0.7843137254901961,0.898876404494382,0.7530562347188264,0.7586206896551724,0.7475728155339806,0.8,0.7272727272727273,0.8888888888888888,0.674937965260546,0.7010309278350515,0.6507177033492823,0.938790837401427,0.9356287425149701,0.9419743782969103,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,4400,3710,155,3910,3710,135,864.6619520187378,0.04625289887189865,0.999995231628418,150,True,0.8824146981627297,0.789460713256311,0.8818298315480015,0.25787965616045844,0.33014354066985646,0.6436781609195402,0.7777777777777778,0.5490196078431373,0.8681318681318682,0.8494623655913979,0.8876404494382022,0.759090909090909,0.7136752136752137,0.8106796116504854,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6947890818858561,0.7216494845360825,0.6698564593301436,0.9414873537183843,0.943267776096823,0.9397136397889977,0.8571428571428571,0.8571428571428571,0.8571428571428571
11,4552,3558,152,4062,3558,112,904.4279742240906,0.05092020705342293,0.9999971389770508,150,True,0.8850393700787401,0.7845726302673419,0.8847879644317398,0.24068767908309455,0.3157894736842105,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.8681318681318682,0.8494623655913979,0.8876404494382022,0.7540229885057471,0.7161572052401747,0.7961165048543689,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.715,0.7486910994764397,0.6842105263157895,0.943709860219116,0.9462121212121212,0.9412207987942728,0.8387096774193549,0.7647058823529411,0.9285714285714286
12,4707,3403,155,4217,3403,87,913.5615253448486,0.0273459292948246,0.9999964237213135,150,True,0.8881889763779528,0.8021708246271422,0.8865203669264129,0.2664756446991404,0.3349282296650718,0.6024096385542169,0.78125,0.49019607843137253,0.8876404494382022,0.8876404494382022,0.8876404494382022,0.7727272727272727,0.7264957264957265,0.8252427184466019,0.8421052631578947,0.8,0.8888888888888888,0.6984924623115578,0.7354497354497355,0.6650717703349283,0.9451540195341849,0.9423220973782771,0.9480030143180106,0.8666666666666667,0.8125,0.9285714285714286
13,4863,3247,156,4373,3247,72,938.1398215293884,0.04152842238545418,0.999998927116394,150,True,0.8881889763779528,0.7958073281318166,0.8865324759131812,0.2349570200573066,0.3253588516746411,0.6511627906976745,0.8,0.5490196078431373,0.8350515463917526,0.7714285714285715,0.9101123595505618,0.7743467933491687,0.7581395348837209,0.7912621359223301,0.8,0.7272727272727273,0.8888888888888888,0.7175572519083969,0.7663043478260869,0.6746411483253588,0.944048066090875,0.9408682634730539,0.947249434815373,0.8484848484848485,0.7368421052631579,1.0
14,5016,3094,153,4526,3094,61,984.2214806079865,0.019799083471298218,0.999998927116394,150,True,0.8944881889763779,0.8005313133063657,0.8933104795215727,0.22922636103151864,0.28708133971291866,0.627906976744186,0.7714285714285715,0.5294117647058824,0.8571428571428571,0.8387096774193549,0.8764044943820225,0.7775175644028103,0.751131221719457,0.8058252427184466,0.8,0.7272727272727273,0.8888888888888888,0.7339901477832512,0.7563451776649747,0.7129186602870813,0.9500187899285982,0.9475262368815592,0.9525244913338358,0.8571428571428571,0.8571428571428571,0.8571428571428571
15,5168,2942,152,4678,2942,50,982.6613879203796,0.01625221222639084,0.9999997615814209,150,True,0.8986876640419947,0.8103664162570544,0.8980124140092356,0.22063037249283668,0.2727272727272727,0.6741573033707865,0.7894736842105263,0.5882352941176471,0.8397790055248618,0.8260869565217391,0.8539325842696629,0.8046511627906977,0.7723214285714286,0.8398058252427184,0.8,0.7272727272727273,0.8888888888888888,0.7469287469287469,0.7676767676767676,0.7272727272727273,0.9499058380414312,0.9495481927710844,0.9502637528259231,0.8571428571428571,0.8571428571428571,0.8571428571428571
