round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1075,7035,585,585,7035,1282,203.42936491966248,1.8816910982131958,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,1504,6606,429,1014,6606,1120,297.0987899303436,1.319684624671936,0.986426055431366,150,True,0.7480314960629921,0.5266834530446219,0.7688697151268767,0.30659025787965616,0.5023923444976076,0.47761194029850745,0.3855421686746988,0.6274509803921569,0.6632124352331606,0.6153846153846154,0.7191011235955056,0.5454545454545454,0.6305732484076433,0.48058252427184467,0.14953271028037382,0.08163265306122448,0.8888888888888888,0.4759725400457666,0.45614035087719296,0.49760765550239233,0.875,0.9208992506244796,0.8334589299171062,0.5,0.35294117647058826,0.8571428571428571
3,1760,6350,256,1270,6350,1017,364.977942943573,1.0944454669952393,0.9965283274650574,150,True,0.7679790026246719,0.5463116756717663,0.7787103630104133,0.32951289398280803,0.5215311004784688,0.45871559633027525,0.43103448275862066,0.49019607843137253,0.6926829268292682,0.6120689655172413,0.797752808988764,0.5794871794871795,0.6141304347826086,0.5485436893203883,0.2153846153846154,0.125,0.7777777777777778,0.47393364928909953,0.4694835680751174,0.4784688995215311,0.8822386319471434,0.9109149277688604,0.8553127354935945,0.5217391304347826,0.375,0.8571428571428571
4,2120,5990,360,1630,5990,898,412.52685713768005,0.8168781399726868,0.9991361498832703,150,True,0.8141732283464567,0.6122858533838313,0.8180720574260432,0.30945558739255014,0.49282296650717705,0.5405405405405406,0.5,0.5882352941176471,0.8020304568527918,0.7314814814814815,0.8876404494382022,0.625615763546798,0.635,0.616504854368932,0.32,0.1951219512195122,0.8888888888888888,0.5535248041775457,0.6091954022988506,0.507177033492823,0.9077040427154843,0.918918918918919,0.8967596081386586,0.5365853658536586,0.4074074074074074,0.7857142857142857
5,2633,5477,513,2143,5477,754,484.4806044101715,0.663620114326477,0.9988017678260803,150,True,0.8278215223097113,0.6658051398795026,0.82782886017313,0.332378223495702,0.5167464114832536,0.6326530612244898,0.6595744680851063,0.6078431372549019,0.7821782178217822,0.6991150442477876,0.8876404494382022,0.6713615023474179,0.65,0.6941747572815534,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.5287958115183246,0.5838150289017341,0.48325358851674644,0.9141337386018237,0.9218390804597701,0.9065561416729465,0.6153846153846154,0.48,0.8571428571428571
6,3061,5049,428,2571,5049,646,576.9586718082428,0.5316184163093567,0.9995992183685303,150,True,0.8451443569553806,0.7225875046663025,0.8424648544983269,0.3209169054441261,0.48325358851674644,0.5625,0.6,0.5294117647058824,0.7661691542288557,0.6875,0.8651685393258427,0.7156398104265402,0.6990740740740741,0.7330097087378641,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5775401069518716,0.6545454545454545,0.5167464114832536,0.9211119459053343,0.9183520599250936,0.9238884702336096,0.7878787878787878,0.6842105263157895,0.9285714285714286
7,3406,4704,345,2916,4704,556,646.6187598705292,0.3454703986644745,0.9997957348823547,150,True,0.8598425196850393,0.7478609243658326,0.8579797355076995,0.3008595988538682,0.44019138755980863,0.6185567010309279,0.6521739130434783,0.5882352941176471,0.7604166666666666,0.7087378640776699,0.8202247191011236,0.7447306791569087,0.7194570135746606,0.7718446601941747,0.8,0.7272727272727273,0.8888888888888888,0.6157894736842106,0.6842105263157895,0.5598086124401914,0.9308270676691729,0.9287321830457614,0.93293142426526,0.7647058823529411,0.65,0.9285714285714286
8,3653,4457,247,3163,4457,483,705.1025207042694,0.21790054440498352,0.9998740553855896,150,True,0.8619422572178478,0.7472102366799217,0.8591284837333255,0.3151862464183381,0.45933014354066987,0.6170212765957447,0.6744186046511628,0.5686274509803921,0.7789473684210526,0.7326732673267327,0.8314606741573034,0.728538283062645,0.6977777777777778,0.7621359223300971,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6091644204851752,0.6975308641975309,0.5406698564593302,0.9344814676151254,0.9285714285714286,0.9404672192916352,0.8666666666666667,0.8125,0.9285714285714286
9,3839,4271,186,3349,4271,451,748.1915085315704,0.1919354945421219,0.9999700784683228,150,True,0.883989501312336,0.7836184682189671,0.883533020787508,0.23209169054441262,0.3062200956937799,0.651685393258427,0.7631578947368421,0.5686274509803921,0.806282722513089,0.7549019607843137,0.8651685393258427,0.7743467933491687,0.7581395348837209,0.7912621359223301,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7090464547677262,0.725,0.69377990430622,0.9433534743202417,0.9454958364875095,0.9412207987942728,0.8387096774193549,0.7647058823529411,0.9285714285714286
10,4024,4086,185,3534,4086,420,771.5063107013702,0.12956200540065765,0.999983549118042,150,True,0.8740157480314961,0.7481806273324391,0.8736992040679772,0.2722063037249284,0.35406698564593303,0.6666666666666666,0.7692307692307693,0.5882352941176471,0.7914438502673797,0.7551020408163265,0.8314606741573034,0.7529411764705882,0.730593607305936,0.7766990291262136,0.64,0.5,0.8888888888888888,0.6716417910447762,0.6994818652849741,0.645933014354067,0.940377358490566,0.9417989417989417,0.9389600602863603,0.7741935483870968,0.7058823529411765,0.8571428571428571
11,4174,3936,150,3684,3936,391,804.0884642601013,0.09003377705812454,0.999992847442627,150,True,0.8866141732283465,0.801917238306172,0.8853131380595716,0.24641833810888253,0.33014354066985646,0.6881720430107527,0.7619047619047619,0.6274509803921569,0.8306010928961749,0.8085106382978723,0.8539325842696629,0.7681498829039812,0.7420814479638009,0.7961165048543689,0.8,0.7272727272727273,0.8888888888888888,0.717948717948718,0.7734806629834254,0.6698564593301436,0.9418822647169104,0.9373134328358209,0.9464958553127355,0.8666666666666667,0.8125,0.9285714285714286
12,4324,3786,150,3834,3786,367,824.2469670772552,0.058963946998119354,0.9999953508377075,150,True,0.8782152230971129,0.7731411458637175,0.8756629216970255,0.2636103151862464,0.3684210526315789,0.6206896551724138,0.75,0.5294117647058824,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.75,0.7428571428571429,0.7572815533980582,0.8,0.7272727272727273,0.8888888888888888,0.6857142857142857,0.75,0.631578947368421,0.9410007468259896,0.9326424870466321,0.9495101733232856,0.8125,0.7222222222222222,0.9285714285714286
13,4474,3636,150,3984,3636,340,848.4748277664185,0.0566292479634285,0.9999889135360718,150,True,0.8992125984251969,0.7988254894535075,0.8976575316306534,0.22922636103151864,0.31100478468899523,0.6666666666666666,0.6875,0.6470588235294118,0.850828729281768,0.8369565217391305,0.8651685393258427,0.7941888619854721,0.7922705314009661,0.7961165048543689,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7441860465116279,0.8089887640449438,0.6889952153110048,0.9514925373134329,0.9423503325942351,0.9608138658628486,0.8571428571428571,0.8571428571428571,0.8571428571428571
