round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1394,6716,904,904,6716,1063,203.8763918876648,0.7831667065620422,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,1897,6213,503,1407,6213,844,350.3699507713318,0.5169402956962585,0.9910612106323242,150,True,0.7454068241469817,0.5332377956593238,0.7682170671618971,0.3495702005730659,0.5550239234449761,0.5,0.4,0.6666666666666666,0.6703910614525139,0.6666666666666666,0.6741573033707865,0.5736434108527132,0.6132596685082873,0.5388349514563107,0.13953488372093023,0.075,1.0,0.4708860759493671,0.5,0.4449760765550239,0.8691182285488336,0.9143094841930116,0.8281838733986435,0.509090909090909,0.34146341463414637,1.0
3,2322,5788,425,1832,5788,681,432.08350133895874,0.41336292028427124,0.997047483921051,150,True,0.8173228346456692,0.6248907632787192,0.8204491986737629,0.3667621776504298,0.5119617224880383,0.5384615384615384,0.5283018867924528,0.5490196078431373,0.6931818181818182,0.7011494252873564,0.6853932584269663,0.6361556064073226,0.6017316017316018,0.6747572815533981,0.3333333333333333,0.2,1.0,0.5589041095890411,0.6538461538461539,0.4880382775119617,0.9141989369779803,0.9211935730680949,0.9073097211755841,0.7,0.5384615384615384,1.0
4,2902,5208,580,2412,5208,511,505.6016628742218,0.2536957561969757,0.999439001083374,150,True,0.8341207349081364,0.6720958313264607,0.8348108002629496,0.3209169054441261,0.46411483253588515,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.7551020408163265,0.6915887850467289,0.8314606741573034,0.6864988558352403,0.6493506493506493,0.7281553398058253,0.48484848484848486,0.3333333333333333,0.8888888888888888,0.5910290237467019,0.6588235294117647,0.5358851674641149,0.9156534954407295,0.9233716475095786,0.9080633006782216,0.7058823529411765,0.6,0.8571428571428571
5,3302,4808,400,2812,4808,388,614.6546874046326,0.1747082769870758,0.9998517036437988,150,True,0.836745406824147,0.7165463856157782,0.8363514148780097,0.31805157593123207,0.4688995215311005,0.6213592233009708,0.6153846153846154,0.6274509803921569,0.7619047619047619,0.72,0.8089887640449438,0.674364896073903,0.6431718061674009,0.7087378640776699,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.5721649484536082,0.6201117318435754,0.5311004784688995,0.9182437547312642,0.9224334600760457,0.9140919366993218,0.7058823529411765,0.6,0.8571428571428571
6,3632,4478,330,3142,4478,294,677.3574078083038,0.07031716406345367,0.9999338388442993,150,True,0.8593175853018372,0.7076131928674203,0.8589525748455299,0.28939828080229224,0.41148325358851673,0.5656565656565656,0.5833333333333334,0.5490196078431373,0.8131868131868132,0.7956989247311828,0.8314606741573034,0.7125890736342043,0.6976744186046512,0.7281553398058253,0.48484848484848486,0.3333333333333333,0.8888888888888888,0.643979057591623,0.7109826589595376,0.5885167464114832,0.9330323551542513,0.9316303531179564,0.9344385832705351,0.8,0.6666666666666666,1.0
7,3832,4278,200,3342,4278,228,739.65576171875,0.03934599459171295,0.9999563694000244,150,True,0.8645669291338582,0.7502181843405046,0.8635983649538874,0.30659025787965616,0.41148325358851673,0.574468085106383,0.627906976744186,0.5294117647058824,0.8176795580110497,0.8043478260869565,0.8314606741573034,0.7158836689038032,0.6639004149377593,0.7766990291262136,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.643979057591623,0.7109826589595376,0.5885167464114832,0.9362985299660761,0.9366515837104072,0.9359457422758101,0.896551724137931,0.8666666666666667,0.9285714285714286
8,4003,4107,171,3513,4107,201,780.8424701690674,0.024513209238648415,0.9999875426292419,150,True,0.8724409448818897,0.7612141285574255,0.8720145122407923,0.2521489971346705,0.3253588516746411,0.5555555555555556,0.6410256410256411,0.49019607843137253,0.8387096774193549,0.8041237113402062,0.8764044943820225,0.7289719626168224,0.7027027027027027,0.7572815533980582,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6911764705882353,0.7085427135678392,0.6746411483253588,0.9383276579644344,0.9422492401215805,0.9344385832705351,0.8484848484848485,0.7368421052631579,1.0
9,4159,3951,156,3669,3951,175,800.839123249054,0.02183404564857483,0.9999912977218628,150,True,0.8813648293963254,0.7823102035259747,0.8794202006463131,0.29512893982808025,0.3923444976076555,0.6666666666666666,0.8484848484848485,0.5490196078431373,0.8804347826086957,0.8526315789473684,0.9101123595505618,0.7483296213808464,0.691358024691358,0.8155339805825242,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6773333333333333,0.7650602409638554,0.6076555023923444,0.9410881801125703,0.9372197309417041,0.9449886963074604,0.8666666666666667,0.8125,0.9285714285714286
10,4316,3794,157,3826,3794,143,830.4499340057373,0.00742784608155489,0.9999945163726807,150,True,0.889763779527559,0.8148612312869119,0.8881018951472146,0.2521489971346705,0.3397129186602871,0.6595744680851063,0.7209302325581395,0.6078431372549019,0.8351648351648352,0.8172043010752689,0.8539325842696629,0.7652582159624414,0.740909090909091,0.7912621359223301,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.711340206185567,0.770949720670391,0.6602870813397129,0.9472502805836139,0.9405646359583952,0.9540316503391107,0.896551724137931,0.8666666666666667,0.9285714285714286
11,4470,3640,154,3980,3640,119,857.8904457092285,0.00912579894065857,0.9999949932098389,150,True,0.8939632545931758,0.8110406314210002,0.8929551151674077,0.23209169054441262,0.33014354066985646,0.5918367346938775,0.6170212765957447,0.5686274509803921,0.8648648648648649,0.8333333333333334,0.898876404494382,0.7731481481481481,0.7389380530973452,0.8106796116504854,0.8421052631578947,0.8,0.8888888888888888,0.7197943444730077,0.7777777777777778,0.6698564593301436,0.952201731275875,0.9511278195488722,0.9532780708364732,0.9333333333333333,0.875,1.0
12,4626,3484,156,4136,3484,96,897.8308520317078,0.005337045527994633,0.9999982118606567,150,True,0.8929133858267716,0.7814374131426051,0.8918634355493357,0.23782234957020057,0.3062200956937799,0.6947368421052632,0.75,0.6470588235294118,0.8268156424581006,0.8222222222222222,0.8314606741573034,0.7695961995249406,0.7534883720930232,0.7864077669902912,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7474226804123711,0.8100558659217877,0.69377990430622,0.9479595657057281,0.9419642857142857,0.9540316503391107,0.7878787878787878,0.6842105263157895,0.9285714285714286
13,4781,3329,155,4291,3329,77,937.1314702033997,0.0052995383739471436,0.9999985694885254,150,True,0.8908136482939633,0.7905543930186416,0.8897999384881613,0.2492836676217765,0.3157894736842105,0.6966292134831461,0.8157894736842105,0.6078431372549019,0.8604651162790697,0.891566265060241,0.8314606741573034,0.7767441860465116,0.7455357142857143,0.8106796116504854,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7204030226700252,0.7606382978723404,0.6842105263157895,0.9452773613193404,0.9403430275913497,0.9502637528259231,0.8387096774193549,0.7647058823529411,0.9285714285714286
14,4935,3175,154,4445,3175,58,944.6321513652802,0.004998624324798584,0.9999972581863403,150,True,0.8939632545931758,0.7841098669028593,0.8927924909576299,0.22063037249283668,0.32057416267942584,0.631578947368421,0.6818181818181818,0.5882352941176471,0.8913043478260869,0.8631578947368421,0.9213483146067416,0.7764705882352941,0.7534246575342466,0.8009708737864077,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7282051282051282,0.7845303867403315,0.6794258373205742,0.949305294780323,0.9461077844311377,0.9525244913338358,0.75,0.6666666666666666,0.8571428571428571
15,5085,3025,150,4595,3025,49,995.6113262176514,0.0028472663834691048,0.9999997615814209,150,True,0.8971128608923884,0.8231297248464784,0.8958057952737267,0.2177650429799427,0.28708133971291866,0.7741935483870968,0.8571428571428571,0.7058823529411765,0.847457627118644,0.8522727272727273,0.8426966292134831,0.7635467980295566,0.775,0.7524271844660194,0.8421052631578947,0.8,0.8888888888888888,0.7358024691358025,0.7602040816326531,0.7129186602870813,0.9503175196115055,0.9422222222222222,0.9585531273549359,0.8484848484848485,0.7368421052631579,1.0
