round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1169,6941,679,679,6941,1246,194.74955582618713,0.7831667065620422,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,1713,6397,544,1223,6397,1073,298.8107705116272,0.5143037438392639,0.9837873578071594,150,True,0.7464566929133858,0.5211616672653868,0.7675264097502624,0.2922636103151863,0.4784688995215311,0.4460431654676259,0.3522727272727273,0.6078431372549019,0.6321243523316062,0.5865384615384616,0.6853932584269663,0.59,0.6082474226804123,0.5728155339805825,0.22784810126582278,0.12857142857142856,1.0,0.49099099099099097,0.46382978723404256,0.5215311004784688,0.867682437850842,0.9271636675235647,0.8153730218538056,0.39344262295081966,0.2553191489361702,0.8571428571428571
3,2144,5966,431,1654,5966,923,407.3800036907196,0.4150547385215759,0.9935519695281982,150,True,0.820997375328084,0.6433706108896399,0.8206490058713215,0.3524355300859599,0.5406698564593302,0.5405405405405406,0.5,0.5882352941176471,0.7379679144385026,0.7040816326530612,0.7752808988764045,0.6778846153846154,0.6714285714285714,0.6844660194174758,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5106382978723404,0.5748502994011976,0.45933014354066987,0.9123204837490552,0.9150871872630781,0.9095704596834966,0.5909090909090909,0.43333333333333335,0.9285714285714286
4,2509,5601,365,2019,5601,800,476.9501140117645,0.31412696838378906,0.9970090389251709,150,True,0.8404199475065617,0.6833879116221813,0.8401200503403656,0.33810888252148996,0.4880382775119617,0.49056603773584906,0.4727272727272727,0.5098039215686274,0.7619047619047619,0.72,0.8089887640449438,0.68,0.6270491803278688,0.7427184466019418,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.592797783933518,0.7039473684210527,0.5119617224880383,0.9251134644478064,0.9286256643887624,0.921627731725697,0.8,0.75,0.8571428571428571
5,2938,5172,429,2448,5172,679,540.6066648960114,0.1803109347820282,0.999136209487915,150,True,0.8293963254593176,0.675763525358624,0.8316340802126457,0.27507163323782235,0.4019138755980861,0.52,0.5306122448979592,0.5098039215686274,0.7346938775510204,0.6728971962616822,0.8089887640449438,0.6875,0.680952380952381,0.6941747572815534,0.5517241379310345,0.4,0.8888888888888888,0.5966587112171837,0.5952380952380952,0.5980861244019139,0.9124952235384027,0.9255813953488372,0.8997739261492087,0.7272727272727273,0.631578947368421,0.8571428571428571
6,3262,4848,324,2772,4848,597,608.7031030654907,0.1201198622584343,0.9995303153991699,150,True,0.8545931758530184,0.758465700738542,0.8544053328216759,0.2836676217765043,0.3827751196172249,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.7180722891566265,0.7129186602870813,0.7233009708737864,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6201923076923077,0.6231884057971014,0.6172248803827751,0.9260377358490566,0.927437641723356,0.9246420497362472,0.8571428571428571,0.8571428571428571,0.8571428571428571
7,3528,4582,266,3038,4582,513,648.1237990856171,0.05966992676258087,0.9998506903648376,150,True,0.8729658792650918,0.761675203616049,0.8726335029119366,0.2349570200573066,0.3444976076555024,0.62,0.6326530612244898,0.6078431372549019,0.7835051546391752,0.7238095238095238,0.8539325842696629,0.7611940298507462,0.7806122448979592,0.7427184466019418,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6732186732186732,0.6919191919191919,0.6555023923444976,0.9382530120481928,0.9375470278404816,0.9389600602863603,0.8888888888888888,0.9230769230769231,0.8571428571428571
8,3743,4367,215,3253,4367,460,710.9507384300232,0.04519116133451462,0.9999677538871765,150,True,0.8708661417322835,0.7807368573866762,0.870326945132906,0.2521489971346705,0.3444976076555024,0.5934065934065934,0.675,0.5294117647058824,0.8279569892473119,0.7938144329896907,0.8651685393258427,0.7571428571428571,0.7429906542056075,0.7718446601941747,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6618357487922706,0.6682926829268293,0.6555023923444976,0.9343396226415094,0.9357520786092215,0.93293142426526,0.9285714285714286,0.9285714285714286,0.9285714285714286
9,3908,4202,165,3418,4202,421,756.933402299881,0.028639689087867737,0.9999325275421143,150,True,0.8792650918635171,0.7703408190824635,0.8786358871394992,0.24641833810888253,0.35406698564593303,0.6593406593406593,0.75,0.5882352941176471,0.8465608465608465,0.8,0.898876404494382,0.7670588235294118,0.7442922374429224,0.7912621359223301,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6733167082294265,0.703125,0.645933014354067,0.9407323518308796,0.9425113464447806,0.9389600602863603,0.8387096774193549,0.7647058823529411,0.9285714285714286
10,4058,4052,150,3568,4052,385,762.5254008769989,0.013279230333864689,0.9999840259552002,150,True,0.8829396325459318,0.8192725266753936,0.8833078005771418,0.21203438395415472,0.291866028708134,0.6666666666666666,0.7111111111111111,0.6274509803921569,0.8415300546448088,0.8191489361702128,0.8651685393258427,0.7721822541966427,0.7630331753554502,0.7815533980582524,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6964705882352941,0.6851851851851852,0.7081339712918661,0.9405978055240257,0.9445288753799392,0.9366993217784476,0.9285714285714286,0.9285714285714286,0.9285714285714286
11,4208,3902,150,3718,3902,369,770.4043822288513,0.013809874653816223,0.9999856948852539,150,True,0.878740157480315,0.7798626509509263,0.8806483611243916,0.18051575931232092,0.2679425837320574,0.673469387755102,0.7021276595744681,0.6470588235294118,0.841025641025641,0.7735849056603774,0.9213483146067416,0.7494033412887828,0.7370892018779343,0.7621359223300971,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.7116279069767442,0.6923076923076923,0.7320574162679426,0.9395562356541699,0.9541569541569541,0.9253956292388847,0.9285714285714286,0.9285714285714286,0.9285714285714286
12,4358,3752,150,3868,3752,323,839.5490665435791,0.005831396672874689,0.9999877214431763,150,True,0.89501312335958,0.807434590174865,0.893834790588853,0.2349570200573066,0.32057416267942584,0.6736842105263158,0.7272727272727273,0.6274509803921569,0.8681318681318682,0.8494623655913979,0.8876404494382022,0.8066037735849056,0.7844036697247706,0.8300970873786407,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7208121827411168,0.7675675675675676,0.6794258373205742,0.9459053343350864,0.9430711610486892,0.948756593820648,0.875,0.7777777777777778,1.0
13,4508,3602,150,4018,3602,308,845.205860376358,0.009406243450939655,0.9999960660934448,150,True,0.8750656167979003,0.7861518491074622,0.87667226119117,0.21203438395415472,0.2822966507177033,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.8404255319148937,0.797979797979798,0.8876404494382022,0.7674418604651163,0.7366071428571429,0.8009708737864077,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6912442396313364,0.6666666666666666,0.7177033492822966,0.9349655700076511,0.9494949494949495,0.9208741522230596,0.896551724137931,0.8666666666666667,0.9285714285714286
14,4658,3452,150,4168,3452,279,834.5235469341278,0.0036283363588154316,0.9999964237213135,150,True,0.8908136482939633,0.8094584006761869,0.8910880060694499,0.20630372492836677,0.2583732057416268,0.6666666666666666,0.7692307692307693,0.5882352941176471,0.8876404494382022,0.8876404494382022,0.8876404494382022,0.7783018867924528,0.7568807339449541,0.8009708737864077,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7294117647058823,0.7175925925925926,0.7416267942583732,0.943581976524044,0.9482496194824962,0.9389600602863603,0.9333333333333333,0.875,1.0
15,4808,3302,150,4318,3302,269,886.9991822242737,0.0032310374081134796,0.9999991655349731,150,True,0.8934383202099737,0.8037228441415714,0.8929716879396324,0.2034383954154728,0.2631578947368421,0.651685393258427,0.7631578947368421,0.5686274509803921,0.8449197860962567,0.8061224489795918,0.8876404494382022,0.8009708737864077,0.8009708737864077,0.8009708737864077,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7315914489311164,0.7264150943396226,0.7368421052631579,0.9460987561251414,0.9464555052790347,0.945742275810098,0.8888888888888888,0.9230769230769231,0.8571428571428571
