round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1415,6695,925,925,6695,1027,201.66906785964966,0.9821677803993225,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,2089,6021,674,1599,6021,815,352.536438703537,0.8426110148429871,0.9929210543632507,150,True,0.7543307086614173,0.5366512273234882,0.7718148378590276,0.3008595988538682,0.507177033492823,0.45454545454545453,0.37037037037037035,0.5882352941176471,0.6567164179104478,0.5892857142857143,0.7415730337078652,0.5664160401002506,0.5854922279792746,0.5485436893203883,0.18666666666666668,0.10606060606060606,0.7777777777777778,0.4735632183908046,0.4557522123893805,0.49282296650717705,0.876984126984127,0.9262363788767812,0.8327053504144687,0.5416666666666666,0.38235294117647056,0.9285714285714286
3,2622,5488,533,2132,5488,630,468.64572930336,0.7140018939971924,0.9976106882095337,150,True,0.8220472440944881,0.6536100598364053,0.828316889232683,0.27507163323782235,0.4258373205741627,0.5714285714285714,0.5245901639344263,0.6274509803921569,0.7272727272727273,0.6938775510204082,0.7640449438202247,0.6573426573426573,0.6322869955156951,0.6844660194174758,0.3902439024390244,0.25,0.8888888888888888,0.5700712589073634,0.5660377358490566,0.5741626794258373,0.9160541586073501,0.9411764705882353,0.8922381311228335,0.7428571428571429,0.6190476190476191,0.9285714285714286
4,3042,5068,420,2552,5068,493,553.4250001907349,0.45381054282188416,0.9994374513626099,150,True,0.8440944881889764,0.6769275123021081,0.8438848360686507,0.30659025787965616,0.44019138755980863,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.7593582887700535,0.7244897959183674,0.797752808988764,0.6552567237163814,0.6600985221674877,0.6504854368932039,0.5,0.34782608695652173,0.8888888888888888,0.6,0.6464088397790055,0.5598086124401914,0.9303201506591338,0.9299698795180723,0.9306706857573473,0.6857142857142857,0.5714285714285714,0.8571428571428571
5,3377,4733,335,2887,4733,385,630.1287698745728,0.35439175367355347,0.9998540878295898,150,True,0.8467191601049868,0.6987899372768931,0.8475776678412231,0.3037249283667622,0.41626794258373206,0.5684210526315789,0.6136363636363636,0.5294117647058824,0.7912087912087912,0.7741935483870968,0.8089887640449438,0.700228832951945,0.6623376623376623,0.7427184466019418,0.5454545454545454,0.375,1.0,0.6192893401015228,0.6594594594594595,0.583732057416268,0.9240698557327259,0.9311400153022188,0.9171062547098718,0.7428571428571429,0.6190476190476191,0.9285714285714286
6,3714,4396,337,3224,4396,294,682.0195496082306,0.1578594446182251,0.9999277591705322,150,True,0.8572178477690289,0.7121724911946063,0.857773022949232,0.2664756446991404,0.3684210526315789,0.6067415730337079,0.7105263157894737,0.5294117647058824,0.8191489361702128,0.7777777777777778,0.8651685393258427,0.7391304347826086,0.7355769230769231,0.7427184466019418,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.6376811594202898,0.6439024390243903,0.631578947368421,0.9268662372110648,0.9321646341463414,0.921627731725697,0.6842105263157895,0.5416666666666666,0.9285714285714286
7,3943,4167,229,3453,4167,239,742.160092830658,0.07594073563814163,0.9999801516532898,150,True,0.8698162729658793,0.7643675318606415,0.8680594799096665,0.2607449856733524,0.35406698564593303,0.6153846153846154,0.7,0.5490196078431373,0.8387096774193549,0.8041237113402062,0.8764044943820225,0.7201946472019465,0.7219512195121951,0.7184466019417476,0.75,0.6,1.0,0.6801007556675063,0.7180851063829787,0.645933014354067,0.9336830273510678,0.9284649776453056,0.9389600602863603,0.8125,0.7222222222222222,0.9285714285714286
8,4101,4009,158,3611,4009,187,782.5519065856934,0.0506928525865078,0.9999712705612183,150,True,0.8834645669291339,0.7921760721783312,0.8816341365891609,0.2664756446991404,0.3397129186602871,0.6666666666666666,0.7380952380952381,0.6078431372549019,0.8295454545454546,0.8390804597701149,0.8202247191011236,0.7743467933491687,0.7581395348837209,0.7912621359223301,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7076923076923077,0.7624309392265194,0.6602870813397129,0.9384098544232923,0.9297337278106509,0.947249434815373,0.8666666666666667,0.8125,0.9285714285714286
9,4258,3852,157,3768,3852,147,819.7310292720795,0.020174026489257812,0.9999872446060181,150,True,0.8761154855643044,0.7737982858173893,0.8749030823840027,0.2492836676217765,0.33014354066985646,0.6521739130434783,0.7317073170731707,0.5882352941176471,0.8555555555555555,0.8461538461538461,0.8651685393258427,0.7475728155339806,0.7475728155339806,0.7475728155339806,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6896551724137931,0.7106598984771574,0.6698564593301436,0.9355322338830585,0.930648769574944,0.9404672192916352,0.7741935483870968,0.7058823529411765,0.8571428571428571
10,4411,3699,153,3921,3699,121,841.8810274600983,0.0158500038087368,0.999991774559021,150,True,0.8824146981627297,0.7744903582038477,0.8796044661413175,0.2607449856733524,0.3444976076555024,0.6363636363636364,0.7567567567567568,0.5490196078431373,0.8279569892473119,0.7938144329896907,0.8651685393258427,0.75,0.7574257425742574,0.7427184466019418,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7116883116883117,0.7784090909090909,0.6555023923444976,0.9405646359583952,0.9274725274725275,0.9540316503391107,0.8275862068965517,0.8,0.8571428571428571
11,4567,3543,156,4077,3543,95,852.8920648097992,0.018396437168121338,0.9999973773956299,150,True,0.8866141732283465,0.7920738949096704,0.8856054119458281,0.2521489971346705,0.31100478468899523,0.6818181818181818,0.8108108108108109,0.5882352941176471,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.766743648960739,0.7312775330396476,0.8058252427184466,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.7291139240506329,0.7741935483870968,0.6889952153110048,0.9414414414414415,0.9379207180254301,0.9449886963074604,0.8666666666666667,0.8125,0.9285714285714286
12,4722,3388,155,4232,3388,82,879.1322226524353,0.009126110002398491,0.9999978542327881,150,True,0.8855643044619422,0.8009403117465231,0.8850144205679201,0.22922636103151864,0.2966507177033493,0.673469387755102,0.7021276595744681,0.6470588235294118,0.819672131147541,0.7978723404255319,0.8426966292134831,0.7699757869249395,0.7681159420289855,0.7718446601941747,0.8421052631578947,0.8,0.8888888888888888,0.7205882352941176,0.7386934673366834,0.7033492822966507,0.9420617005267118,0.9406461307287753,0.9434815373021854,0.8387096774193549,0.7647058823529411,0.9285714285714286
13,4872,3238,150,4382,3238,68,902.6746125221252,0.005600386764854193,0.9999994039535522,150,True,0.8902887139107611,0.8052264864706176,0.889598003269596,0.21203438395415472,0.2966507177033493,0.6947368421052632,0.75,0.6470588235294118,0.8324324324324325,0.8020833333333334,0.8651685393258427,0.7699757869249395,0.7681159420289855,0.7718446601941747,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7170731707317073,0.7313432835820896,0.7033492822966507,0.9477639984968057,0.9452773613193404,0.9502637528259231,0.7857142857142857,0.7857142857142857,0.7857142857142857
14,5028,3082,156,4538,3082,53,939.5322511196136,0.005501776002347469,0.9999995231628418,150,True,0.889763779527559,0.8081930158716402,0.889338571640296,0.23209169054441262,0.31100478468899523,0.6956521739130435,0.7804878048780488,0.6274509803921569,0.8324324324324325,0.8020833333333334,0.8651685393258427,0.7688787185354691,0.7272727272727273,0.8155339805825242,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.72544080604534,0.7659574468085106,0.6889952153110048,0.946058091286307,0.947129909365559,0.9449886963074604,0.8,0.75,0.8571428571428571
