round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,1203,6907,713,713,6907,1199,235.06998682022095,0.9821677803993225,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,1865,6245,662,1375,6245,1007,369.43804812431335,0.8349493741989136,0.9869064688682556,150,True,0.7464566929133858,0.5386764707934453,0.7642331412910857,0.332378223495702,0.5215311004784688,0.4915254237288136,0.43283582089552236,0.5686274509803921,0.6764705882352942,0.6,0.7752808988764045,0.5535714285714286,0.512396694214876,0.6019417475728155,0.2318840579710145,0.13333333333333333,0.8888888888888888,0.4694835680751174,0.4608294930875576,0.4784688995215311,0.8663187474909675,0.9269759450171822,0.813112283345893,0.48148148148148145,0.325,0.9285714285714286
3,2363,5747,498,1873,5747,856,493.62473797798157,0.7259901165962219,0.9898869395256042,150,True,0.8073490813648294,0.6226575781678653,0.8139506552099838,0.332378223495702,0.5167464114832536,0.5391304347826087,0.484375,0.6078431372549019,0.7216494845360825,0.6666666666666666,0.7865168539325843,0.6410835214446953,0.5991561181434599,0.6893203883495146,0.32653061224489793,0.2,0.8888888888888888,0.5153061224489796,0.5519125683060109,0.48325358851674644,0.9090205187766164,0.9347133757961783,0.8847023360964582,0.7058823529411765,0.6,0.8571428571428571
4,2872,5238,509,2382,5238,692,599.2352964878082,0.5119670629501343,0.9958776235580444,150,True,0.8283464566929134,0.6886504181624878,0.8305354603978029,0.3008595988538682,0.45933014354066987,0.5825242718446602,0.5769230769230769,0.5882352941176471,0.7422680412371134,0.6857142857142857,0.8089887640449438,0.6607538802660754,0.6081632653061224,0.7233009708737864,0.64,0.5,0.8888888888888888,0.5692695214105793,0.601063829787234,0.5406698564593302,0.9160597930241472,0.9321372854914196,0.9005275056518462,0.7096774193548387,0.6470588235294118,0.7857142857142857
5,3222,4888,350,2732,4888,581,703.1114916801453,0.282073974609375,0.9990369081497192,150,True,0.8519685039370078,0.7276543804379445,0.8523699812571225,0.28653295128939826,0.40669856459330145,0.6304347826086957,0.7073170731707317,0.5686274509803921,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.700228832951945,0.6623376623376623,0.7427184466019418,0.64,0.5,0.8888888888888888,0.62,0.6492146596858639,0.5933014354066986,0.9274591720470946,0.9349157733537519,0.920120572720422,0.7857142857142857,0.7857142857142857,0.7857142857142857
6,3499,4611,277,3009,4611,507,766.2871043682098,0.18499064445495605,0.9994921684265137,150,True,0.8535433070866142,0.7379401356724957,0.8538659688207785,0.25787965616045844,0.37799043062200954,0.5904761904761905,0.5740740740740741,0.6078431372549019,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.7115384615384616,0.7047619047619048,0.7184466019417476,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6388206388206388,0.6565656565656566,0.6220095693779905,0.9254070427868232,0.9299847792998478,0.9208741522230596,0.7741935483870968,0.7058823529411765,0.8571428571428571
7,3721,4389,222,3231,4389,458,812.8187127113342,0.11672193557024002,0.9997938871383667,150,True,0.857742782152231,0.7562589113688656,0.8574437627590812,0.2808022922636103,0.40669856459330145,0.6373626373626373,0.725,0.5686274509803921,0.8102564102564103,0.7452830188679245,0.8876404494382022,0.7252252252252253,0.6764705882352942,0.7815533980582524,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6326530612244898,0.6775956284153005,0.5933014354066986,0.9259962049335864,0.9327217125382263,0.9193669932177845,0.8666666666666667,0.8125,0.9285714285714286
8,3976,4134,255,3486,4134,406,853.4768302440643,0.05301481485366821,0.9999487400054932,150,True,0.8708661417322835,0.7730953949131482,0.8706549742434949,0.24641833810888253,0.3444976076555024,0.7021276595744681,0.7674418604651163,0.6470588235294118,0.8191489361702128,0.7777777777777778,0.8651685393258427,0.7579462102689487,0.7635467980295566,0.7524271844660194,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.657074340527578,0.6586538461538461,0.6555023923444976,0.9332830757632868,0.9336349924585219,0.93293142426526,0.8148148148148148,0.8461538461538461,0.7857142857142857
9,4126,3984,150,3636,3984,366,841.8632459640503,0.03697282075881958,0.9999116063117981,150,True,0.873490813648294,0.774575808301338,0.8729868769095246,0.25787965616045844,0.3349282296650718,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.7932960893854749,0.7888888888888889,0.797752808988764,0.7565011820330969,0.7373271889400922,0.7766990291262136,0.8,0.7272727272727273,0.8888888888888888,0.6747572815533981,0.6847290640394089,0.6650717703349283,0.9375,0.9367945823927766,0.9382064807837227,0.8148148148148148,0.8461538461538461,0.7857142857142857
10,4276,3834,150,3786,3834,339,853.4359793663025,0.022754907608032227,0.9999797344207764,150,True,0.8818897637795275,0.7853170013965844,0.881499933959263,0.25501432664756446,0.3349282296650718,0.6888888888888889,0.7948717948717948,0.6078431372549019,0.8279569892473119,0.7938144329896907,0.8651685393258427,0.7638888888888888,0.7300884955752213,0.8009708737864077,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6898263027295285,0.7164948453608248,0.6650717703349283,0.942242355605889,0.9440242057488654,0.9404672192916352,0.8571428571428571,0.8571428571428571,0.8571428571428571
