round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,2214,5896,1724,1724,5896,1129,852.2387993335724,0.0021256469190120697,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,3753,4357,1539,3263,4357,692,1166.1771128177643,0.003403949784114957,0.989169180393219,150,True,0.6829396325459317,0.5535075858079267,0.7172879107443865,0.27793696275071633,0.3923444976076555,0.43859649122807015,0.3968253968253968,0.49019607843137253,0.711340206185567,0.6571428571428571,0.7752808988764045,0.4557823129251701,0.3507853403141361,0.6504854368932039,0.32142857142857145,0.19148936170212766,1.0,0.46950092421441775,0.3825301204819277,0.6076555023923444,0.8112379280070237,0.9716088328075709,0.6963074604370761,0.6666666666666666,0.52,0.9285714285714286
3,4394,3716,641,3904,3716,491,1433.9946556091309,0.0031624275725334883,0.9967394471168518,150,True,0.7989501312335958,0.6747782570151236,0.8114133631294185,0.2177650429799427,0.3444976076555024,0.52,0.5306122448979592,0.5098039215686274,0.7641509433962265,0.6585365853658537,0.9101123595505618,0.6637744034707158,0.6,0.7427184466019418,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5469061876247505,0.4691780821917808,0.6555023923444976,0.8924818108326596,0.962510897994769,0.8319517709118311,0.7647058823529411,0.65,0.9285714285714286
4,4845,3265,451,4355,3265,364,1534.5108783245087,0.0025618935469537973,0.9991255402565002,150,True,0.8341207349081364,0.7407135990729447,0.8397975505883561,0.2664756446991404,0.35406698564593303,0.5333333333333333,0.6153846153846154,0.47058823529411764,0.84375,0.7864077669902912,0.9101123595505618,0.6802443991853361,0.5859649122807018,0.8106796116504854,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6150341685649203,0.5869565217391305,0.645933014354067,0.9120188531029065,0.9524200164068909,0.8749058025621703,0.8387096774193549,0.7647058823529411,0.9285714285714286
5,5123,2987,278,4633,2987,269,1711.4919230937958,0.0016706431051716208,0.9997516870498657,150,True,0.8383202099737532,0.7231354561871776,0.8443139324932977,0.2521489971346705,0.3588516746411483,0.5454545454545454,0.5625,0.5294117647058824,0.8571428571428571,0.81,0.9101123595505618,0.7085953878406709,0.6236162361623616,0.8203883495145631,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.6077097505668935,0.5775862068965517,0.6411483253588517,0.9151610369206599,0.955701394585726,0.8779201205727204,0.8125,0.7222222222222222,0.9285714285714286
6,5328,2782,205,4838,2782,189,1748.7308163642883,0.0007747713825665414,0.9998824596405029,150,True,0.8535433070866142,0.749156735711509,0.8558034739444103,0.2808022922636103,0.3875598086124402,0.6122448979591837,0.6382978723404256,0.5882352941176471,0.8315789473684211,0.7821782178217822,0.8876404494382022,0.7133757961783439,0.6339622641509434,0.8155339805825242,0.6923076923076923,0.5294117647058824,1.0,0.6432160804020101,0.6772486772486772,0.6124401913875598,0.9237875288683602,0.9441384736428009,0.9042954031650339,0.8275862068965517,0.8,0.8571428571428571
7,5504,2606,176,5014,2606,146,1811.5681037902832,0.00021198642207309604,0.9999627470970154,150,True,0.873490813648294,0.771654968995584,0.8738399257137637,0.2492836676217765,0.3684210526315789,0.6153846153846154,0.6037735849056604,0.6274509803921569,0.8342245989304813,0.7959183673469388,0.8764044943820225,0.7567567567567568,0.7058823529411765,0.8155339805825242,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.673469387755102,0.7213114754098361,0.631578947368421,0.9373338397265477,0.9448698315467075,0.9299171062547099,0.8571428571428571,0.8571428571428571,0.8571428571428571
8,5657,2453,153,5167,2453,113,1820.8612053394318,0.00010281854338245466,0.999988853931427,150,True,0.8692913385826772,0.7712777590712995,0.871438587136712,0.25501432664756446,0.3349282296650718,0.6373626373626373,0.725,0.5686274509803921,0.8481675392670157,0.7941176470588235,0.9101123595505618,0.7372881355932204,0.6541353383458647,0.8446601941747572,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6797066014669927,0.695,0.6650717703349283,0.9345146379044684,0.9558707643814027,0.9140919366993218,0.8,0.75,0.8571428571428571
9,5814,2296,157,5324,2296,84,1809.1059579849243,6.039392246748321e-05,0.9999873042106628,150,True,0.8750656167979003,0.7696027629983385,0.8767406470617002,0.19197707736389685,0.23923444976076555,0.6222222222222222,0.717948717948718,0.5490196078431373,0.8404255319148937,0.797979797979798,0.8876404494382022,0.7488151658767772,0.7314814814814815,0.7669902912621359,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7162162162162162,0.676595744680851,0.7607655502392344,0.9357306809487376,0.9502719502719502,0.921627731725697,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,5969,2141,155,5479,2141,54,1844.5413525104523,1.93605555978138e-05,0.99998939037323,150,True,0.8876640419947507,0.8058921023070676,0.8882816703049646,0.21203438395415472,0.27751196172248804,0.6966292134831461,0.8157894736842105,0.6078431372549019,0.8540540540540541,0.8229166666666666,0.8876404494382022,0.7601809954751131,0.711864406779661,0.8155339805825242,0.8,0.7272727272727273,0.8888888888888888,0.7294685990338164,0.7365853658536585,0.722488038277512,0.9437689969604863,0.9517241379310345,0.9359457422758101,0.8571428571428571,0.8571428571428571,0.8571428571428571
