round,labeled_count,unlabeled_count,queries_this_round,total_queries,auto_accepted_this_round,unsafe_auto_accepts,round_time_seconds,uncertainty_threshold_used,risk_threshold_used,query_budget_used,use_dynamic_weights,accuracy,f1_macro,f1_weighted,fn_rate_malignant,fn_rate_melanoma,f1_akiec,precision_akiec,recall_akiec,f1_bcc,precision_bcc,recall_bcc,f1_bkl,precision_bkl,recall_bkl,f1_df,precision_df,recall_df,f1_mel,precision_mel,recall_mel,f1_nv,precision_nv,recall_nv,f1_vasc,precision_vasc,recall_vasc
1,2014,6096,1524,1524,6096,1294,940.6549727916718,0.0021256469190120697,0.9399420619010925,150,True,0.5779527559055118,0.33184375490188506,0.6335019942229816,0.3237822349570201,0.6076555023923444,0.3282051282051282,0.2222222222222222,0.6274509803921569,0.3984375,0.30538922155688625,0.5730337078651685,0.13076923076923078,0.3148148148148148,0.0825242718446602,0.04152249134948097,0.02142857142857143,0.6666666666666666,0.3942307692307692,0.3961352657004831,0.3923444976076555,0.7848432055749129,0.9298245614035088,0.678975131876413,0.24489795918367346,0.14285714285714285,0.8571428571428571
2,3421,4689,1407,2931,4689,966,1209.1153011322021,0.0032693548128008842,0.9741303324699402,150,True,0.6782152230971129,0.5524808984173006,0.7133790276915213,0.22922636103151864,0.4354066985645933,0.4585987261146497,0.33962264150943394,0.7058823529411765,0.6028708133971292,0.525,0.7078651685393258,0.45540796963946867,0.37383177570093457,0.5825242718446602,0.3181818181818182,0.2,0.7777777777777778,0.4267631103074141,0.3430232558139535,0.5645933014354066,0.8176650634018364,0.9739583333333334,0.7045968349660889,0.7878787878787878,0.6842105263157895,0.9285714285714286
3,3962,4148,541,3472,4148,819,1431.323911190033,0.0035628504119813442,0.9833508133888245,150,True,0.7989501312335958,0.6998176556188144,0.8115732313470682,0.24355300859598855,0.36363636363636365,0.5087719298245614,0.4603174603174603,0.5686274509803921,0.7446808510638298,0.7070707070707071,0.7865168539325843,0.6470588235294118,0.5427631578947368,0.8009708737864077,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.5659574468085107,0.5095785440613027,0.6363636363636364,0.8924818108326596,0.962510897994769,0.8319517709118311,0.8125,0.7222222222222222,0.9285714285714286
4,4375,3735,413,3885,3735,698,1527.891687631607,0.002701366087421775,0.9957284331321716,150,True,0.8283464566929134,0.7207035489173073,0.8347649342494042,0.24641833810888253,0.3588516746411483,0.4897959183673469,0.5106382978723404,0.47058823529411764,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.6890756302521008,0.6074074074074074,0.7961165048543689,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.5995525727069351,0.5630252100840336,0.6411483253588517,0.9105947223316266,0.9537953795379538,0.8711379050489827,0.7878787878787878,0.6842105263157895,0.9285714285714286
5,4704,3406,329,4214,3406,589,1617.4043607711792,0.0017453586915507913,0.9983617663383484,150,True,0.8514435695538057,0.7477570657611091,0.85564302998004,0.25787965616045844,0.3349282296650718,0.6590909090909091,0.7837837837837838,0.5686274509803921,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.7078891257995735,0.6311787072243346,0.8058252427184466,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.6450116009280742,0.6261261261261262,0.6650717703349283,0.9245723172628305,0.9550200803212852,0.8960060286360211,0.8,0.6666666666666666,1.0
6,4948,3162,244,4458,3162,507,1705.8043117523193,0.0007737872074358165,0.9994048476219177,150,True,0.8603674540682414,0.7573239665462921,0.8623348981965652,0.24068767908309455,0.3253588516746411,0.6041666666666666,0.6444444444444445,0.5686274509803921,0.8152173913043478,0.7894736842105263,0.8426966292134831,0.724373576309795,0.6824034334763949,0.7718446601941747,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6619718309859155,0.6497695852534562,0.6746411483253588,0.9295558958652373,0.9447470817120622,0.9148455162019593,0.8387096774193549,0.7647058823529411,0.9285714285714286
7,5098,3012,150,4608,3012,459,1687.4360785484314,0.0005874549970030785,0.9996461868286133,150,True,0.868766404199475,0.7765755014132134,0.870843470395631,0.23782234957020057,0.31100478468899523,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.7872340425531915,0.7474747474747475,0.8314606741573034,0.7444933920704846,0.6814516129032258,0.8203883495145631,0.8,0.7272727272727273,0.8888888888888888,0.6857142857142857,0.6824644549763034,0.6889952153110048,0.934715821812596,0.9530148786217698,0.9171062547098718,0.8387096774193549,0.7647058823529411,0.9285714285714286
8,5248,2862,150,4758,2862,423,1724.990792274475,0.0002287524112034589,0.9998729228973389,150,True,0.8771653543307086,0.7975299966747816,0.878758971317645,0.20916905444126074,0.291866028708134,0.6796116504854369,0.6730769230769231,0.6862745098039216,0.8315789473684211,0.7821782178217822,0.8876404494382022,0.7579908675799086,0.7155172413793104,0.8058252427184466,0.8,0.7272727272727273,0.8888888888888888,0.7115384615384616,0.714975845410628,0.7081339712918661,0.9353233830845771,0.9502332814930016,0.9208741522230596,0.8666666666666667,0.8125,0.9285714285714286
9,5398,2712,150,4908,2712,370,1747.7025907039642,0.0001051149083650671,0.9999446868896484,150,True,0.8761154855643044,0.807521187590816,0.8774080806769107,0.22636103151862463,0.31100478468899523,0.6521739130434783,0.7317073170731707,0.5882352941176471,0.8541666666666666,0.7961165048543689,0.9213483146067416,0.7466666666666667,0.6885245901639344,0.8155339805825242,0.9411764705882353,1.0,0.8888888888888888,0.6939759036144578,0.6990291262135923,0.6889952153110048,0.9369024856596558,0.9510869565217391,0.9231348907309721,0.8275862068965517,0.8,0.8571428571428571
10,5548,2562,150,5058,2562,325,1761.1623549461365,3.653434032457881e-05,0.9999673962593079,150,True,0.8824146981627297,0.8158024774893841,0.8823849101957167,0.22636103151862463,0.3253588516746411,0.68,0.6938775510204082,0.6666666666666666,0.8449197860962567,0.8061224489795918,0.8876404494382022,0.7576470588235295,0.7351598173515982,0.7815533980582524,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6945812807881774,0.7157360406091371,0.6746411483253588,0.9413545213772229,0.9452887537993921,0.9374529012810852,0.9032258064516129,0.8235294117647058,1.0
11,5698,2412,150,5208,2412,290,1796.5668268203735,2.6112360501429066e-05,0.9999897480010986,150,True,0.8860892388451443,0.827496865754839,0.887120360862241,0.21203438395415472,0.28708133971291866,0.693069306930693,0.7,0.6862745098039216,0.8602150537634409,0.8247422680412371,0.898876404494382,0.7645687645687645,0.7354260089686099,0.7961165048543689,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7095238095238096,0.7061611374407583,0.7129186602870813,0.9428789032749428,0.9530408006158584,0.93293142426526,0.9333333333333333,0.875,1.0
12,5848,2262,150,5358,2262,254,1823.7911791801453,1.5485955373151228e-05,0.9999846816062927,150,True,0.8813648293963254,0.7848748330338637,0.8819027875470618,0.22349570200573066,0.3062200956937799,0.6947368421052632,0.75,0.6470588235294118,0.8186528497409327,0.7596153846153846,0.8876404494382022,0.7649769585253456,0.7280701754385965,0.8058252427184466,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7142857142857143,0.7360406091370558,0.69377990430622,0.9395667046750285,0.9478527607361963,0.9314242652599849,0.8,0.75,0.8571428571428571
